Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature,fNum,ResponseAngle,Spkr_Rad,spkr_hemifield,resp_hemifield,LatCorrect,Error
1,0,1067.214,0,7,-60,250,901,0.0,7,1068.154,1,736148.67652,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,12.0,36.0,1311,-60,-1.0471975511965976,L,L,1,0
2,0,1084.179,0,4,30,250,601,4.5,4,1085.177,1,736148.676717,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,12.0,35.0,1311,30,0.5235987755982988,R,R,1,0
4,0,1100.888,0,6,-30,250,1001,0.0,6,1101.935,1,736148.676911,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,12.0,35.0,1311,-30,-0.5235987755982988,L,L,1,0
6,0,1121.612,0,7,-60,250,651,9.0,7,1122.504,1,736148.677149,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,12.0,35.0,1311,-60,-1.0471975511965976,L,L,1,0
14,0,1222.896,0,2,90,250,1001,9.0,3,1223.321,0,736148.678321,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,60,1.5707963267948966,R,R,1,30
16,0,1247.109,0,3,60,250,801,9.0,3,1247.787,1,736148.678601,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,60,1.0471975511965976,R,R,1,0
17,0,1254.473,1,4,30,250,851,0.0,4,1255.31,1,736148.678687,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,30,0.5235987755982988,R,R,1,0
19,0,1272.35,0,8,-90,250,601,4.5,7,1273.315,0,736148.678894,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,-1.5707963267948966,L,L,1,30
23,0,1311.415,0,5,0,250,901,9.0,7,1312.462,0,736148.679348,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,0.0,,L,0,60
24,0,1320.749,0,3,60,250,601,4.5,4,1323.072,0,736148.679471,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,30,1.0471975511965976,R,R,1,30
25,0,1334.503,0,6,-30,250,651,0.0,6,1335.346,1,736148.679613,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-30,-0.5235987755982988,L,L,1,0
26,0,1353.128,0,5,0,250,701,9.0,7,1354.726,0,736148.679837,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,0.0,,L,0,60
27,0,1365.084,0,8,-90,250,501,9.0,8,1365.825,1,736148.679967,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
29,0,1387.697,0,7,-60,250,1001,4.5,7,1392.001,1,736148.680268,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,-1.0471975511965976,L,L,1,0
32,0,1425.911,0,3,60,250,651,4.5,4,1426.746,0,736148.68067,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,30,1.0471975511965976,R,R,1,30
33,0,1434.722,0,2,90,250,801,9.0,6,1436.258,0,736148.68078,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-30,1.5707963267948966,R,L,0,120
35,0,1456.081,0,8,-90,250,901,9.0,8,1456.794,1,736148.68102,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
40,0,1510.567,0,4,30,250,701,9.0,4,1511.613,1,736148.681653,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,30,0.5235987755982988,R,R,1,0
41,0,1521.473,1,6,-30,250,701,0.0,6,1522.561,1,736148.681781,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-30,-0.5235987755982988,L,L,1,0
44,0,1564.387,0,5,0,250,601,9.0,5,1565.436,1,736148.682275,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,0,0.0,,,0,0
48,0,1603.431,0,7,-60,250,901,0.0,7,1604.273,1,736148.682725,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,-1.0471975511965976,L,L,1,0
49,0,1615.694,0,6,-30,250,951,4.5,7,1616.781,0,736148.682871,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,-0.5235987755982988,L,L,1,30
54,0,1666.258,0,3,60,250,851,4.5,4,1667.098,0,736148.683453,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,30,1.0471975511965976,R,R,1,30
57,0,1694.415,0,2,90,250,701,9.0,4,1695.062,0,736148.683778,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,30,1.5707963267948966,R,R,1,60
59,0,1712.298,0,5,0,250,551,9.0,8,1714.198,0,736148.683998,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-90,0.0,,L,0,90
61,0,1741.571,1,4,30,250,601,0.0,5,1742.639,0,736148.684327,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,0,0.5235987755982988,R,,0,30
62,0,1749.274,0,7,-60,250,651,4.5,7,1751.335,1,736148.684427,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,-1.0471975511965976,L,L,1,0
71,0,1854.338,0,3,60,250,501,9.0,4,1855.089,0,736148.685629,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,30,1.0471975511965976,R,R,1,30
73,0,1873.031,0,6,-30,250,551,9.0,7,1874.079,0,736148.685848,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,-60,-0.5235987755982988,L,L,1,30
74,0,1885.01,0,2,90,250,951,4.5,8,1886.104,0,736148.685987,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,-90,1.5707963267948966,R,L,0,180
77,0,1964.638,0,5,0,250,601,9.0,6,1966.141,0,736148.686913,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,-30,0.0,,L,0,30
78,0,1972.707,0,6,-30,250,701,0.0,6,1973.829,1,736148.687002,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-30,-0.5235987755982988,L,L,1,0
79,0,1984.578,0,8,-90,250,1001,0.0,8,1985.465,1,736148.687137,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
83,0,2022.577,0,7,-60,250,1001,4.5,8,2023.482,0,736148.687577,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-90,-1.0471975511965976,L,L,1,30
91,0,2113.717,0,4,30,250,1001,4.5,3,2114.418,0,736148.688631,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,60,0.5235987755982988,R,R,1,30
92,0,2127.717,0,4,30,250,951,0.0,4,2128.386,1,736148.688793,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,30,0.5235987755982988,R,R,1,0
93,0,2136.611,0,8,-90,250,851,4.5,8,2138.075,1,736148.688903,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
94,0,2144.544,0,7,-60,250,751,0.0,7,2145.411,1,736148.688988,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,-60,-1.0471975511965976,L,L,1,0
96,0,2172.512,0,8,-90,250,801,9.0,8,2173.349,1,736148.689312,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
97,0,2181.384,0,2,90,250,901,0.0,4,2182.249,0,736148.689415,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,30,1.5707963267948966,R,R,1,60
99,0,2198.632,0,7,-60,250,501,4.5,6,2199.739,0,736148.689617,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,-30,-1.0471975511965976,L,L,1,30
101,0,2215.323,0,5,0,250,951,4.5,5,2216.288,1,736148.689808,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,0,0.0,,,0,0
104,0,2245.767,0,2,90,250,851,4.5,2,2246.52,1,736148.690159,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,90,1.5707963267948966,R,R,1,0
105,0,2256.623,0,6,-30,250,901,9.0,3,2257.75,0,736148.690288,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,10.0,35.0,1311,60,-0.5235987755982988,L,R,0,90
112,0,2331.49,0,3,60,250,901,4.5,4,2332.61,0,736148.691155,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,9.0,35.0,1311,30,1.0471975511965976,R,R,1,30
