Condition,originalFile,Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,SessionDate,LeftTemperature,RightTemperature,fNum,ResponseAngle,Spkr_Rad,spkr_hemifield,resp_hemifield,LatCorrect,Error
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,9,0,766.011,0,2,90,700,1001,9.0,3,767.783,0,736628.361144,Aud,2016-10-25 08:27:00,11.0,36.0,1509,60,1.5707963267948966,R,R,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,12,0,791.343,0,7,-60,700,1021,9.0,8,793.516,0,736628.361442,Aud,2016-10-25 08:27:00,11.0,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,16,0,838.148,0,6,-30,700,1101,0.0,7,840.204,0,736628.361983,Aud,2016-10-25 08:27:00,11.0,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,22,0,898.784,0,3,60,700,1041,0.0,2,906.248,0,736628.362747,Aud,2016-10-25 08:27:00,8.5,36.0,1509,90,1.0471975511965976,R,R,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,28,0,968.885,0,4,30,700,1061,4.5,2,970.868,0,736628.363494,Aud,2016-10-25 08:27:00,8.1,36.0,1509,90,0.5235987755982988,R,R,1,60
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,30,0,1014.382,0,7,-60,700,1121,9.0,4,1019.053,0,736628.364052,Aud,2016-10-25 08:27:00,8.1,36.0,1509,30,-1.0471975511965976,L,R,0,90
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,34,0,1063.689,0,6,-30,700,1101,0.0,7,1065.209,0,736628.364587,Aud,2016-10-25 08:27:00,8.1,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,40,0,1124.637,0,4,30,700,1201,9.0,4,1126.279,1,736628.365293,Aud,2016-10-25 08:27:00,10.4,36.0,1509,30,0.5235987755982988,R,R,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,41,0,1142.552,0,8,-90,700,1161,0.0,8,1144.026,1,736628.365499,Aud,2016-10-25 08:27:00,9.6,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,42,0,1154.547,0,4,30,700,1141,9.0,4,1155.995,1,736628.365638,Aud,2016-10-25 08:27:00,9.6,36.0,1509,30,0.5235987755982988,R,R,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,43,0,1172.987,0,3,60,700,1081,4.5,4,1174.586,0,736628.365852,Aud,2016-10-25 08:27:00,9.6,36.0,1509,30,1.0471975511965976,R,R,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,46,0,1218.549,0,2,90,700,1181,9.0,4,1221.777,0,736628.366398,Aud,2016-10-25 08:27:00,9.4,36.0,1509,30,1.5707963267948966,R,R,1,60
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,48,0,1243.993,0,8,-90,700,1121,4.5,8,1246.001,1,736628.36668,Aud,2016-10-25 08:27:00,9.4,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,49,0,1256.281,0,2,90,700,1061,9.0,4,1258.22,0,736628.366821,Aud,2016-10-25 08:27:00,9.4,36.0,1509,30,1.5707963267948966,R,R,1,60
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,52,0,1285.509,0,3,60,700,1021,0.0,6,1287.359,0,736628.367158,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,1.0471975511965976,R,L,0,90
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,55,0,1324.836,0,7,-60,700,1081,4.5,8,1326.596,0,736628.367612,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,58,0,1354.999,0,7,-60,700,1141,0.0,7,1356.408,1,736628.367957,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-60,-1.0471975511965976,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,59,0,1365.843,0,7,-60,700,1181,9.0,7,1367.33,1,736628.368083,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-60,-1.0471975511965976,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,60,0,1382.239,0,4,30,700,1041,9.0,4,1383.996,1,736628.368277,Aud,2016-10-25 08:27:00,9.2,36.0,1509,30,0.5235987755982988,R,R,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,61,0,1396.857,0,8,-90,700,1201,4.5,8,1399.086,1,736628.36845,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,62,0,1409.684,0,3,60,700,1101,9.0,6,1411.245,0,736628.368592,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,1.0471975511965976,R,L,0,90
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,67,0,1449.281,0,4,30,700,1001,4.5,2,1451.365,0,736628.369056,Aud,2016-10-25 08:27:00,9.2,36.0,1509,90,0.5235987755982988,R,R,1,60
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,84,0,1610.281,0,6,-30,700,1101,0.0,6,1611.444,1,736628.370909,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,-0.5235987755982988,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,85,0,1620.175,0,6,-30,700,1161,4.5,7,1621.797,0,736628.371028,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,90,0,1689.596,0,2,90,700,1121,4.5,8,1694.851,0,736628.371874,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-90,1.5707963267948966,R,L,0,180
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,93,0,1723.536,0,2,90,700,1061,0.0,6,1724.997,0,736628.372222,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,1.5707963267948966,R,L,0,120
