Condition,nTrials,nCorrect,pCorrect,iteration
Bilateral,924,384,41.55844155844156,0
Control,924,506,54.761904761904766,0
Bilateral,924,393,42.532467532467535,1
Control,924,507,54.87012987012987,1
Bilateral,924,397,42.96536796536797,2
Control,924,544,58.87445887445888,2
Bilateral,924,410,44.37229437229438,3
Control,924,533,57.683982683982684,3
Bilateral,924,383,41.450216450216445,4
Control,924,512,55.41125541125541,4
Bilateral,924,392,42.42424242424242,5
Control,924,529,57.25108225108225,5
Bilateral,924,405,43.83116883116883,6
Control,924,514,55.62770562770562,6
Bilateral,924,400,43.290043290043286,7
Control,924,520,56.27705627705628,7
Bilateral,924,404,43.722943722943725,8
Control,924,503,54.43722943722944,8
Bilateral,924,404,43.722943722943725,9
Control,924,512,55.41125541125541,9
Bilateral,924,409,44.26406926406926,10
Control,924,535,57.9004329004329,10
Bilateral,924,404,43.722943722943725,11
Control,924,545,58.98268398268398,11
Bilateral,924,364,39.39393939393939,12
Control,924,532,57.57575757575758,12
Bilateral,924,389,42.099567099567096,13
Control,924,522,56.493506493506494,13
Bilateral,924,399,43.18181818181818,14
Control,924,520,56.27705627705628,14
Bilateral,924,389,42.099567099567096,15
Control,924,529,57.25108225108225,15
Bilateral,924,378,40.909090909090914,16
Control,924,508,54.97835497835498,16
Bilateral,924,379,41.01731601731602,17
Control,924,538,58.22510822510822,17
Bilateral,924,397,42.96536796536797,18
Control,924,515,55.73593073593074,18
Bilateral,924,404,43.722943722943725,19
Control,924,538,58.22510822510822,19
Bilateral,924,387,41.883116883116884,20
Control,924,508,54.97835497835498,20
Bilateral,924,368,39.82683982683983,21
Control,924,500,54.112554112554115,21
Bilateral,924,393,42.532467532467535,22
Control,924,507,54.87012987012987,22
Bilateral,924,381,41.23376623376623,23
Control,924,513,55.519480519480524,23
Bilateral,924,389,42.099567099567096,24
Control,924,522,56.493506493506494,24
Bilateral,924,373,40.36796536796537,25
Control,924,507,54.87012987012987,25
Bilateral,924,374,40.476190476190474,26
Control,924,529,57.25108225108225,26
Bilateral,924,406,43.93939393939394,27
Control,924,548,59.307359307359306,27
Bilateral,924,400,43.290043290043286,28
Control,924,563,60.930735930735935,28
Bilateral,924,396,42.857142857142854,29
Control,924,510,55.1948051948052,29
Bilateral,924,387,41.883116883116884,30
Control,924,504,54.54545454545454,30
Bilateral,924,394,42.64069264069264,31
Control,924,540,58.44155844155844,31
Bilateral,924,397,42.96536796536797,32
Control,924,539,58.333333333333336,32
Bilateral,924,365,39.5021645021645,33
Control,924,510,55.1948051948052,33
Bilateral,924,384,41.55844155844156,34
Control,924,523,56.6017316017316,34
Bilateral,924,396,42.857142857142854,35
Control,924,529,57.25108225108225,35
Bilateral,924,386,41.77489177489178,36
Control,924,539,58.333333333333336,36
Bilateral,924,379,41.01731601731602,37
Control,924,512,55.41125541125541,37
Bilateral,924,389,42.099567099567096,38
Control,924,514,55.62770562770562,38
Bilateral,924,425,45.995670995671,39
Control,924,522,56.493506493506494,39
Bilateral,924,387,41.883116883116884,40
Control,924,516,55.84415584415584,40
Bilateral,924,400,43.290043290043286,41
Control,924,520,56.27705627705628,41
Bilateral,924,412,44.58874458874459,42
Control,924,540,58.44155844155844,42
Bilateral,924,389,42.099567099567096,43
Control,924,521,56.38528138528138,43
Bilateral,924,374,40.476190476190474,44
Control,924,527,57.03463203463204,44
Bilateral,924,390,42.2077922077922,45
Control,924,526,56.926406926406926,45
Bilateral,924,383,41.450216450216445,46
Control,924,527,57.03463203463204,46
Bilateral,924,396,42.857142857142854,47
Control,924,534,57.7922077922078,47
Bilateral,924,371,40.15151515151515,48
Control,924,509,55.086580086580085,48
Bilateral,924,396,42.857142857142854,49
Control,924,509,55.086580086580085,49
Bilateral,924,405,43.83116883116883,50
Control,924,511,55.3030303030303,50
Bilateral,924,400,43.290043290043286,51
Control,924,524,56.709956709956714,51
Bilateral,924,386,41.77489177489178,52
Control,924,547,59.19913419913419,52
Bilateral,924,402,43.506493506493506,53
Control,924,526,56.926406926406926,53
Bilateral,924,392,42.42424242424242,54
Control,924,540,58.44155844155844,54
Bilateral,924,415,44.91341991341991,55
Control,924,526,56.926406926406926,55
Bilateral,924,388,41.99134199134199,56
Control,924,527,57.03463203463204,56
Bilateral,924,381,41.23376623376623,57
Control,924,501,54.22077922077923,57
Bilateral,924,393,42.532467532467535,58
Control,924,537,58.11688311688312,58
Bilateral,924,389,42.099567099567096,59
Control,924,522,56.493506493506494,59
Bilateral,924,398,43.073593073593074,60
Control,924,503,54.43722943722944,60
Bilateral,924,400,43.290043290043286,61
Control,924,512,55.41125541125541,61
Bilateral,924,394,42.64069264069264,62
Control,924,510,55.1948051948052,62
Bilateral,924,422,45.67099567099567,63
Control,924,501,54.22077922077923,63
Bilateral,924,377,40.8008658008658,64
Control,924,523,56.6017316017316,64
Bilateral,924,367,39.71861471861472,65
Control,924,522,56.493506493506494,65
Bilateral,924,389,42.099567099567096,66
Control,924,489,52.922077922077925,66
Bilateral,924,410,44.37229437229438,67
Control,924,521,56.38528138528138,67
Bilateral,924,392,42.42424242424242,68
Control,924,525,56.81818181818182,68
Bilateral,924,372,40.25974025974026,69
Control,924,531,57.467532467532465,69
Bilateral,924,369,39.935064935064936,70
Control,924,548,59.307359307359306,70
Bilateral,924,377,40.8008658008658,71
Control,924,521,56.38528138528138,71
Bilateral,924,382,41.34199134199134,72
Control,924,498,53.896103896103895,72
Bilateral,924,368,39.82683982683983,73
Control,924,537,58.11688311688312,73
Bilateral,924,388,41.99134199134199,74
Control,924,504,54.54545454545454,74
Bilateral,924,391,42.316017316017316,75
Control,924,537,58.11688311688312,75
Bilateral,924,423,45.77922077922078,76
Control,924,503,54.43722943722944,76
Bilateral,924,393,42.532467532467535,77
Control,924,513,55.519480519480524,77
Bilateral,924,407,44.047619047619044,78
Control,924,514,55.62770562770562,78
Bilateral,924,375,40.58441558441558,79
Control,924,526,56.926406926406926,79
Bilateral,924,397,42.96536796536797,80
Control,924,504,54.54545454545454,80
Bilateral,924,365,39.5021645021645,81
Control,924,506,54.761904761904766,81
Bilateral,924,405,43.83116883116883,82
Control,924,517,55.952380952380956,82
Bilateral,924,384,41.55844155844156,83
Control,924,528,57.14285714285714,83
Bilateral,924,384,41.55844155844156,84
Control,924,475,51.40692640692641,84
Bilateral,924,385,41.66666666666667,85
Control,924,512,55.41125541125541,85
Bilateral,924,387,41.883116883116884,86
Control,924,533,57.683982683982684,86
Bilateral,924,392,42.42424242424242,87
Control,924,537,58.11688311688312,87
Bilateral,924,395,42.74891774891775,88
Control,924,533,57.683982683982684,88
Bilateral,924,381,41.23376623376623,89
Control,924,536,58.00865800865801,89
Bilateral,924,403,43.61471861471862,90
Control,924,527,57.03463203463204,90
Bilateral,924,381,41.23376623376623,91
Control,924,522,56.493506493506494,91
Bilateral,924,394,42.64069264069264,92
Control,924,521,56.38528138528138,92
Bilateral,924,387,41.883116883116884,93
Control,924,496,53.67965367965368,93
Bilateral,924,391,42.316017316017316,94
Control,924,523,56.6017316017316,94
Bilateral,924,367,39.71861471861472,95
Control,924,495,53.57142857142857,95
Bilateral,924,376,40.692640692640694,96
Control,924,528,57.14285714285714,96
Bilateral,924,393,42.532467532467535,97
Control,924,498,53.896103896103895,97
Bilateral,924,395,42.74891774891775,98
Control,924,514,55.62770562770562,98
Bilateral,924,412,44.58874458874459,99
Control,924,505,54.65367965367965,99
Bilateral,924,403,43.61471861471862,100
Control,924,512,55.41125541125541,100
Bilateral,924,396,42.857142857142854,101
Control,924,509,55.086580086580085,101
Bilateral,924,382,41.34199134199134,102
Control,924,552,59.74025974025974,102
Bilateral,924,391,42.316017316017316,103
Control,924,521,56.38528138528138,103
Bilateral,924,398,43.073593073593074,104
Control,924,520,56.27705627705628,104
Bilateral,924,387,41.883116883116884,105
Control,924,513,55.519480519480524,105
Bilateral,924,389,42.099567099567096,106
Control,924,515,55.73593073593074,106
Bilateral,924,385,41.66666666666667,107
Control,924,498,53.896103896103895,107
Bilateral,924,388,41.99134199134199,108
Control,924,525,56.81818181818182,108
Bilateral,924,391,42.316017316017316,109
Control,924,545,58.98268398268398,109
Bilateral,924,382,41.34199134199134,110
Control,924,507,54.87012987012987,110
Bilateral,924,404,43.722943722943725,111
Control,924,531,57.467532467532465,111
Bilateral,924,360,38.961038961038966,112
Control,924,511,55.3030303030303,112
Bilateral,924,383,41.450216450216445,113
Control,924,531,57.467532467532465,113
Bilateral,924,388,41.99134199134199,114
Control,924,501,54.22077922077923,114
Bilateral,924,414,44.8051948051948,115
Control,924,508,54.97835497835498,115
Bilateral,924,385,41.66666666666667,116
Control,924,510,55.1948051948052,116
Bilateral,924,377,40.8008658008658,117
Control,924,524,56.709956709956714,117
Bilateral,924,374,40.476190476190474,118
Control,924,537,58.11688311688312,118
Bilateral,924,378,40.909090909090914,119
Control,924,530,57.35930735930735,119
Bilateral,924,371,40.15151515151515,120
Control,924,560,60.60606060606061,120
Bilateral,924,380,41.125541125541126,121
Control,924,524,56.709956709956714,121
Bilateral,924,403,43.61471861471862,122
Control,924,523,56.6017316017316,122
Bilateral,924,380,41.125541125541126,123
Control,924,524,56.709956709956714,123
Bilateral,924,378,40.909090909090914,124
Control,924,540,58.44155844155844,124
Bilateral,924,388,41.99134199134199,125
Control,924,508,54.97835497835498,125
Bilateral,924,371,40.15151515151515,126
Control,924,537,58.11688311688312,126
Bilateral,924,405,43.83116883116883,127
Control,924,522,56.493506493506494,127
Bilateral,924,391,42.316017316017316,128
Control,924,522,56.493506493506494,128
Bilateral,924,392,42.42424242424242,129
Control,924,502,54.32900432900433,129
Bilateral,924,384,41.55844155844156,130
Control,924,529,57.25108225108225,130
Bilateral,924,398,43.073593073593074,131
Control,924,503,54.43722943722944,131
Bilateral,924,375,40.58441558441558,132
Control,924,521,56.38528138528138,132
Bilateral,924,414,44.8051948051948,133
Control,924,513,55.519480519480524,133
Bilateral,924,392,42.42424242424242,134
Control,924,534,57.7922077922078,134
Bilateral,924,381,41.23376623376623,135
Control,924,504,54.54545454545454,135
Bilateral,924,393,42.532467532467535,136
Control,924,507,54.87012987012987,136
Bilateral,924,357,38.63636363636363,137
Control,924,523,56.6017316017316,137
Bilateral,924,373,40.36796536796537,138
Control,924,511,55.3030303030303,138
Bilateral,924,412,44.58874458874459,139
Control,924,512,55.41125541125541,139
Bilateral,924,405,43.83116883116883,140
Control,924,562,60.82251082251082,140
Bilateral,924,397,42.96536796536797,141
Control,924,526,56.926406926406926,141
Bilateral,924,401,43.3982683982684,142
Control,924,522,56.493506493506494,142
Bilateral,924,393,42.532467532467535,143
Control,924,519,56.16883116883117,143
Bilateral,924,408,44.15584415584416,144
Control,924,535,57.9004329004329,144
Bilateral,924,411,44.48051948051948,145
Control,924,511,55.3030303030303,145
Bilateral,924,376,40.692640692640694,146
Control,924,523,56.6017316017316,146
Bilateral,924,392,42.42424242424242,147
Control,924,512,55.41125541125541,147
Bilateral,924,393,42.532467532467535,148
Control,924,531,57.467532467532465,148
Bilateral,924,391,42.316017316017316,149
Control,924,521,56.38528138528138,149
Bilateral,924,392,42.42424242424242,150
Control,924,530,57.35930735930735,150
Bilateral,924,395,42.74891774891775,151
Control,924,526,56.926406926406926,151
Bilateral,924,385,41.66666666666667,152
Control,924,512,55.41125541125541,152
Bilateral,924,385,41.66666666666667,153
Control,924,508,54.97835497835498,153
Bilateral,924,366,39.61038961038961,154
Control,924,526,56.926406926406926,154
Bilateral,924,399,43.18181818181818,155
Control,924,545,58.98268398268398,155
