Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature,fNum,ResponseAngle,Spkr_Rad,spkr_hemifield,resp_hemifield,LatCorrect,Error
112,0,2396.303,0,8,-90,100,601,0.0,8,2397.83,1,736179.693588,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,7.0,1311,-90,-1.5707963267948966,L,L,1,0
136,0,2662.049,0,8,-90,100,901,0.0,8,2662.808,1,736179.696656,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,9.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
2,0,1191.79,0,8,-90,250,901,0.0,8,1192.534,1,736133.712731,Aud,Bilateral,2015-06-18 16:46:00,18_6_2015 level5_250_cooling 16_46 log,10.0,9.0,1311,-90,-1.5707963267948966,L,L,1,0
2,0,1191.79,0,8,-90,250,901,0.0,8,1192.534,1,736133.712731,Aud,Bilateral,2015-06-18 16:46:00,18_6_2015 level5_250_cooling 16_46 log,10.0,9.0,1311,-90,-1.5707963267948966,L,L,1,0
79,0,2013.449,0,8,-90,100,601,0.0,8,2014.288,1,736179.689149,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
128,0,2419.419,0,8,-90,250,801,0.0,8,2420.205,1,736147.622623,Aud,Bilateral,2015-07-02 14:16:00,2_7_2015 level5_250_cooling 14_16 log,10.0,10.0,1311,-90,-1.5707963267948966,L,L,1,0
128,0,2419.419,0,8,-90,250,801,0.0,8,2420.205,1,736147.622623,Aud,Bilateral,2015-07-02 14:16:00,2_7_2015 level5_250_cooling 14_16 log,10.0,10.0,1311,-90,-1.5707963267948966,L,L,1,0
112,0,2396.303,0,8,-90,100,601,0.0,8,2397.83,1,736179.693588,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,7.0,1311,-90,-1.5707963267948966,L,L,1,0
113,0,2404.366,1,8,-90,100,651,0.0,8,2405.186,1,736179.693673,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
112,0,2396.303,0,8,-90,100,601,0.0,8,2397.83,1,736179.693588,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,7.0,1311,-90,-1.5707963267948966,L,L,1,0
148,0,2608.885,0,8,-90,250,551,0.0,8,2610.75,1,736147.624828,Aud,Bilateral,2015-07-02 14:16:00,2_7_2015 level5_250_cooling 14_16 log,9.0,9.0,1311,-90,-1.5707963267948966,L,L,1,0
73,0,1940.287,0,8,-90,100,651,0.0,8,1941.297,1,736179.688304,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
47,0,1210.833,1,8,-90,250,951,0.0,8,1212.694,1,736134.70476,Aud,Bilateral,2015-06-19 16:34:00,19_6_2015 level5_250_cooling 16_34 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
73,0,1940.287,0,8,-90,100,651,0.0,8,1941.297,1,736179.688304,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
73,0,1940.287,0,8,-90,100,651,0.0,8,1941.297,1,736179.688304,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
91,0,2160.959,0,8,-90,100,901,0.0,8,2161.856,1,736179.690857,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
91,0,2160.959,0,8,-90,100,901,0.0,8,2161.856,1,736179.690857,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
14,0,3449.177,0,8,-90,250,501,0.0,8,3450.907,1,736146.685568,Aud,Bilateral,2015-07-01 15:29:00,1_7_2015 level5_250_cooling 15_29 log,10.0,9.0,1311,-90,-1.5707963267948966,L,L,1,0
113,0,2404.366,1,8,-90,100,651,0.0,8,2405.186,1,736179.693673,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
79,0,2013.449,0,8,-90,100,601,0.0,8,2014.288,1,736179.689149,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
51,0,1708.214,0,8,-90,100,951,0.0,8,1709.631,1,736179.685623,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
51,0,1708.214,0,8,-90,100,951,0.0,8,1709.631,1,736179.685623,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
14,0,3449.177,0,8,-90,250,501,0.0,8,3450.907,1,736146.685568,Aud,Bilateral,2015-07-01 15:29:00,1_7_2015 level5_250_cooling 15_29 log,10.0,9.0,1311,-90,-1.5707963267948966,L,L,1,0
91,0,2160.959,0,8,-90,100,901,0.0,8,2161.856,1,736179.690857,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
136,0,2662.049,0,8,-90,100,901,0.0,8,2662.808,1,736179.696656,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,9.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
47,0,1210.833,1,8,-90,250,951,0.0,8,1212.694,1,736134.70476,Aud,Bilateral,2015-06-19 16:34:00,19_6_2015 level5_250_cooling 16_34 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
79,0,2013.449,0,8,-90,100,601,0.0,8,2014.288,1,736179.689149,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
51,0,1708.214,0,8,-90,100,951,0.0,8,1709.631,1,736179.685623,Aud,Bilateral,2015-08-03 15:58:00,3_8_2015 level5_100_cooling 15_58 log,8.0,8.0,1311,-90,-1.5707963267948966,L,L,1,0
