Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature,fNum,ResponseAngle,Spkr_Rad,spkr_hemifield,resp_hemifield,LatCorrect,Error
103,0,1881.89,0,8,-90,250,851,0.0,8,1882.796,1,736159.701184,Aud,Left,2015-07-14 16:18:00,14_7_2015 level5_250_cooling 16_18 log,10.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
63,0,2696.15,0,8,-90,100,651,0.0,8,2696.82,1,736181.597113,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,7.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
34,0,1093.804,0,8,-90,250,551,0.0,8,1094.568,1,736159.692062,Aud,Left,2015-07-14 16:18:00,14_7_2015 level5_250_cooling 16_18 log,9.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
19,0,1240.018,0,8,-90,250,1001,0.0,8,1241.286,1,736126.594605,Aud,Left,2015-06-11 13:55:00,11_6_2015 level5_250_cooling 13_55 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
34,0,387.34,0,8,-90,250,901,0.0,8,388.166,1,736167.696872,Aud,Left,2015-07-22 16:37:00,22_7_2015 level5_250_cooling 16_37 log,10.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
3,0,2057.347,0,8,-90,100,1001,0.0,8,2058.862,1,736181.589727,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,11.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
56,0,2608.889,0,8,-90,100,901,0.0,8,2609.496,1,736181.596102,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
46,0,1134.753,0,8,-90,250,851,0.0,8,1135.585,1,736131.695771,Aud,Left,2015-06-16 16:23:00,16_6_2015 level5_250_cooling 16_23 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
31,0,2350.886,0,8,-90,100,501,0.0,8,2351.867,1,736181.593118,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
28,0,2319.121,0,8,-90,100,601,0.0,8,2319.904,1,736181.592749,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
3,0,2057.347,0,8,-90,100,1001,0.0,8,2058.862,1,736181.589727,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,11.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
34,0,387.34,0,8,-90,250,901,0.0,8,388.166,1,736167.696872,Aud,Left,2015-07-22 16:37:00,22_7_2015 level5_250_cooling 16_37 log,10.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
10,0,2137.153,0,8,-90,100,551,0.0,8,2137.873,1,736181.590643,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
56,0,2608.889,0,8,-90,100,901,0.0,8,2609.496,1,736181.596102,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
46,0,1134.753,0,8,-90,250,851,0.0,8,1135.585,1,736131.695771,Aud,Left,2015-06-16 16:23:00,16_6_2015 level5_250_cooling 16_23 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
102,0,2747.825,0,8,-90,100,651,0.0,8,2748.43,1,736183.600878,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
103,0,1881.89,0,8,-90,250,851,0.0,8,1882.796,1,736159.701184,Aud,Left,2015-07-14 16:18:00,14_7_2015 level5_250_cooling 16_18 log,10.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
19,0,1864.68,0,8,-90,100,601,0.0,8,1865.454,1,736183.590657,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
102,0,2747.825,0,8,-90,100,651,0.0,8,2748.43,1,736183.600878,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
102,0,3061.428,0,8,-90,100,901,0.0,8,3062.154,1,736181.60134,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
44,0,2114.79,0,8,-90,100,751,0.0,8,2115.438,1,736183.593552,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
28,0,2319.121,0,8,-90,100,601,0.0,8,2319.904,1,736181.592749,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
19,0,1864.68,0,8,-90,100,601,0.0,8,1865.454,1,736183.590657,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
19,0,1272.35,0,8,-90,250,601,4.5,7,1273.315,0,736148.678894,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0,1311,-60,-1.5707963267948966,L,L,1,30
119,0,2901.494,0,8,-90,100,951,4.5,8,2902.185,1,736183.602657,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
119,0,2901.494,0,8,-90,100,951,4.5,8,2902.185,1,736183.602657,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
33,0,2011.893,0,8,-90,100,851,4.5,8,2012.745,1,736183.592361,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,35.0,1311,-90,-1.5707963267948966,L,L,1,0
87,0,2926.997,0,8,-90,100,901,4.5,8,2927.643,1,736181.599784,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
78,0,2849.581,0,8,-90,100,551,4.5,8,2850.328,1,736181.598889,Aud,Left,2015-08-05 13:34:00,5_8_2015 level5_100_cooling 13_34 log,7.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
47,0,2142.353,0,8,-90,100,1001,4.5,8,2143.155,1,736183.593871,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
126,0,1412.209,0,8,-90,250,551,4.5,8,1413.753,1,736167.708742,Aud,Left,2015-07-22 16:37:00,22_7_2015 level5_250_cooling 16_37 log,11.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
101,0,2740.25,0,8,-90,100,851,4.5,8,2740.917,1,736183.60079,Aud,Left,2015-08-07 13:39:00,7_8_2015 level5_100_cooling 13_39 log,8.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
8,0,679.187,0,8,-90,250,701,4.5,8,680.313,1,736131.6905,Aud,Left,2015-06-16 16:23:00,16_6_2015 level5_250_cooling 16_23 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
126,0,1412.209,0,8,-90,250,551,4.5,8,1413.753,1,736167.708742,Aud,Left,2015-07-22 16:37:00,22_7_2015 level5_250_cooling 16_37 log,11.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
8,0,679.187,0,8,-90,250,701,4.5,8,680.313,1,736131.6905,Aud,Left,2015-06-16 16:23:00,16_6_2015 level5_250_cooling 16_23 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
87,0,2009.783,0,8,-90,250,501,4.5,8,2010.684,1,736126.60351,Aud,Left,2015-06-11 13:55:00,11_6_2015 level5_250_cooling 13_55 log,9.0,34.0,1311,-90,-1.5707963267948966,L,L,1,0
