Condition,spkr_hemifield,nTrials,nCorrect,pCorrect,iteration
Bilateral,L,207,105,50.72463768115942,0
Bilateral,R,207,82,39.61352657004831,0
Control,L,207,118,57.00483091787439,0
Control,R,207,114,55.072463768115945,0
Left,L,207,135,65.21739130434783,0
Left,R,207,76,36.71497584541063,0
Right,L,207,121,58.454106280193244,0
Right,R,207,88,42.51207729468599,0
Bilateral,L,207,111,53.62318840579711,1
Bilateral,R,207,81,39.130434782608695,1
Control,L,207,137,66.18357487922705,1
Control,R,207,115,55.55555555555556,1
Left,L,207,129,62.31884057971014,1
Left,R,207,72,34.78260869565217,1
Right,L,207,119,57.48792270531401,1
Right,R,207,113,54.589371980676326,1
Bilateral,L,207,103,49.75845410628019,2
Bilateral,R,207,80,38.64734299516908,2
Control,L,207,123,59.42028985507246,2
Control,R,207,119,57.48792270531401,2
Left,L,207,139,67.14975845410628,2
Left,R,207,76,36.71497584541063,2
Right,L,207,121,58.454106280193244,2
Right,R,207,89,42.99516908212561,2
Bilateral,L,207,97,46.85990338164252,3
Bilateral,R,207,83,40.09661835748793,3
Control,L,207,135,65.21739130434783,3
Control,R,207,122,58.93719806763285,3
Left,L,207,140,67.6328502415459,3
Left,R,207,68,32.850241545893724,3
Right,L,207,111,53.62318840579711,3
Right,R,207,97,46.85990338164252,3
Bilateral,L,207,108,52.17391304347826,4
Bilateral,R,207,78,37.68115942028986,4
Control,L,207,151,72.94685990338165,4
Control,R,207,118,57.00483091787439,4
Left,L,207,138,66.66666666666666,4
Left,R,207,71,34.29951690821256,4
Right,L,207,125,60.38647342995169,4
Right,R,207,96,46.3768115942029,4
Bilateral,L,207,109,52.65700483091788,5
Bilateral,R,207,87,42.028985507246375,5
Control,L,207,131,63.28502415458937,5
Control,R,207,110,53.14009661835749,5
Left,L,207,136,65.70048309178745,5
Left,R,207,80,38.64734299516908,5
Right,L,207,121,58.454106280193244,5
Right,R,207,101,48.792270531400966,5
Bilateral,L,207,106,51.20772946859904,6
Bilateral,R,207,81,39.130434782608695,6
Control,L,207,128,61.83574879227053,6
Control,R,207,114,55.072463768115945,6
Left,L,207,130,62.80193236714976,6
Left,R,207,72,34.78260869565217,6
Right,L,207,121,58.454106280193244,6
Right,R,207,99,47.82608695652174,6
Bilateral,L,207,94,45.410628019323674,7
Bilateral,R,207,84,40.57971014492754,7
Control,L,207,128,61.83574879227053,7
Control,R,207,115,55.55555555555556,7
Left,L,207,147,71.01449275362319,7
Left,R,207,68,32.850241545893724,7
Right,L,207,122,58.93719806763285,7
Right,R,207,107,51.690821256038646,7
Bilateral,L,207,98,47.34299516908212,8
Bilateral,R,207,73,35.26570048309179,8
Control,L,207,137,66.18357487922705,8
Control,R,207,114,55.072463768115945,8
Left,L,207,145,70.04830917874396,8
Left,R,207,79,38.164251207729464,8
Right,L,207,113,54.589371980676326,8
Right,R,207,96,46.3768115942029,8
Bilateral,L,207,104,50.24154589371981,9
Bilateral,R,207,82,39.61352657004831,9
Control,L,207,126,60.86956521739131,9
Control,R,207,101,48.792270531400966,9
Left,L,207,138,66.66666666666666,9
Left,R,207,86,41.54589371980676,9
Right,L,207,122,58.93719806763285,9
Right,R,207,107,51.690821256038646,9
Bilateral,L,207,97,46.85990338164252,10
Bilateral,R,207,78,37.68115942028986,10
Control,L,207,137,66.18357487922705,10
Control,R,207,114,55.072463768115945,10
Left,L,207,131,63.28502415458937,10
Left,R,207,77,37.19806763285024,10
Right,L,207,119,57.48792270531401,10
Right,R,207,92,44.44444444444444,10
Bilateral,L,207,109,52.65700483091788,11
Bilateral,R,207,88,42.51207729468599,11
Control,L,207,139,67.14975845410628,11
Control,R,207,119,57.48792270531401,11
Left,L,207,128,61.83574879227053,11
Left,R,207,75,36.231884057971016,11
Right,L,207,118,57.00483091787439,11
Right,R,207,99,47.82608695652174,11
Bilateral,L,207,101,48.792270531400966,12
Bilateral,R,207,91,43.96135265700483,12
Control,L,207,133,64.25120772946859,12
Control,R,207,117,56.52173913043478,12
Left,L,207,131,63.28502415458937,12
Left,R,207,78,37.68115942028986,12
Right,L,207,132,63.76811594202898,12
Right,R,207,114,55.072463768115945,12
Bilateral,L,207,95,45.893719806763286,13
Bilateral,R,207,83,40.09661835748793,13
Control,L,207,143,69.08212560386472,13
Control,R,207,119,57.48792270531401,13
Left,L,207,137,66.18357487922705,13
Left,R,207,77,37.19806763285024,13
Right,L,207,119,57.48792270531401,13
Right,R,207,97,46.85990338164252,13
Bilateral,L,207,107,51.690821256038646,14
Bilateral,R,207,90,43.47826086956522,14
Control,L,207,126,60.86956521739131,14
Control,R,207,123,59.42028985507246,14
Left,L,207,126,60.86956521739131,14
Left,R,207,73,35.26570048309179,14
Right,L,207,112,54.106280193236714,14
Right,R,207,97,46.85990338164252,14
Bilateral,L,207,98,47.34299516908212,15
Bilateral,R,207,94,45.410628019323674,15
Control,L,207,140,67.6328502415459,15
Control,R,207,120,57.971014492753625,15
Left,L,207,148,71.49758454106279,15
Left,R,207,68,32.850241545893724,15
Right,L,207,116,56.038647342995176,15
Right,R,207,104,50.24154589371981,15
Bilateral,L,207,106,51.20772946859904,16
Bilateral,R,207,81,39.130434782608695,16
Control,L,207,134,64.73429951690821,16
Control,R,207,108,52.17391304347826,16
Left,L,207,135,65.21739130434783,16
Left,R,207,77,37.19806763285024,16
Right,L,207,114,55.072463768115945,16
Right,R,207,96,46.3768115942029,16
Bilateral,L,207,100,48.309178743961354,17
Bilateral,R,207,75,36.231884057971016,17
Control,L,207,134,64.73429951690821,17
Control,R,207,106,51.20772946859904,17
Left,L,207,141,68.11594202898551,17
Left,R,207,75,36.231884057971016,17
Right,L,207,120,57.971014492753625,17
Right,R,207,95,45.893719806763286,17
Bilateral,L,207,105,50.72463768115942,18
Bilateral,R,207,99,47.82608695652174,18
Control,L,207,136,65.70048309178745,18
Control,R,207,115,55.55555555555556,18
Left,L,207,134,64.73429951690821,18
Left,R,207,75,36.231884057971016,18
Right,L,207,123,59.42028985507246,18
Right,R,207,104,50.24154589371981,18
Bilateral,L,207,101,48.792270531400966,19
Bilateral,R,207,78,37.68115942028986,19
Control,L,207,125,60.38647342995169,19
Control,R,207,131,63.28502415458937,19
Left,L,207,143,69.08212560386472,19
Left,R,207,85,41.06280193236715,19
Right,L,207,109,52.65700483091788,19
Right,R,207,104,50.24154589371981,19
Bilateral,L,207,108,52.17391304347826,20
Bilateral,R,207,64,30.917874396135264,20
Control,L,207,134,64.73429951690821,20
Control,R,207,123,59.42028985507246,20
Left,L,207,129,62.31884057971014,20
Left,R,207,88,42.51207729468599,20
Right,L,207,120,57.971014492753625,20
Right,R,207,106,51.20772946859904,20
Bilateral,L,207,97,46.85990338164252,21
Bilateral,R,207,93,44.927536231884055,21
Control,L,207,134,64.73429951690821,21
Control,R,207,107,51.690821256038646,21
Left,L,207,139,67.14975845410628,21
Left,R,207,59,28.502415458937197,21
Right,L,207,112,54.106280193236714,21
Right,R,207,98,47.34299516908212,21
Bilateral,L,207,99,47.82608695652174,22
Bilateral,R,207,94,45.410628019323674,22
Control,L,207,140,67.6328502415459,22
Control,R,207,111,53.62318840579711,22
Left,L,207,136,65.70048309178745,22
Left,R,207,80,38.64734299516908,22
Right,L,207,111,53.62318840579711,22
Right,R,207,90,43.47826086956522,22
Bilateral,L,207,109,52.65700483091788,23
