Condition,Spkr_Rad,nTrials,nCorrect,pCorrect,iteration
Bilateral,-1.5707963267948966,87,41,47.12643678160919,0
Bilateral,-1.0471975511965976,87,20,22.988505747126435,0
Bilateral,-0.5235987755982988,87,18,20.689655172413794,0
Bilateral,0.5235987755982988,87,48,55.172413793103445,0
Bilateral,1.0471975511965976,87,34,39.08045977011494,0
Bilateral,1.5707963267948966,87,19,21.839080459770116,0
Control,-1.5707963267948966,87,28,32.18390804597701,0
Control,-1.0471975511965976,87,30,34.48275862068966,0
Control,-0.5235987755982988,87,64,73.5632183908046,0
Control,0.5235987755982988,87,29,33.33333333333333,0
Control,1.0471975511965976,87,53,60.91954022988506,0
Control,1.5707963267948966,87,47,54.02298850574713,0
Bilateral,-1.5707963267948966,87,49,56.32183908045977,1
Bilateral,-1.0471975511965976,87,32,36.7816091954023,1
Bilateral,-0.5235987755982988,87,21,24.137931034482758,1
Bilateral,0.5235987755982988,87,54,62.06896551724138,1
Bilateral,1.0471975511965976,87,32,36.7816091954023,1
Bilateral,1.5707963267948966,87,17,19.54022988505747,1
Control,-1.5707963267948966,87,32,36.7816091954023,1
Control,-1.0471975511965976,87,31,35.63218390804598,1
Control,-0.5235987755982988,87,61,70.11494252873564,1
Control,0.5235987755982988,87,32,36.7816091954023,1
Control,1.0471975511965976,87,57,65.51724137931035,1
Control,1.5707963267948966,87,43,49.42528735632184,1
Bilateral,-1.5707963267948966,87,48,55.172413793103445,2
Bilateral,-1.0471975511965976,87,28,32.18390804597701,2
Bilateral,-0.5235987755982988,87,22,25.287356321839084,2
Bilateral,0.5235987755982988,87,47,54.02298850574713,2
Bilateral,1.0471975511965976,87,35,40.229885057471265,2
Bilateral,1.5707963267948966,87,12,13.793103448275861,2
Control,-1.5707963267948966,87,33,37.93103448275862,2
Control,-1.0471975511965976,87,31,35.63218390804598,2
Control,-0.5235987755982988,87,59,67.81609195402298,2
Control,0.5235987755982988,87,29,33.33333333333333,2
Control,1.0471975511965976,87,51,58.620689655172406,2
Control,1.5707963267948966,87,51,58.620689655172406,2
Bilateral,-1.5707963267948966,87,50,57.47126436781609,3
Bilateral,-1.0471975511965976,87,26,29.88505747126437,3
Bilateral,-0.5235987755982988,87,13,14.942528735632186,3
Bilateral,0.5235987755982988,87,53,60.91954022988506,3
Bilateral,1.0471975511965976,87,40,45.97701149425287,3
Bilateral,1.5707963267948966,87,8,9.195402298850574,3
Control,-1.5707963267948966,87,37,42.5287356321839,3
Control,-1.0471975511965976,87,32,36.7816091954023,3
Control,-0.5235987755982988,87,65,74.71264367816092,3
Control,0.5235987755982988,87,39,44.827586206896555,3
Control,1.0471975511965976,87,52,59.77011494252874,3
Control,1.5707963267948966,87,45,51.724137931034484,3
Bilateral,-1.5707963267948966,87,46,52.87356321839081,4
Bilateral,-1.0471975511965976,87,25,28.735632183908045,4
Bilateral,-0.5235987755982988,87,19,21.839080459770116,4
Bilateral,0.5235987755982988,87,57,65.51724137931035,4
Bilateral,1.0471975511965976,87,34,39.08045977011494,4
Bilateral,1.5707963267948966,87,17,19.54022988505747,4
Control,-1.5707963267948966,87,25,28.735632183908045,4
Control,-1.0471975511965976,87,30,34.48275862068966,4
Control,-0.5235987755982988,87,63,72.41379310344827,4
Control,0.5235987755982988,87,35,40.229885057471265,4
Control,1.0471975511965976,87,52,59.77011494252874,4
Control,1.5707963267948966,87,44,50.57471264367817,4
Bilateral,-1.5707963267948966,87,48,55.172413793103445,5
Bilateral,-1.0471975511965976,87,29,33.33333333333333,5
Bilateral,-0.5235987755982988,87,22,25.287356321839084,5
Bilateral,0.5235987755982988,87,51,58.620689655172406,5
Bilateral,1.0471975511965976,87,33,37.93103448275862,5
Bilateral,1.5707963267948966,87,12,13.793103448275861,5
Control,-1.5707963267948966,87,30,34.48275862068966,5
Control,-1.0471975511965976,87,30,34.48275862068966,5
Control,-0.5235987755982988,87,61,70.11494252873564,5
Control,0.5235987755982988,87,37,42.5287356321839,5
Control,1.0471975511965976,87,54,62.06896551724138,5
Control,1.5707963267948966,87,43,49.42528735632184,5
Bilateral,-1.5707963267948966,87,46,52.87356321839081,6
Bilateral,-1.0471975511965976,87,34,39.08045977011494,6
Bilateral,-0.5235987755982988,87,19,21.839080459770116,6
Bilateral,0.5235987755982988,87,50,57.47126436781609,6
Bilateral,1.0471975511965976,87,27,31.03448275862069,6
Bilateral,1.5707963267948966,87,12,13.793103448275861,6
Control,-1.5707963267948966,87,29,33.33333333333333,6
Control,-1.0471975511965976,87,35,40.229885057471265,6
Control,-0.5235987755982988,87,56,64.36781609195403,6
Control,0.5235987755982988,87,40,45.97701149425287,6
Control,1.0471975511965976,87,50,57.47126436781609,6
Control,1.5707963267948966,87,44,50.57471264367817,6
Bilateral,-1.5707963267948966,87,44,50.57471264367817,7
Bilateral,-1.0471975511965976,87,30,34.48275862068966,7
Bilateral,-0.5235987755982988,87,26,29.88505747126437,7
Bilateral,0.5235987755982988,87,51,58.620689655172406,7
Bilateral,1.0471975511965976,87,35,40.229885057471265,7
Bilateral,1.5707963267948966,87,13,14.942528735632186,7
Control,-1.5707963267948966,87,33,37.93103448275862,7
Control,-1.0471975511965976,87,26,29.88505747126437,7
Control,-0.5235987755982988,87,75,86.20689655172413,7
Control,0.5235987755982988,87,35,40.229885057471265,7
Control,1.0471975511965976,87,54,62.06896551724138,7
Control,1.5707963267948966,87,45,51.724137931034484,7
Bilateral,-1.5707963267948966,87,48,55.172413793103445,8
Bilateral,-1.0471975511965976,87,30,34.48275862068966,8
Bilateral,-0.5235987755982988,87,22,25.287356321839084,8
Bilateral,0.5235987755982988,87,56,64.36781609195403,8
Bilateral,1.0471975511965976,87,33,37.93103448275862,8
Bilateral,1.5707963267948966,87,13,14.942528735632186,8
Control,-1.5707963267948966,87,36,41.37931034482759,8
Control,-1.0471975511965976,87,33,37.93103448275862,8
Control,-0.5235987755982988,87,71,81.60919540229885,8
Control,0.5235987755982988,87,33,37.93103448275862,8
Control,1.0471975511965976,87,47,54.02298850574713,8
Control,1.5707963267948966,87,47,54.02298850574713,8
Bilateral,-1.5707963267948966,87,50,57.47126436781609,9
Bilateral,-1.0471975511965976,87,25,28.735632183908045,9
Bilateral,-0.5235987755982988,87,13,14.942528735632186,9
Bilateral,0.5235987755982988,87,56,64.36781609195403,9
Bilateral,1.0471975511965976,87,31,35.63218390804598,9
Bilateral,1.5707963267948966,87,15,17.24137931034483,9
Control,-1.5707963267948966,87,34,39.08045977011494,9
Control,-1.0471975511965976,87,25,28.735632183908045,9
Control,-0.5235987755982988,87,60,68.96551724137932,9
Control,0.5235987755982988,87,34,39.08045977011494,9
Control,1.0471975511965976,87,54,62.06896551724138,9
Control,1.5707963267948966,87,43,49.42528735632184,9
Bilateral,-1.5707963267948966,87,49,56.32183908045977,10
Bilateral,-1.0471975511965976,87,27,31.03448275862069,10
Bilateral,-0.5235987755982988,87,22,25.287356321839084,10
Bilateral,0.5235987755982988,87,46,52.87356321839081,10
Bilateral,1.0471975511965976,87,28,32.18390804597701,10
Bilateral,1.5707963267948966,87,17,19.54022988505747,10
Control,-1.5707963267948966,87,35,40.229885057471265,10
Control,-1.0471975511965976,87,19,21.839080459770116,10
Control,-0.5235987755982988,87,65,74.71264367816092,10
Control,0.5235987755982988,87,29,33.33333333333333,10
Control,1.0471975511965976,87,53,60.91954022988506,10
Control,1.5707963267948966,87,46,52.87356321839081,10
Bilateral,-1.5707963267948966,87,44,50.57471264367817,11
Bilateral,-1.0471975511965976,87,28,32.18390804597701,11
Bilateral,-0.5235987755982988,87,16,18.39080459770115,11
Bilateral,0.5235987755982988,87,52,59.77011494252874,11
Bilateral,1.0471975511965976,87,45,51.724137931034484,11
Bilateral,1.5707963267948966,87,16,18.39080459770115,11
Control,-1.5707963267948966,87,31,35.63218390804598,11
Control,-1.0471975511965976,87,28,32.18390804597701,11
Control,-0.5235987755982988,87,61,70.11494252873564,11
Control,0.5235987755982988,87,33,37.93103448275862,11
Control,1.0471975511965976,87,53,60.91954022988506,11
Control,1.5707963267948966,87,48,55.172413793103445,11
Bilateral,-1.5707963267948966,87,46,52.87356321839081,12
Bilateral,-1.0471975511965976,87,23,26.436781609195403,12
Bilateral,-0.5235987755982988,87,21,24.137931034482758,12
Bilateral,0.5235987755982988,87,46,52.87356321839081,12
Bilateral,1.0471975511965976,87,32,36.7816091954023,12
Bilateral,1.5707963267948966,87,13,14.942528735632186,12
Control,-1.5707963267948966,87,37,42.5287356321839,12
Control,-1.0471975511965976,87,38,43.67816091954023,12
Control,-0.5235987755982988,87,60,68.96551724137932,12
Control,0.5235987755982988,87,35,40.229885057471265,12
Control,1.0471975511965976,87,54,62.06896551724138,12
Control,1.5707963267948966,87,49,56.32183908045977,12
Bilateral,-1.5707963267948966,87,52,59.77011494252874,13
Bilateral,-1.0471975511965976,87,34,39.08045977011494,13
Bilateral,-0.5235987755982988,87,21,24.137931034482758,13
Bilateral,0.5235987755982988,87,49,56.32183908045977,13
Bilateral,1.0471975511965976,87,33,37.93103448275862,13
Bilateral,1.5707963267948966,87,15,17.24137931034483,13
Control,-1.5707963267948966,87,25,28.735632183908045,13
Control,-1.0471975511965976,87,25,28.735632183908045,13
Control,-0.5235987755982988,87,60,68.96551724137932,13
Control,0.5235987755982988,87,33,37.93103448275862,13
Control,1.0471975511965976,87,54,62.06896551724138,13
Control,1.5707963267948966,87,48,55.172413793103445,13
Bilateral,-1.5707963267948966,87,36,41.37931034482759,14
Bilateral,-1.0471975511965976,87,26,29.88505747126437,14
Bilateral,-0.5235987755982988,87,22,25.287356321839084,14
Bilateral,0.5235987755982988,87,53,60.91954022988506,14
Bilateral,1.0471975511965976,87,36,41.37931034482759,14
Bilateral,1.5707963267948966,87,20,22.988505747126435,14
Control,-1.5707963267948966,87,29,33.33333333333333,14
Control,-1.0471975511965976,87,35,40.229885057471265,14
Control,-0.5235987755982988,87,61,70.11494252873564,14
Control,0.5235987755982988,87,34,39.08045977011494,14
Control,1.0471975511965976,87,54,62.06896551724138,14
Control,1.5707963267948966,87,48,55.172413793103445,14
Bilateral,-1.5707963267948966,87,46,52.87356321839081,15
Bilateral,-1.0471975511965976,87,31,35.63218390804598,15
Bilateral,-0.5235987755982988,87,21,24.137931034482758,15
Bilateral,0.5235987755982988,87,49,56.32183908045977,15
Bilateral,1.0471975511965976,87,39,44.827586206896555,15
Bilateral,1.5707963267948966,87,19,21.839080459770116,15
Control,-1.5707963267948966,87,39,44.827586206896555,15
Control,-1.0471975511965976,87,31,35.63218390804598,15
Control,-0.5235987755982988,87,64,73.5632183908046,15
Control,0.5235987755982988,87,28,32.18390804597701,15
Control,1.0471975511965976,87,55,63.2183908045977,15
Control,1.5707963267948966,87,49,56.32183908045977,15
Bilateral,-1.5707963267948966,87,45,51.724137931034484,16
Bilateral,-1.0471975511965976,87,31,35.63218390804598,16
Bilateral,-0.5235987755982988,87,22,25.287356321839084,16
Bilateral,0.5235987755982988,87,54,62.06896551724138,16
Bilateral,1.0471975511965976,87,36,41.37931034482759,16
Bilateral,1.5707963267948966,87,11,12.643678160919542,16
Control,-1.5707963267948966,87,27,31.03448275862069,16
Control,-1.0471975511965976,87,24,27.586206896551722,16
Control,-0.5235987755982988,87,67,77.01149425287356,16
Control,0.5235987755982988,87,32,36.7816091954023,16
Control,1.0471975511965976,87,58,66.66666666666666,16
Control,1.5707963267948966,87,43,49.42528735632184,16
Bilateral,-1.5707963267948966,87,48,55.172413793103445,17
Bilateral,-1.0471975511965976,87,30,34.48275862068966,17
Bilateral,-0.5235987755982988,87,15,17.24137931034483,17
Bilateral,0.5235987755982988,87,55,63.2183908045977,17
Bilateral,1.0471975511965976,87,33,37.93103448275862,17
Bilateral,1.5707963267948966,87,19,21.839080459770116,17
Control,-1.5707963267948966,87,31,35.63218390804598,17
Control,-1.0471975511965976,87,31,35.63218390804598,17
Control,-0.5235987755982988,87,61,70.11494252873564,17
Control,0.5235987755982988,87,42,48.275862068965516,17
Control,1.0471975511965976,87,48,55.172413793103445,17
Control,1.5707963267948966,87,53,60.91954022988506,17
Bilateral,-1.5707963267948966,87,42,48.275862068965516,18
Bilateral,-1.0471975511965976,87,25,28.735632183908045,18
Bilateral,-0.5235987755982988,87,16,18.39080459770115,18
Bilateral,0.5235987755982988,87,57,65.51724137931035,18
Bilateral,1.0471975511965976,87,28,32.18390804597701,18
Bilateral,1.5707963267948966,87,10,11.494252873563218,18
Control,-1.5707963267948966,87,30,34.48275862068966,18
Control,-1.0471975511965976,87,21,24.137931034482758,18
Control,-0.5235987755982988,87,62,71.26436781609196,18
Control,0.5235987755982988,87,46,52.87356321839081,18
Control,1.0471975511965976,87,48,55.172413793103445,18
Control,1.5707963267948966,87,49,56.32183908045977,18
Bilateral,-1.5707963267948966,87,44,50.57471264367817,19
Bilateral,-1.0471975511965976,87,23,26.436781609195403,19
Bilateral,-0.5235987755982988,87,25,28.735632183908045,19
Bilateral,0.5235987755982988,87,51,58.620689655172406,19
Bilateral,1.0471975511965976,87,35,40.229885057471265,19
Bilateral,1.5707963267948966,87,15,17.24137931034483,19
Control,-1.5707963267948966,87,31,35.63218390804598,19
Control,-1.0471975511965976,87,24,27.586206896551722,19
Control,-0.5235987755982988,87,58,66.66666666666666,19
Control,0.5235987755982988,87,50,57.47126436781609,19
Control,1.0471975511965976,87,50,57.47126436781609,19
Control,1.5707963267948966,87,46,52.87356321839081,19
Bilateral,-1.5707963267948966,87,46,52.87356321839081,20
Bilateral,-1.0471975511965976,87,33,37.93103448275862,20
Bilateral,-0.5235987755982988,87,20,22.988505747126435,20
Bilateral,0.5235987755982988,87,46,52.87356321839081,20
Bilateral,1.0471975511965976,87,35,40.229885057471265,20
Bilateral,1.5707963267948966,87,14,16.091954022988507,20
Control,-1.5707963267948966,87,30,34.48275862068966,20
Control,-1.0471975511965976,87,37,42.5287356321839,20
Control,-0.5235987755982988,87,61,70.11494252873564,20
Control,0.5235987755982988,87,39,44.827586206896555,20
Control,1.0471975511965976,87,50,57.47126436781609,20
Control,1.5707963267948966,87,44,50.57471264367817,20
Bilateral,-1.5707963267948966,87,45,51.724137931034484,21
