Condition,spkr_hemifield,nTrials,nCorrect,pCorrect,iteration
Left,L,72,18,25.0,0
Left,R,72,14,19.444444444444446,0
Right,L,72,11,15.277777777777779,0
Right,R,72,40,55.55555555555556,0
Left,L,72,22,30.555555555555557,1
Left,R,72,10,13.88888888888889,1
Right,L,72,19,26.38888888888889,1
Right,R,72,32,44.44444444444444,1
Left,L,72,26,36.11111111111111,2
Left,R,72,14,19.444444444444446,2
Right,L,72,18,25.0,2
Right,R,72,38,52.77777777777778,2
Left,L,72,23,31.944444444444443,3
Left,R,72,19,26.38888888888889,3
Right,L,72,19,26.38888888888889,3
Right,R,72,38,52.77777777777778,3
Left,L,72,22,30.555555555555557,4
Left,R,72,12,16.666666666666664,4
Right,L,72,24,33.33333333333333,4
Right,R,72,31,43.05555555555556,4
Left,L,72,21,29.166666666666668,5
Left,R,72,11,15.277777777777779,5
Right,L,72,13,18.055555555555554,5
Right,R,72,38,52.77777777777778,5
Left,L,72,21,29.166666666666668,6
Left,R,72,12,16.666666666666664,6
Right,L,72,23,31.944444444444443,6
Right,R,72,31,43.05555555555556,6
Left,L,72,23,31.944444444444443,7
Left,R,72,14,19.444444444444446,7
Right,L,72,14,19.444444444444446,7
Right,R,72,31,43.05555555555556,7
Left,L,72,22,30.555555555555557,8
Left,R,72,15,20.833333333333336,8
Right,L,72,15,20.833333333333336,8
Right,R,72,28,38.88888888888889,8
Left,L,72,26,36.11111111111111,9
Left,R,72,12,16.666666666666664,9
Right,L,72,14,19.444444444444446,9
Right,R,72,30,41.66666666666667,9
Left,L,72,17,23.61111111111111,10
Left,R,72,18,25.0,10
Right,L,72,19,26.38888888888889,10
Right,R,72,37,51.388888888888886,10
Left,L,72,21,29.166666666666668,11
Left,R,72,16,22.22222222222222,11
Right,L,72,17,23.61111111111111,11
Right,R,72,33,45.83333333333333,11
Left,L,72,22,30.555555555555557,12
Left,R,72,19,26.38888888888889,12
Right,L,72,15,20.833333333333336,12
Right,R,72,37,51.388888888888886,12
Left,L,72,19,26.38888888888889,13
Left,R,72,16,22.22222222222222,13
Right,L,72,20,27.77777777777778,13
Right,R,72,36,50.0,13
Left,L,72,21,29.166666666666668,14
Left,R,72,15,20.833333333333336,14
Right,L,72,15,20.833333333333336,14
Right,R,72,36,50.0,14
Left,L,72,20,27.77777777777778,15
Left,R,72,14,19.444444444444446,15
Right,L,72,19,26.38888888888889,15
Right,R,72,36,50.0,15
Left,L,72,20,27.77777777777778,16
Left,R,72,16,22.22222222222222,16
Right,L,72,16,22.22222222222222,16
Right,R,72,37,51.388888888888886,16
Left,L,72,24,33.33333333333333,17
Left,R,72,13,18.055555555555554,17
Right,L,72,16,22.22222222222222,17
Right,R,72,38,52.77777777777778,17
Left,L,72,24,33.33333333333333,18
Left,R,72,8,11.11111111111111,18
Right,L,72,17,23.61111111111111,18
Right,R,72,33,45.83333333333333,18
Left,L,72,22,30.555555555555557,19
Left,R,72,15,20.833333333333336,19
Right,L,72,17,23.61111111111111,19
Right,R,72,30,41.66666666666667,19
Left,L,72,23,31.944444444444443,20
Left,R,72,12,16.666666666666664,20
Right,L,72,22,30.555555555555557,20
Right,R,72,33,45.83333333333333,20
Left,L,72,23,31.944444444444443,21
Left,R,72,13,18.055555555555554,21
Right,L,72,17,23.61111111111111,21
Right,R,72,41,56.94444444444444,21
Left,L,72,16,22.22222222222222,22
Left,R,72,11,15.277777777777779,22
Right,L,72,17,23.61111111111111,22
Right,R,72,39,54.166666666666664,22
Left,L,72,24,33.33333333333333,23
Left,R,72,15,20.833333333333336,23
Right,L,72,23,31.944444444444443,23
Right,R,72,31,43.05555555555556,23
Left,L,72,22,30.555555555555557,24
Left,R,72,12,16.666666666666664,24
Right,L,72,13,18.055555555555554,24
Right,R,72,28,38.88888888888889,24
Left,L,72,26,36.11111111111111,25
Left,R,72,18,25.0,25
Right,L,72,17,23.61111111111111,25
Right,R,72,37,51.388888888888886,25
Left,L,72,22,30.555555555555557,26
Left,R,72,16,22.22222222222222,26
Right,L,72,16,22.22222222222222,26
Right,R,72,35,48.61111111111111,26
Left,L,72,19,26.38888888888889,27
Left,R,72,15,20.833333333333336,27
Right,L,72,19,26.38888888888889,27
Right,R,72,28,38.88888888888889,27
Left,L,72,21,29.166666666666668,28
Left,R,72,18,25.0,28
Right,L,72,17,23.61111111111111,28
Right,R,72,31,43.05555555555556,28
Left,L,72,21,29.166666666666668,29
Left,R,72,11,15.277777777777779,29
Right,L,72,17,23.61111111111111,29
Right,R,72,24,33.33333333333333,29
Left,L,72,21,29.166666666666668,30
Left,R,72,16,22.22222222222222,30
Right,L,72,18,25.0,30
Right,R,72,34,47.22222222222222,30
Left,L,72,21,29.166666666666668,31
Left,R,72,10,13.88888888888889,31
Right,L,72,19,26.38888888888889,31
Right,R,72,32,44.44444444444444,31
Left,L,72,25,34.72222222222222,32
Left,R,72,18,25.0,32
Right,L,72,17,23.61111111111111,32
Right,R,72,30,41.66666666666667,32
Left,L,72,28,38.88888888888889,33
Left,R,72,12,16.666666666666664,33
Right,L,72,15,20.833333333333336,33
Right,R,72,27,37.5,33
Left,L,72,26,36.11111111111111,34
Left,R,72,9,12.5,34
Right,L,72,11,15.277777777777779,34
Right,R,72,28,38.88888888888889,34
Left,L,72,26,36.11111111111111,35
Left,R,72,15,20.833333333333336,35
Right,L,72,15,20.833333333333336,35
Right,R,72,32,44.44444444444444,35
Left,L,72,23,31.944444444444443,36
Left,R,72,15,20.833333333333336,36
Right,L,72,19,26.38888888888889,36
Right,R,72,33,45.83333333333333,36
Left,L,72,22,30.555555555555557,37
Left,R,72,9,12.5,37
Right,L,72,16,22.22222222222222,37
Right,R,72,28,38.88888888888889,37
Left,L,72,23,31.944444444444443,38
Left,R,72,15,20.833333333333336,38
Right,L,72,17,23.61111111111111,38
Right,R,72,30,41.66666666666667,38
Left,L,72,19,26.38888888888889,39
Left,R,72,17,23.61111111111111,39
Right,L,72,21,29.166666666666668,39
Right,R,72,33,45.83333333333333,39
Left,L,72,26,36.11111111111111,40
Left,R,72,13,18.055555555555554,40
Right,L,72,18,25.0,40
Right,R,72,35,48.61111111111111,40
Left,L,72,20,27.77777777777778,41
Left,R,72,12,16.666666666666664,41
Right,L,72,18,25.0,41
Right,R,72,28,38.88888888888889,41
Left,L,72,26,36.11111111111111,42
Left,R,72,10,13.88888888888889,42
Right,L,72,14,19.444444444444446,42
Right,R,72,29,40.27777777777778,42
Left,L,72,19,26.38888888888889,43
Left,R,72,11,15.277777777777779,43
Right,L,72,23,31.944444444444443,43
Right,R,72,26,36.11111111111111,43
Left,L,72,21,29.166666666666668,44
Left,R,72,11,15.277777777777779,44
Right,L,72,21,29.166666666666668,44
Right,R,72,34,47.22222222222222,44
Left,L,72,22,30.555555555555557,45
Left,R,72,10,13.88888888888889,45
Right,L,72,16,22.22222222222222,45
Right,R,72,36,50.0,45
Left,L,72,22,30.555555555555557,46
Left,R,72,12,16.666666666666664,46
Right,L,72,20,27.77777777777778,46
Right,R,72,37,51.388888888888886,46
Left,L,72,22,30.555555555555557,47
Left,R,72,14,19.444444444444446,47
Right,L,72,16,22.22222222222222,47
Right,R,72,32,44.44444444444444,47
Left,L,72,19,26.38888888888889,48
Left,R,72,9,12.5,48
Right,L,72,12,16.666666666666664,48
Right,R,72,35,48.61111111111111,48
Left,L,72,24,33.33333333333333,49
Left,R,72,23,31.944444444444443,49
Right,L,72,14,19.444444444444446,49
Right,R,72,37,51.388888888888886,49
Left,L,72,24,33.33333333333333,50
Left,R,72,22,30.555555555555557,50
Right,L,72,20,27.77777777777778,50
Right,R,72,35,48.61111111111111,50
Left,L,72,23,31.944444444444443,51
Left,R,72,11,15.277777777777779,51
Right,L,72,17,23.61111111111111,51
Right,R,72,36,50.0,51
Left,L,72,24,33.33333333333333,52
Left,R,72,13,18.055555555555554,52
Right,L,72,13,18.055555555555554,52
Right,R,72,42,58.333333333333336,52
Left,L,72,23,31.944444444444443,53
Left,R,72,15,20.833333333333336,53
Right,L,72,15,20.833333333333336,53
Right,R,72,33,45.83333333333333,53
Left,L,72,25,34.72222222222222,54
Left,R,72,16,22.22222222222222,54
Right,L,72,20,27.77777777777778,54
Right,R,72,31,43.05555555555556,54
Left,L,72,23,31.944444444444443,55
Left,R,72,13,18.055555555555554,55
Right,L,72,22,30.555555555555557,55
Right,R,72,34,47.22222222222222,55
Left,L,72,21,29.166666666666668,56
Left,R,72,11,15.277777777777779,56
Right,L,72,19,26.38888888888889,56
Right,R,72,33,45.83333333333333,56
Left,L,72,19,26.38888888888889,57
Left,R,72,10,13.88888888888889,57
Right,L,72,19,26.38888888888889,57
Right,R,72,38,52.77777777777778,57
Left,L,72,28,38.88888888888889,58
Left,R,72,16,22.22222222222222,58
Right,L,72,21,29.166666666666668,58
Right,R,72,30,41.66666666666667,58
Left,L,72,17,23.61111111111111,59
Left,R,72,10,13.88888888888889,59
Right,L,72,28,38.88888888888889,59
Right,R,72,37,51.388888888888886,59
Left,L,72,31,43.05555555555556,60
Left,R,72,12,16.666666666666664,60
Right,L,72,23,31.944444444444443,60
Right,R,72,33,45.83333333333333,60
Left,L,72,17,23.61111111111111,61
Left,R,72,13,18.055555555555554,61
Right,L,72,14,19.444444444444446,61
Right,R,72,29,40.27777777777778,61
Left,L,72,24,33.33333333333333,62
Left,R,72,14,19.444444444444446,62
Right,L,72,17,23.61111111111111,62
Right,R,72,32,44.44444444444444,62
Left,L,72,29,40.27777777777778,63
Left,R,72,16,22.22222222222222,63
Right,L,72,15,20.833333333333336,63
Right,R,72,24,33.33333333333333,63
Left,L,72,23,31.944444444444443,64
Left,R,72,10,13.88888888888889,64
Right,L,72,16,22.22222222222222,64
Right,R,72,34,47.22222222222222,64
Left,L,72,21,29.166666666666668,65
Left,R,72,14,19.444444444444446,65
Right,L,72,17,23.61111111111111,65
Right,R,72,27,37.5,65
Left,L,72,24,33.33333333333333,66
Left,R,72,11,15.277777777777779,66
Right,L,72,20,27.77777777777778,66
Right,R,72,32,44.44444444444444,66
Left,L,72,24,33.33333333333333,67
Left,R,72,13,18.055555555555554,67
Right,L,72,15,20.833333333333336,67
Right,R,72,43,59.72222222222222,67
Left,L,72,27,37.5,68
Left,R,72,13,18.055555555555554,68
Right,L,72,17,23.61111111111111,68
Right,R,72,30,41.66666666666667,68
Left,L,72,23,31.944444444444443,69
Left,R,72,13,18.055555555555554,69
Right,L,72,20,27.77777777777778,69
Right,R,72,33,45.83333333333333,69
Left,L,72,23,31.944444444444443,70
Left,R,72,17,23.61111111111111,70
Right,L,72,19,26.38888888888889,70
Right,R,72,27,37.5,70
Left,L,72,23,31.944444444444443,71
Left,R,72,16,22.22222222222222,71
Right,L,72,16,22.22222222222222,71
Right,R,72,32,44.44444444444444,71
Left,L,72,28,38.88888888888889,72
Left,R,72,13,18.055555555555554,72
Right,L,72,22,30.555555555555557,72
Right,R,72,36,50.0,72
Left,L,72,19,26.38888888888889,73
Left,R,72,14,19.444444444444446,73
Right,L,72,16,22.22222222222222,73
Right,R,72,38,52.77777777777778,73
Left,L,72,25,34.72222222222222,74
Left,R,72,13,18.055555555555554,74
Right,L,72,14,19.444444444444446,74
Right,R,72,35,48.61111111111111,74
Left,L,72,21,29.166666666666668,75
Left,R,72,9,12.5,75
Right,L,72,17,23.61111111111111,75
Right,R,72,35,48.61111111111111,75
Left,L,72,23,31.944444444444443,76
Left,R,72,10,13.88888888888889,76
Right,L,72,18,25.0,76
Right,R,72,34,47.22222222222222,76
Left,L,72,26,36.11111111111111,77
Left,R,72,15,20.833333333333336,77
Right,L,72,16,22.22222222222222,77
Right,R,72,31,43.05555555555556,77
Left,L,72,22,30.555555555555557,78
Left,R,72,9,12.5,78
Right,L,72,18,25.0,78
Right,R,72,37,51.388888888888886,78
Left,L,72,22,30.555555555555557,79
Left,R,72,14,19.444444444444446,79
Right,L,72,21,29.166666666666668,79
Right,R,72,31,43.05555555555556,79
Left,L,72,23,31.944444444444443,80
Left,R,72,12,16.666666666666664,80
Right,L,72,10,13.88888888888889,80
Right,R,72,38,52.77777777777778,80
Left,L,72,23,31.944444444444443,81
Left,R,72,13,18.055555555555554,81
Right,L,72,11,15.277777777777779,81
Right,R,72,34,47.22222222222222,81
Left,L,72,24,33.33333333333333,82
Left,R,72,14,19.444444444444446,82
Right,L,72,14,19.444444444444446,82
Right,R,72,30,41.66666666666667,82
Left,L,72,23,31.944444444444443,83
Left,R,72,14,19.444444444444446,83
Right,L,72,20,27.77777777777778,83
Right,R,72,28,38.88888888888889,83
Left,L,72,17,23.61111111111111,84
Left,R,72,17,23.61111111111111,84
Right,L,72,28,38.88888888888889,84
Right,R,72,24,33.33333333333333,84
Left,L,72,18,25.0,85
Left,R,72,13,18.055555555555554,85
Right,L,72,16,22.22222222222222,85
Right,R,72,34,47.22222222222222,85
Left,L,72,23,31.944444444444443,86
Left,R,72,11,15.277777777777779,86
Right,L,72,12,16.666666666666664,86
Right,R,72,35,48.61111111111111,86
