Condition,originalFile,Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,SessionDate,LeftTemperature,RightTemperature,fNum,ResponseAngle,Spkr_Rad,spkr_hemifield,resp_hemifield,LatCorrect,Error
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,13,0,1191.439,0,8,-90,700,1181,0.0,8,1192.674,1,736626.67878,Aud,2016-10-23 15:57:00,9.3,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,41,0,1142.552,0,8,-90,700,1161,0.0,8,1144.026,1,736628.365499,Aud,2016-10-25 08:27:00,9.6,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,98,0,2396.605,0,8,-90,700,1181,0.0,8,2401.5,1,736626.692771,Aud,2016-10-23 15:57:00,,,1509,-90,-1.5707963267948966,L,L,1,0
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,98,0,2396.605,0,8,-90,700,1181,0.0,8,2401.5,1,736626.692771,Aud,2016-10-23 15:57:00,,,1509,-90,-1.5707963267948966,L,L,1,0
Left,12_10_2016 level15_700_Robin 10_3 Left,9,0,415.236,0,8,-90,700,1021,0.0,8,418.535,1,736615.423969,Aud,2016-10-12 10:03:00,11.0,37.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,12_10_2016 level15_700_Robin 10_3 Left,37,0,942.538,0,8,-90,700,1161,0.0,8,944.758,1,736615.430059,Aud,2016-10-12 10:03:00,8.9,37.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,72,0,2010.385,0,8,-90,700,1041,0.0,8,2012.137,1,736626.688263,Aud,2016-10-23 15:57:00,7.9,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,12_10_2016 level15_700_Robin 10_3 Left,9,0,415.236,0,8,-90,700,1021,0.0,8,418.535,1,736615.423969,Aud,2016-10-12 10:03:00,11.0,37.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,48,0,1243.993,0,8,-90,700,1121,4.5,8,1246.001,1,736628.36668,Aud,2016-10-25 08:27:00,9.4,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,62,0,1677.072,0,8,-90,700,1021,4.5,4,1667.842,0,736629.45139,Aud,2016-10-26 10:22:00,10.2,36.0,1509,30,-1.5707963267948966,L,R,0,120
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,98,0,1801.349,0,8,-90,700,1041,4.5,3,1806.976,0,736628.373171,Aud,2016-10-25 08:27:00,9.2,36.0,1509,60,-1.5707963267948966,L,R,0,150
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,48,0,1243.993,0,8,-90,700,1121,4.5,8,1246.001,1,736628.36668,Aud,2016-10-25 08:27:00,9.4,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,47,0,1419.918,0,8,-90,700,1161,4.5,8,1421.47,1,736629.44843,Aud,2016-10-26 10:22:00,9.5,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,47,0,1419.918,0,8,-90,700,1161,4.5,8,1421.47,1,736629.44843,Aud,2016-10-26 10:22:00,9.5,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,62,0,1677.072,0,8,-90,700,1021,4.5,4,1667.842,0,736629.45139,Aud,2016-10-26 10:22:00,10.2,36.0,1509,30,-1.5707963267948966,L,R,0,120
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,48,0,1243.993,0,8,-90,700,1121,4.5,8,1246.001,1,736628.36668,Aud,2016-10-25 08:27:00,9.4,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,68,0,1790.411,0,8,-90,700,1081,9.0,7,1791.874,0,736629.452717,Aud,2016-10-26 10:22:00,10.2,36.0,1509,-60,-1.5707963267948966,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,46,0,1654.149,0,8,-90,700,1161,9.0,8,1655.625,1,736626.684137,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,68,0,1790.411,0,8,-90,700,1081,9.0,7,1791.874,0,736629.452717,Aud,2016-10-26 10:22:00,10.2,36.0,1509,-60,-1.5707963267948966,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,68,0,1790.411,0,8,-90,700,1081,9.0,7,1791.874,0,736629.452717,Aud,2016-10-26 10:22:00,10.2,36.0,1509,-60,-1.5707963267948966,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,46,0,1654.149,0,8,-90,700,1161,9.0,8,1655.625,1,736626.684137,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,68,0,1790.411,0,8,-90,700,1081,9.0,7,1791.874,0,736629.452717,Aud,2016-10-26 10:22:00,10.2,36.0,1509,-60,-1.5707963267948966,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,46,0,1654.149,0,8,-90,700,1161,9.0,8,1655.625,1,736626.684137,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,46,0,1654.149,0,8,-90,700,1161,9.0,8,1655.625,1,736626.684137,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-90,-1.5707963267948966,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,100,0,1834.48,0,7,-60,700,1141,0.0,8,1836.034,0,736628.373508,Aud,2016-10-25 08:27:00,,,1509,-90,-1.0471975511965976,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,36,0,1562.616,0,7,-60,700,1201,0.0,8,1564.689,0,736626.683085,Aud,2016-10-23 15:57:00,8.4,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,58,0,1354.999,0,7,-60,700,1141,0.0,7,1356.408,1,736628.367957,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-60,-1.0471975511965976,L,L,1,0
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,53,0,1514.189,0,7,-60,700,1141,0.0,8,1515.594,0,736629.44952,Aud,2016-10-26 10:22:00,9.4,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,53,0,1514.189,0,7,-60,700,1141,0.0,8,1515.594,0,736629.44952,Aud,2016-10-26 10:22:00,9.4,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,36,0,1562.616,0,7,-60,700,1201,0.0,8,1564.689,0,736626.683085,Aud,2016-10-23 15:57:00,8.4,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,53,0,1514.189,0,7,-60,700,1141,0.0,8,1515.594,0,736629.44952,Aud,2016-10-26 10:22:00,9.4,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,53,0,1514.189,0,7,-60,700,1141,0.0,8,1515.594,0,736629.44952,Aud,2016-10-26 10:22:00,9.4,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,98,0,2204.965,0,7,-60,700,1061,4.5,8,2206.682,0,736629.457518,Aud,2016-10-26 10:22:00,,,1509,-90,-1.0471975511965976,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,98,0,2204.965,0,7,-60,700,1061,4.5,8,2206.682,0,736629.457518,Aud,2016-10-26 10:22:00,,,1509,-90,-1.0471975511965976,L,L,1,30
Left,12_10_2016 level15_700_Robin 10_3 Left,6,0,322.956,0,7,-60,700,1041,4.5,2,331.49,0,736615.422961,Aud,2016-10-12 10:03:00,11.0,37.0,1509,90,-1.0471975511965976,L,R,0,150
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,14,0,1202.678,0,7,-60,700,1081,4.5,4,1204.322,0,736626.678915,Aud,2016-10-23 15:57:00,9.3,36.0,1509,30,-1.0471975511965976,L,R,0,90
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,83,0,2148.959,0,7,-60,700,1021,4.5,8,2150.032,0,736626.689859,Aud,2016-10-23 15:57:00,7.9,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,98,0,2204.965,0,7,-60,700,1061,4.5,8,2206.682,0,736629.457518,Aud,2016-10-26 10:22:00,,,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,55,0,1324.836,0,7,-60,700,1081,4.5,8,1326.596,0,736628.367612,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,14,0,1202.678,0,7,-60,700,1081,4.5,4,1204.322,0,736626.678915,Aud,2016-10-23 15:57:00,9.3,36.0,1509,30,-1.0471975511965976,L,R,0,90
Left,12_10_2016 level15_700_Robin 10_3 Left,38,0,956.715,0,7,-60,700,1001,9.0,8,960.772,0,736615.430245,Aud,2016-10-12 10:03:00,8.9,37.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,48,0,1678.286,0,7,-60,700,1121,9.0,4,1681.845,0,736626.68444,Aud,2016-10-23 15:57:00,8.0,36.0,1509,30,-1.0471975511965976,L,R,0,90
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,30,0,1014.382,0,7,-60,700,1121,9.0,4,1019.053,0,736628.364052,Aud,2016-10-25 08:27:00,8.1,36.0,1509,30,-1.0471975511965976,L,R,0,90
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,12,0,791.343,0,7,-60,700,1021,9.0,8,793.516,0,736628.361442,Aud,2016-10-25 08:27:00,11.0,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,12,0,791.343,0,7,-60,700,1021,9.0,8,793.516,0,736628.361442,Aud,2016-10-25 08:27:00,11.0,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,12,0,791.343,0,7,-60,700,1021,9.0,8,793.516,0,736628.361442,Aud,2016-10-25 08:27:00,11.0,36.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,30,0,1014.382,0,7,-60,700,1121,9.0,4,1019.053,0,736628.364052,Aud,2016-10-25 08:27:00,8.1,36.0,1509,30,-1.0471975511965976,L,R,0,90
Left,12_10_2016 level15_700_Robin 10_3 Left,38,0,956.715,0,7,-60,700,1001,9.0,8,960.772,0,736615.430245,Aud,2016-10-12 10:03:00,8.9,37.0,1509,-90,-1.0471975511965976,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,68,0,1945.299,0,6,-30,700,1101,0.0,7,1947.135,0,736626.687511,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,84,0,1610.281,0,6,-30,700,1101,0.0,6,1611.444,1,736628.370909,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,-0.5235987755982988,L,L,1,0
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,68,0,1945.299,0,6,-30,700,1101,0.0,7,1947.135,0,736626.687511,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,60,0,1793.6,0,6,-30,700,1021,0.0,7,1795.203,0,736626.685752,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,84,0,1610.281,0,6,-30,700,1101,0.0,6,1611.444,1,736628.370909,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,-0.5235987755982988,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,84,0,1610.281,0,6,-30,700,1101,0.0,6,1611.444,1,736628.370909,Aud,2016-10-25 08:27:00,9.2,36.0,1509,-30,-0.5235987755982988,L,L,1,0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,34,0,1063.689,0,6,-30,700,1101,0.0,7,1065.209,0,736628.364587,Aud,2016-10-25 08:27:00,8.1,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,23_10_2016 level15_700_Robin 15_57 Left_T7,60,0,1793.6,0,6,-30,700,1021,0.0,7,1795.203,0,736626.685752,Aud,2016-10-23 15:57:00,8.0,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,41,0,1319.327,0,6,-30,700,1181,4.5,7,1320.78,0,736629.447265,Aud,2016-10-26 10:22:00,9.5,36.0,1509,-60,-0.5235987755982988,L,L,1,30
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,109,0,2363.444,0,6,-30,700,1021,4.5,2,2377.671,0,736629.459497,Aud,2016-10-26 10:22:00,,,1509,90,-0.5235987755982988,L,R,0,120
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,109,0,2363.444,0,6,-30,700,1021,4.5,2,2377.671,0,736629.459497,Aud,2016-10-26 10:22:00,,,1509,90,-0.5235987755982988,L,R,0,120
Left,26_10_2016 level15_700_Robin 10_22 Left_T23,41,0,1319.327,0,6,-30,700,1181,4.5,7,1320.78,0,736629.447265,Aud,2016-10-26 10:22:00,9.5,36.0,1509,-60,-0.5235987755982988,L,L,1,30
