Condition,originalFile,Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,SessionDate,LeftTemperature,RightTemperature,fNum,ResponseAngle,Spkr_Rad,spkr_hemifield,resp_hemifield,LatCorrect,Error
Bilateral,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,49,0,1109.132,0,8,-90,700,1041,0.0,8,1110.478,1,736622.427058,Aud,2016-10-19 09:56:00,,,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,17,0,374.348,0,8,-90,700,1081,0.0,8,376.035,1,736621.418696,Aud,2016-10-18 09:56:00,7.8,7.8,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,35,0,625.565,1,8,-90,700,1081,0.0,8,630.475,1,736621.421641,Aud,2016-10-18 09:56:00,7.5,7.2,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,22,0,1154.347,1,8,-90,700,1101,0.0,3,1160.23,0,736624.400207,Aud,2016-10-21 09:16:00,9.5,11.0,1509,60,-1.5707963267948966,L,R,0,150
Bilateral,19_10_2016 level15_700_Robin 14_57 Bilateral6-14_Control14-end,6,0,1961.303,0,8,-90,700,1081,0.0,8,1964.678,1,736622.646074,Aud,2016-10-19 14:57:00,10.9,6.6,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,35,0,625.565,1,8,-90,700,1081,0.0,8,630.475,1,736621.421641,Aud,2016-10-18 09:56:00,7.5,7.2,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,19_10_2016 level15_700_Robin 9_56 Bilateral14_t15-54,49,0,1109.132,0,8,-90,700,1041,0.0,8,1110.478,1,736622.427058,Aud,2016-10-19 09:56:00,,,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,35,0,625.565,1,8,-90,700,1081,0.0,8,630.475,1,736621.421641,Aud,2016-10-18 09:56:00,7.5,7.2,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,18_10_2016 level15_700_Robin 9_56 Bilateral_T0,35,0,625.565,1,8,-90,700,1081,0.0,8,630.475,1,736621.421641,Aud,2016-10-18 09:56:00,7.5,7.2,1509,-90,-1.5707963267948966,L,L,1,0
Bilateral,21_10_2016 level15_700_Robin 9_16 Bilateral_T8,41,0,1386.087,0,8,-90,700,1101,4.5,7,1387.951,0,736624.402842,Aud,2016-10-21 09:16:00,9.0,7.5,1509,-60,-1.5707963267948966,L,L,1,30
