Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	1181.294	0	8	90	250	751	4.5	8	1182.255	1	736133.712611	1	
2	0	1191.790	0	8	90	250	901	0.0	8	1192.534	1	736133.712731	0	
3	0	1215.425	0	5	0	250	501	4.5	8	1216.980	0	736133.713013	0	
4	0	1231.852	0	5	0	250	701	9.0	8	1233.244	0	736133.713201	1	
5	0	1241.454	0	3	-60	250	601	4.5	3	1242.450	1	736133.713309	1	
6	0	1249.654	0	7	60	250	951	0.0	8	1250.335	0	736133.713401	0	
7	0	1264.456	0	3	-60	250	651	0.0	2	1265.311	0	736133.713573	0	
8	0	1277.183	0	6	30	250	551	4.5	7	1278.492	0	736133.713725	1	
9	0	1285.621	0	4	-30	250	851	0.0	4	1286.998	1	736133.713823	1	
10	0	1298.481	0	8	90	250	801	4.5	8	1299.613	1	736133.713969	0	
11	0	1307.803	0	4	-30	250	851	4.5	3	1308.705	0	736133.714075	0	
12	0	1315.392	0	3	-60	250	601	9.0	3	1316.122	1	736133.714162	1	
13	0	1323.349	0	7	60	250	1001	9.0	8	1324.153	0	736133.714253	1	
14	0	1336.591	0	6	30	250	701	0.0	7	1337.720	0	736133.714410	0	
15	0	1349.168	0	2	-90	250	901	4.5	2	1350.037	1	736133.714553	0	
16	0	1367.356	0	7	60	250	801	9.0	7	1368.431	1	736133.714766	0	
17	0	1372.362	0	6	30	250	751	9.0	8	1373.389	0	736133.714824	1	
18	0	1379.901	0	5	0	250	651	0.0	3	1381.292	0	736133.714915	1	
19	0	1388.971	0	2	-90	250	551	0.0	2	1389.832	1	736133.715014	1	
20	0	1400.577	0	5	0	250	501	9.0	8	1401.797	0	736133.715152	0	
21	0	1419.384	0	4	-30	250	951	9.0	4	1420.310	1	736133.715366	0	
22	0	1430.702	0	2	-90	250	901	0.0	2	1431.604	1	736133.715498	1	
23	0	1442.710	0	8	90	250	701	9.0	8	1443.776	1	736133.715638	1	
24	0	1453.162	0	7	60	250	501	0.0	8	1453.934	0	736133.715756	1	
25	0	1463.895	0	3	-60	250	601	9.0	3	1464.725	1	736133.715881	0	
26	0	1473.585	0	2	-90	250	1001	0.0	3	1474.201	0	736133.715993	0	
27	0	1479.558	0	4	-30	250	551	0.0	4	1481.091	1	736133.716070	1	
28	0	1491.977	0	6	30	250	751	4.5	4	1493.763	0	736133.716217	0	
29	0	1499.587	0	7	60	250	851	9.0	8	1500.359	0	736133.716294	0	
30	0	1506.638	0	5	0	250	651	4.5	4	1507.617	0	736133.716377	1	
31	0	1516.251	0	2	-90	250	1001	9.0	3	1517.234	0	736133.716488	1	
32	0	1529.914	0	5	0	250	651	0.0	6	1530.992	0	736133.716648	1	
33	0	1534.502	0	6	30	250	551	4.5	7	1535.411	0	736133.716698	0	
34	0	1543.229	1	2	-90	250	501	9.0	3	1544.156	0	736133.716799	0	
35	0	1550.065	0	3	-60	250	951	0.0	4	1551.252	0	736133.716883	0	
