Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	85.317	0	8	90	250	551	9.0	8	86.265	1	736168.723648	0	
2	0	93.812	0	4	-30	250	651	0.0	2	97.139	0	736168.723773	1	
3	0	108.865	0	5	0	250	901	9.0	6	110.618	0	736168.723929	0	
4	0	121.390	0	7	60	250	801	0.0	8	122.521	0	736168.724067	0	
5	0	136.007	0	6	30	250	701	4.5	4	137.697	0	736168.724242	0	
6	0	146.644	0	6	30	250	601	9.0	7	148.493	0	736168.724367	0	
7	0	159.562	0	3	-60	250	851	9.0	3	161.595	1	736168.724519	0	
8	0	194.236	0	2	-90	250	751	0.0	3	195.899	0	736168.724916	1	
9	0	218.030	0	8	90	250	1001	9.0	8	218.950	1	736168.725182	0	
10	0	228.419	0	3	-60	250	951	4.5	2	229.841	0	736168.725308	1	
11	0	239.485	0	3	-60	250	551	9.0	3	240.554	1	736168.725433	0	
12	0	258.542	0	2	-90	250	901	4.5	3	260.702	0	736168.725666	1	
13	0	270.474	0	4	-30	250	801	0.0	4	271.664	1	736168.725793	1	
14	0	280.829	0	8	90	250	751	9.0	8	281.914	1	736168.725911	1	
15	0	288.916	0	2	-90	250	601	9.0	3	290.305	0	736168.726008	0	
16	0	303.942	1	7	60	250	851	4.5	7	305.133	1	736168.726180	0	
17	0	314.782	0	8	90	250	651	9.0	8	316.216	1	736168.726309	1	
18	0	323.902	0	5	0	250	1001	0.0	5	325.002	1	736168.726410	0	
19	0	333.871	0	5	0	250	701	4.5	4	334.904	0	736168.726525	1	
20	0	345.310	0	4	-30	250	951	0.0	4	346.146	1	736168.726654	0	
21	0	354.388	0	6	30	250	951	9.0	6	355.627	1	736168.726764	1	
22	0	366.627	0	7	60	250	601	0.0	7	367.901	1	736168.726907	1	
23	0	374.043	0	3	-60	250	851	9.0	4	375.212	0	736168.726991	1	
24	0	398.086	0	5	0	250	1001	4.5	5	399.142	1	736168.727268	1	
25	0	414.099	0	4	-30	250	801	9.0	4	415.042	1	736168.727452	0	
26	0	422.668	0	7	60	250	701	4.5	4	423.884	0	736168.727555	1	
27	0	433.085	0	6	30	250	501	9.0	5	435.548	0	736168.727690	1	
28	0	444.980	0	2	-90	250	551	0.0	2	445.755	1	736168.727809	0	
29	0	457.239	0	7	60	250	901	0.0	7	458.310	1	736168.727953	0	
30	0	467.945	0	3	-60	250	651	4.5	3	469.698	1	736168.728085	1	
31	0	483.182	0	6	30	250	851	0.0	6	484.155	1	736168.728253	0	
32	0	495.018	0	8	90	250	601	4.5	8	496.043	1	736168.728389	1	
33	0	503.742	0	6	30	250	901	9.0	6	504.836	1	736168.728492	1	
34	0	517.272	0	4	-30	250	551	0.0	4	518.210	1	736168.728646	1	
35	0	525.346	0	3	-60	250	801	9.0	4	526.451	0	736168.728742	0	
36	0	534.520	0	2	-90	250	501	0.0	3	535.525	0	736168.728847	0	
37	0	544.741	0	8	90	250	701	9.0	8	545.791	1	736168.728966	1	
38	0	554.062	0	2	-90	250	651	4.5	2	555.152	1	736168.729074	1	
39	0	566.074	0	4	-30	250	951	9.0	5	567.349	0	736168.729214	1	
40	0	574.066	0	5	0	250	751	4.5	5	575.083	1	736168.729305	1	
41	0	584.547	0	2	-90	250	551	9.0	3	585.587	0	736168.729426	0	
42	0	598.748	0	3	-60	250	951	4.5	4	599.729	0	736168.729590	0	
43	0	608.519	1	5	0	250	851	0.0	5	609.390	1	736168.729701	1	
44	0	618.191	0	7	60	250	501	9.0	7	619.331	1	736168.729816	1	
45	0	631.574	0	6	30	250	751	4.5	6	632.757	1	736168.729972	0	
46	0	642.671	0	4	-30	250	801	9.0	5	644.036	0	736168.730102	0	
47	0	653.702	0	2	-90	250	601	0.0	2	654.710	1	736168.730226	1	
48	0	663.815	0	5	0	250	701	4.5	6	664.834	0	736168.730343	0	
49	0	677.864	0	7	60	250	901	9.0	7	678.918	1	736168.730506	0	
50	0	687.267	0	6	30	250	651	4.5	6	688.407	1	736168.730616	1	
51	0	697.469	0	4	-30	250	601	4.5	4	698.383	1	736168.730731	0	
52	0	706.108	0	8	90	250	751	9.0	8	706.869	1	736168.730831	0	
53	0	714.126	0	3	-60	250	801	9.0	3	715.221	1	736168.730926	1	
54	0	722.506	0	5	0	250	701	0.0	6	723.515	0	736168.731022	0	
55	0	733.894	0	8	90	250	501	0.0	8	734.762	1	736168.731153	0	
56	0	742.591	0	7	60	250	651	9.0	7	744.130	1	736168.731261	1	
57	0	751.058	0	5	0	250	901	0.0	5	752.129	1	736168.731353	0	
58	0	762.476	0	8	90	250	551	4.5	8	763.324	1	736168.731483	0	
59	0	769.725	0	5	0	250	1001	0.0	4	770.547	0	736168.731567	0	
60	0	777.501	0	2	-90	250	851	4.5	2	778.292	1	736168.731657	1	
61	0	788.062	0	6	30	250	901	9.0	6	789.296	1	736168.731784	1	
62	0	797.994	0	5	0	250	651	0.0	4	798.862	0	736168.731894	1	
63	0	814.045	0	2	-90	250	751	9.0	3	814.959	0	736168.732080	0	
64	0	823.455	0	4	-30	250	951	0.0	4	824.266	1	736168.732189	0	
65	0	830.734	1	7	60	250	551	4.5	7	831.932	1	736168.732277	1	
66	0	839.385	1	8	90	250	701	9.0	8	840.158	1	736168.732374	1	
67	0	846.910	0	8	90	250	851	9.0	8	847.943	1	736168.732462	1	
68	0	859.489	0	3	-60	250	501	0.0	3	860.534	1	736168.732608	1	
69	0	867.211	0	4	-30	250	1001	9.0	4	867.908	1	736168.732695	0	
70	0	875.689	0	7	60	250	601	0.0	7	876.620	1	736168.732794	0	
71	0	882.645	0	8	90	250	501	9.0	8	883.437	1	736168.732874	0	
72	0	889.022	1	7	60	250	651	4.5	7	890.364	1	736168.732953	0	
73	0	897.559	0	7	60	250	551	4.5	7	898.773	1	736168.733050	1	
74	0	907.162	0	3	-60	250	701	0.0	4	908.104	0	736168.733159	0	
