Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	99.509	0	8	90	250	901	0.0	8	100.533	1	736120.376432	1	
2	0	129.631	0	7	60	250	1001	9.0	8	131.634	0	736120.376792	0	
3	0	158.643	0	5	0	250	951	0.0	8	160.088	0	736120.377121	1	
4	0	170.029	0	4	-30	250	651	9.0	5	173.642	0	736120.377278	1	
5	0	179.721	0	6	30	250	751	0.0	7	180.878	0	736120.377361	0	
6	0	187.784	0	7	60	250	551	9.0	7	189.304	1	736120.377460	0	
7	0	195.575	0	7	60	250	701	9.0	8	196.481	0	736120.377542	1	
8	0	212.474	0	3	-60	250	501	4.5	2	214.707	0	736120.377754	0	
9	0	226.049	0	4	-30	250	601	9.0	3	227.446	0	736120.377901	1	
10	0	247.557	0	4	-30	250	851	0.0	4	248.518	1	736120.378145	0	
11	0	251.125	0	3	-60	250	701	4.5	2	252.040	0	736120.378186	1	
12	0	280.237	0	5	0	250	851	0.0	6	281.599	0	736120.378528	0	
13	0	297.300	0	8	90	250	801	9.0	8	298.313	1	736120.378721	0	
14	0	307.790	0	2	-90	250	1001	0.0	2	308.683	1	736120.378841	1	
15	0	315.018	0	7	60	250	651	0.0	2	316.304	0	736120.378930	1	
16	0	335.196	0	6	30	250	901	4.5	8	336.357	0	736120.379161	1	
17	0	352.183	0	8	90	250	601	4.5	8	353.338	1	736120.379358	0	
18	0	369.962	0	5	0	250	551	0.0	7	371.579	0	736120.379569	0	
19	0	386.123	0	8	90	250	751	9.0	8	387.134	1	736120.379749	1	
20	0	402.225	0	2	-90	250	951	4.5	2	402.934	1	736120.379933	0	
21	0	416.047	0	6	30	250	951	4.5	2	417.288	0	736120.380098	0	
22	0	435.216	0	2	-90	250	501	9.0	2	436.371	1	736120.380319	1	
23	0	444.277	0	5	0	250	651	9.0	4	446.259	0	736120.380433	1	
24	0	459.753	0	3	-60	250	851	0.0	3	460.927	1	736120.380603	1	
25	0	469.463	1	3	-60	250	601	4.5	3	470.375	1	736120.380712	0	
