Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	951.191	0	3	-60	250	501	4.5	2	953.219	0	736126.591271	0	
2	0	977.429	0	6	30	250	601	0.0	3	983.095	0	736126.591617	1	
3	0	1015.673	0	7	60	250	1001	0.0	7	1018.542	1	736126.592027	0	
4	0	1035.785	0	4	-30	250	651	4.5	4	1037.217	1	736126.592243	0	
5	0	1056.431	0	2	-90	250	801	9.0	4	1057.822	0	736126.592481	0	
6	0	1065.433	0	7	60	250	701	4.5	6	1069.344	0	736126.592615	1	
7	0	1091.584	0	8	90	250	751	9.0	8	1092.579	1	736126.592885	1	
8	0	1099.395	0	6	30	250	551	0.0	7	1100.250	0	736126.592973	0	
9	0	1111.621	0	2	-90	250	851	0.0	8	1112.350	0	736126.593114	1	
10	0	1133.589	0	8	90	250	901	9.0	8	1134.373	1	736126.593369	0	
11	0	1148.142	0	4	-30	250	701	9.0	4	1149.060	1	736126.593537	0	
12	0	1160.302	0	5	0	250	551	4.5	2	1161.631	0	736126.593683	0	
13	0	1176.733	0	6	30	250	901	4.5	5	1178.035	0	736126.593873	1	
14	0	1184.407	0	6	30	250	801	9.0	6	1185.304	1	736126.593957	0	
15	0	1198.591	0	2	-90	250	751	4.5	2	1199.617	1	736126.594123	1	
16	0	1207.947	1	4	-30	250	501	0.0	4	1209.200	1	736126.594234	1	
17	0	1219.812	0	5	0	250	601	4.5	3	1223.998	0	736126.594404	1	
18	0	1235.640	0	8	90	250	851	0.0	8	1236.515	1	736126.594550	1	
19	0	1240.018	0	8	90	250	1001	0.0	8	1241.286	1	736126.594605	0	
20	0	1249.640	0	4	-30	250	951	4.5	4	1250.732	1	736126.594714	1	
21	0	1259.985	0	3	-60	250	701	9.0	3	1260.958	1	736126.594833	1	
22	0	1267.472	0	3	-60	250	501	0.0	4	1268.439	0	736126.594919	0	
23	0	1274.790	0	3	-60	250	851	9.0	4	1276.448	0	736126.595012	1	
24	0	1282.997	0	5	0	250	551	0.0	6	1284.475	0	736126.595105	1	
25	0	1292.503	0	2	-90	250	901	4.5	4	1293.548	0	736126.595210	0	
26	0	1303.566	0	7	60	250	951	0.0	8	1304.479	0	736126.595336	1	
27	0	1319.569	0	7	60	250	651	0.0	7	1320.371	1	736126.595521	0	
28	0	1330.326	0	5	0	250	801	9.0	5	1331.582	1	736126.595651	0	
29	0	1334.130	0	3	-60	250	1001	4.5	3	1334.855	1	736126.595689	1	
30	0	1340.600	0	8	90	250	751	9.0	8	1341.375	1	736126.595765	0	
31	0	1348.061	0	6	30	250	901	9.0	7	1350.408	0	736126.595868	1	
32	0	1358.057	0	8	90	250	701	0.0	5	1358.738	0	736126.595967	1	
33	0	1363.882	0	5	0	250	601	0.0	5	1364.837	1	736126.596035	0	
34	0	1388.253	0	2	-90	250	801	9.0	3	1388.982	0	736126.596315	0	
