Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	1787.580	0	7	60	100	901	9.0	8	1788.313	0	736175.690713	0	
2	0	1861.874	0	4	-30	100	701	0.0	8	1863.313	0	736175.691579	0	
3	0	1876.065	0	2	-90	100	951	0.0	3	1877.732	0	736175.691746	0	
4	0	1889.980	0	5	0	100	651	4.5	6	1891.448	0	736175.691906	0	
5	0	1901.746	0	3	-60	100	1001	0.0	2	1902.397	0	736175.692035	0	
6	0	1911.808	0	6	30	100	851	9.0	4	1914.032	0	736175.692166	0	
7	0	1920.101	0	8	90	100	751	0.0	8	1921.318	1	736175.692251	0	
8	0	1924.650	0	6	30	100	801	9.0	8	1925.635	0	736175.692300	0	
9	0	1936.779	0	7	60	100	601	0.0	8	1938.057	0	736175.692444	0	
10	0	1953.561	0	8	90	100	551	9.0	8	1954.592	1	736175.692636	0	
11	0	1967.406	0	4	-30	100	601	0.0	2	1969.251	0	736175.692805	0	
12	0	1980.948	0	2	-90	100	1001	9.0	2	1982.674	1	736175.692961	0	
13	0	2012.606	0	5	0	100	901	0.0	4	2013.629	0	736175.693319	0	
14	0	2019.960	0	3	-60	100	651	4.5	2	2021.304	0	736175.693408	0	
15	0	2030.901	0	7	60	100	701	9.0	8	2031.732	0	736175.693529	0	
16	0	2042.776	0	3	-60	100	501	0.0	3	2043.697	1	736175.693667	0	
17	0	2073.791	0	2	-90	100	751	0.0	2	2074.748	1	736175.694026	0	
18	0	2086.801	0	6	30	100	551	4.5	3	2087.952	0	736175.694179	0	
19	0	2098.859	0	8	90	100	801	0.0	8	2100.165	1	736175.694321	0	
20	0	2108.129	0	3	-60	100	951	4.5	2	2109.320	0	736175.694427	0	
21	0	2118.937	0	5	0	100	701	4.5	5	2120.426	1	736175.694555	0	
22	0	2132.068	0	4	-30	100	801	9.0	2	2133.219	0	736175.694704	0	
23	0	2143.474	0	2	-90	100	751	0.0	2	2144.203	1	736175.694832	0	
24	0	2153.878	0	5	0	100	901	4.5	4	2154.763	0	736175.694953	0	
25	0	2163.451	1	8	90	100	951	0.0	8	2164.837	1	736175.695069	0	
26	0	2171.867	0	7	60	100	501	9.0	8	2175.765	0	736175.695196	0	
27	0	2196.531	0	6	30	100	651	4.5	6	2197.765	1	736175.695451	0	
28	0	2215.510	0	4	-30	100	551	9.0	3	2217.092	0	736175.695675	0	
29	0	2232.966	0	3	-60	100	851	9.0	4	2234.602	0	736175.695877	0	
30	0	2245.795	0	4	-30	100	1001	0.0	2	2246.813	0	736175.696018	0	
31	0	2259.427	0	7	60	100	501	9.0	7	2260.495	1	736175.696177	0	
32	0	2267.372	0	3	-60	100	801	0.0	2	2268.986	0	736175.696275	0	
33	0	2282.767	0	8	90	100	751	4.5	8	2283.593	1	736175.696444	0	
34	0	2292.921	0	2	-90	100	701	9.0	2	2294.311	1	736175.696568	0	
35	0	2304.211	1	7	60	100	851	4.5	8	2305.131	0	736175.696693	0	
36	0	2338.554	0	4	-30	100	1001	0.0	3	2339.550	0	736175.697091	0	
37	0	2350.136	0	2	-90	100	901	4.5	2	2350.813	1	736175.697224	0	
38	0	2359.460	0	6	30	100	651	9.0	6	2360.654	1	736175.697335	0	
39	0	2373.948	0	8	90	100	601	9.0	8	2374.882	1	736175.697501	0	
40	0	2382.710	0	5	0	100	951	4.5	5	2384.046	1	736175.697606	0	
41	0	2386.516	0	6	30	100	551	9.0	6	2387.573	1	736175.697648	0	
42	0	2398.031	0	5	0	100	701	0.0	4	2399.017	0	736175.697780	0	
43	0	2410.243	0	7	60	100	601	4.5	8	2410.933	0	736175.697919	0	
44	0	2419.596	0	4	-30	100	651	0.0	2	2420.857	0	736175.698033	0	
45	0	2433.786	1	4	-30	100	901	9.0	3	2434.724	0	736175.698193	0	
46	0	2445.045	0	2	-90	100	501	4.5	3	2446.513	0	736175.698330	0	
47	0	2458.295	0	5	0	100	951	4.5	5	2459.270	1	736175.698477	0	
