Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
25	0	884.878	0	6	30	700	1001	0.0	3	895.423	0	736616.371542	0	
26	1	906.046	0	6	30	700	1001	0.0	4	908.098	0	736616.371688	0	
27	0	916.272	0	3	-60	700	1101	9.0	4	917.769	0	736616.371801	0	
28	1	930.500	0	3	-60	700	1101	9.0	3	932.097	1	736616.371966	0	
29	0	944.407	0	7	60	700	1041	9.0	7	946.226	1	736616.372130	0	
30	0	962.928	0	2	-90	700	1081	0.0	3	964.563	0	736616.372342	0	
31	1	976.721	0	2	-90	700	1081	0.0	3	978.272	0	736616.372501	0	
32	1	983.516	0	2	-90	700	1081	0.0	4	985.056	0	736616.372579	0	
33	1	1001.789	0	2	-90	700	1081	0.0	3	1004.412	0	736616.372803	0	
34	1	1020.898	0	2	-90	700	1081	0.0	3	1022.359	0	736616.373012	0	
35	0	1028.542	0	7	60	700	1121	0.0	7	1029.995	1	736616.373099	0	
36	0	1038.209	0	3	-60	700	1181	4.5	4	1040.037	0	736616.373215	0	
37	1	1046.566	0	3	-60	700	1181	4.5	4	1048.752	0	736616.373317	0	
38	1	1058.366	1	3	-60	700	1181	4.5	-1	-1.000	0	736616.373601	0	
39	0	1102.335	0	8	90	700	1201	0.0	3	1108.224	0	736616.374004	0	
40	1	1153.836	0	8	90	700	1201	0.0	-1	-1.000	0	736616.374706	0	
41	0	1180.093	1	8	90	700	1141	9.0	2	1192.084	0	736616.374975	0	
42	1	1198.868	0	8	90	700	1141	9.0	3	1202.674	0	736616.375098	0	
43	0	1219.753	0	6	30	700	1161	0.0	8	1230.751	0	736616.375423	0	
44	1	1242.116	1	6	30	700	1161	0.0	-1	-1.000	0	736616.375728	0	
45	0	1265.756	0	3	-60	700	1021	0.0	4	1269.131	0	736616.375867	0	
46	1	1278.567	0	3	-60	700	1021	0.0	3	1280.942	1	736616.376005	0	
47	0	1293.683	0	2	-90	700	1061	4.5	3	1295.955	0	736616.376178	0	
48	1	1310.592	0	2	-90	700	1061	4.5	3	1312.039	0	736616.376364	0	
49	1	1322.224	0	2	-90	700	1061	4.5	3	1324.734	0	736616.376510	0	
50	1	1330.321	0	2	-90	700	1061	4.5	4	1331.931	0	736616.376594	0	
51	1	1339.664	0	2	-90	700	1061	4.5	3	1347.268	0	736616.376772	0	
52	0	1385.953	0	4	-30	700	1041	9.0	3	1388.155	0	736616.377245	0	
53	1	1423.607	0	4	-30	700	1041	9.0	-1	-1.000	0	736616.377828	0	
54	0	1501.143	0	7	60	700	1001	0.0	2	1510.495	0	736616.378660	0	
55	1	1517.027	1	7	60	700	1001	0.0	2	1515.363	0	736616.378737	0	
56	1	1520.524	0	7	60	700	1001	0.0	2	1528.118	0	736616.378864	0	
