Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
15	1	413.432	1	6	30	700	1181	4.5	8	427.482	0	736622.419153	0	
16	1	432.795	0	6	30	700	1181	4.5	4	444.798	0	736622.419353	0	
17	1	452.887	0	6	30	700	1181	4.5	3	461.395	0	736622.419545	0	
18	1	466.688	0	6	30	700	1181	4.5	3	479.870	0	736622.419759	0	
19	1	491.696	0	6	30	700	1181	4.5	7	493.904	0	736622.419922	0	
20	0	530.588	0	2	-90	700	1041	0.0	3	533.425	0	736622.420380	0	
21	1	539.420	0	2	-90	700	1041	0.0	-1	-1.000	0	736622.420623	0	
22	0	662.009	0	2	-90	700	1121	0.0	3	668.803	0	736622.421946	0	
23	1	680.963	0	2	-90	700	1121	0.0	4	682.790	0	736622.422108	0	
24	1	696.661	0	2	-90	700	1121	0.0	6	698.638	0	736622.422292	0	
25	1	704.148	0	2	-90	700	1121	0.0	3	705.785	0	736622.422374	0	
26	1	722.657	1	2	-90	700	1121	0.0	-1	-1.000	0	736622.422743	0	
27	0	746.509	0	7	60	700	1101	9.0	-1	-1.000	0	736622.423019	0	
28	0	785.456	0	8	90	700	1061	4.5	3	791.831	0	736622.423370	0	
29	1	799.190	0	8	90	700	1061	4.5	6	810.695	0	736622.423589	0	
30	1	822.235	0	8	90	700	1061	4.5	4	826.391	0	736622.423770	0	
31	0	833.058	0	6	30	700	1021	0.0	2	836.071	0	736622.423882	0	
32	1	848.642	0	6	30	700	1021	0.0	2	860.304	0	736622.424162	0	
33	1	865.444	0	6	30	700	1021	0.0	-1	-1.000	0	736622.424396	0	
34	0	888.696	0	4	-30	700	1201	9.0	4	895.834	1	736622.424574	0	
35	0	915.423	0	8	90	700	1001	4.5	8	917.386	1	736622.424823	0	
36	0	930.115	0	6	30	700	1101	0.0	8	932.912	0	736622.425003	0	
37	1	938.116	0	6	30	700	1101	0.0	8	939.993	0	736622.425085	0	
38	1	950.234	0	6	30	700	1101	0.0	8	951.827	0	736622.425222	0	
39	1	957.616	0	6	30	700	1101	0.0	4	958.921	0	736622.425304	0	
40	0	1003.139	0	8	90	700	1121	9.0	8	1004.128	1	736622.425828	0	
41	0	1016.807	0	4	-30	700	1081	0.0	4	1017.987	1	736622.425988	0	
42	0	1032.293	0	7	60	700	1021	9.0	6	1033.695	0	736622.426170	0	
43	1	1038.835	1	7	60	700	1021	9.0	8	1043.687	0	736622.426285	0	
44	1	1052.651	0	7	60	700	1021	9.0	-1	-1.000	0	736622.426563	0	
45	0	1070.003	0	3	-60	700	1141	0.0	3	1071.332	1	736622.426606	0	
46	0	1082.112	0	2	-90	700	1181	9.0	3	1083.461	0	736622.426746	0	
47	1	1089.672	0	2	-90	700	1181	9.0	3	1091.234	0	736622.426835	0	
48	1	1096.596	0	2	-90	700	1181	9.0	2	1098.247	1	736622.426917	0	
49	0	1109.132	0	8	90	700	1041	0.0	8	1110.478	1	736622.427058	0	
50	0	1197.409	0	2	-90	700	1161	0.0	3	1203.115	0	736622.428130	0	
51	1	1217.287	1	2	-90	700	1161	0.0	-1	-1.000	0	736622.428468	0	
52	0	1247.234	0	3	-60	700	1061	4.5	3	1251.995	1	736622.428696	0	
53	0	1269.912	0	6	30	700	1181	0.0	-1	-1.000	0	736622.429077	0	
54	0	1299.392	0	7	60	700	1201	4.5	-1	-1.000	0	736622.429418	0	
