Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	57.807	0	4	-30	700	1061	0.0	3	64.961	0	736623.616580	0	
2	1	81.693	0	4	-30	700	1061	0.0	3	84.056	0	736623.616801	0	
3	1	89.333	0	4	-30	700	1061	0.0	3	101.795	0	736623.617007	0	
4	1	111.457	0	4	-30	700	1061	0.0	3	114.891	0	736623.617158	0	
5	1	132.656	0	4	-30	700	1061	0.0	6	133.882	0	736623.617378	0	
6	1	139.381	0	4	-30	700	1061	0.0	8	151.995	0	736623.617587	0	
7	1	164.052	0	4	-30	700	1061	0.0	3	169.842	0	736623.617794	0	
8	1	177.861	0	4	-30	700	1061	0.0	3	180.993	0	736623.617923	0	
9	1	186.213	0	4	-30	700	1061	0.0	3	187.587	0	736623.618000	0	
10	1	192.814	0	4	-30	700	1061	0.0	8	196.705	0	736623.618105	0	
11	1	211.018	0	4	-30	700	1061	0.0	2	214.393	0	736623.618310	0	
12	1	230.685	0	4	-30	700	1061	0.0	6	232.025	0	736623.618514	0	
13	1	257.069	0	4	-30	700	1061	0.0	6	258.956	0	736623.618825	0	
14	1	264.121	0	4	-30	700	1061	0.0	3	269.647	0	736623.618949	0	
15	1	274.826	0	4	-30	700	1061	0.0	3	279.452	0	736623.619062	0	
16	1	284.629	0	4	-30	700	1061	0.0	2	299.043	0	736623.619289	0	
17	1	349.507	0	4	-30	700	1061	0.0	3	353.889	0	736623.619924	0	
18	1	400.506	0	4	-30	700	1061	0.0	3	401.902	0	736623.620480	0	
19	1	407.323	0	4	-30	700	1061	0.0	8	409.150	0	736623.620563	0	
20	0	465.226	0	3	-60	700	1021	4.5	3	472.719	1	736623.621299	0	
21	0	484.181	0	2	-90	700	1081	4.5	3	485.661	0	736623.621450	0	
22	1	490.957	0	2	-90	700	1081	4.5	2	492.329	1	736623.621526	0	
23	0	503.621	0	4	-30	700	1161	9.0	3	505.053	0	736623.621673	0	
