Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
7	0	1064.455	0	3	-60	700	1021	9.0	2	1072.850	0	736626.677392	0	
8	1	1111.653	0	3	-60	700	1021	9.0	6	1114.196	0	736626.677871	0	
9	0	1119.049	0	3	-60	700	1201	4.5	2	1125.304	0	736626.677999	0	
10	1	1152.354	1	3	-60	700	1201	4.5	4	1156.060	0	736626.678356	0	
11	1	1169.635	0	3	-60	700	1201	4.5	8	1171.623	0	736626.678535	0	
12	0	1176.847	0	4	-30	700	1141	9.0	4	1178.244	1	736626.678613	0	
13	0	1191.439	0	8	90	700	1181	0.0	8	1192.674	1	736626.678780	0	
14	0	1202.678	0	7	60	700	1081	4.5	4	1204.322	0	736626.678915	0	
15	1	1221.376	0	7	60	700	1081	4.5	8	1223.677	0	736626.679138	0	
16	1	1275.659	1	7	60	700	1081	4.5	8	1287.929	0	736626.679881	0	
17	1	1303.393	0	7	60	700	1081	4.5	6	1305.046	0	736626.680080	0	
18	1	1310.481	0	7	60	700	1081	4.5	6	1312.302	0	736626.680164	0	
19	1	1334.784	0	7	60	700	1081	4.5	8	1341.905	0	736626.680506	0	
20	1	1351.297	0	7	60	700	1081	4.5	6	1352.905	0	736626.680634	0	
21	1	1365.556	0	7	60	700	1081	4.5	7	1366.761	1	736626.680794	0	
22	0	1385.881	0	8	90	700	1041	0.0	7	1387.469	0	736626.681034	0	
23	1	1401.554	0	8	90	700	1041	0.0	8	1402.881	1	736626.681212	0	
24	0	1414.393	0	6	30	700	1061	9.0	7	1416.051	0	736626.681365	0	
25	1	1423.827	0	6	30	700	1061	9.0	8	1431.653	0	736626.681545	0	
26	1	1440.749	0	6	30	700	1061	9.0	8	1443.024	0	736626.681677	0	
27	1	1448.203	0	6	30	700	1061	9.0	7	1449.730	0	736626.681754	0	
28	0	1473.269	1	6	30	700	1161	9.0	3	1480.516	0	736626.682111	0	
29	1	1486.057	0	6	30	700	1161	9.0	4	1489.676	0	736626.682217	0	
30	1	1496.408	0	6	30	700	1161	9.0	8	1498.352	0	736626.682317	0	
31	1	1505.212	0	6	30	700	1161	9.0	8	1506.384	0	736626.682410	0	
32	0	1515.360	1	2	-90	700	1101	4.5	2	1520.162	1	736626.682570	0	
