Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
2	1	119.852	0	6	30	700	1201	4.5	2	124.910	0	736614.357350	0	
3	0	178.278	0	3	-60	700	1041	9.0	4	187.418	0	736614.358074	0	
4	1	199.651	1	3	-60	700	1041	9.0	3	206.131	1	736614.358290	0	
5	0	214.694	0	8	90	700	1001	0.0	7	216.775	0	736614.358413	0	
6	1	239.896	1	8	90	700	1001	0.0	4	249.012	0	736614.358786	0	
7	1	256.450	0	8	90	700	1001	0.0	7	258.716	0	736614.358899	0	
8	0	268.872	0	3	-60	700	1101	9.0	4	270.390	0	736614.359033	0	
9	1	278.885	0	3	-60	700	1101	9.0	4	280.750	0	736614.359153	0	
10	1	289.293	0	3	-60	700	1101	9.0	3	291.151	1	736614.359274	0	
11	0	299.815	1	7	60	700	1121	4.5	2	307.728	0	736614.359466	0	
12	1	316.228	0	7	60	700	1121	4.5	3	321.654	0	736614.359627	0	
13	1	326.914	1	7	60	700	1121	4.5	4	336.819	0	736614.359803	0	
14	1	342.114	0	7	60	700	1121	4.5	7	343.949	1	736614.359885	0	
15	0	365.981	0	4	-30	700	1061	9.0	3	367.344	0	736614.360156	0	
16	1	374.748	0	4	-30	700	1061	9.0	3	376.294	0	736614.360259	0	
17	1	384.399	0	4	-30	700	1061	9.0	3	385.837	0	736614.360370	0	
18	1	393.224	0	4	-30	700	1061	9.0	4	395.731	1	736614.360484	0	
19	0	408.819	0	2	-90	700	1081	0.0	2	410.366	1	736614.360653	0	
20	0	423.193	0	4	-30	700	1181	4.5	2	424.780	0	736614.360820	0	
21	1	430.075	0	4	-30	700	1181	4.5	2	433.367	0	736614.360919	0	
22	1	440.424	0	4	-30	700	1181	4.5	3	441.728	0	736614.361017	0	
23	1	447.692	0	4	-30	700	1181	4.5	7	449.812	0	736614.361111	0	
24	1	458.438	0	4	-30	700	1181	4.5	3	469.299	0	736614.361336	0	
25	0	483.678	0	7	60	700	1021	9.0	7	486.774	1	736614.361538	0	
26	0	508.310	0	8	90	700	1161	4.5	6	510.227	0	736614.361810	0	
27	1	515.707	0	8	90	700	1161	4.5	8	517.498	1	736614.361893	0	
28	0	534.995	0	6	30	700	1161	4.5	8	536.783	0	736614.362116	0	
29	1	554.381	0	6	30	700	1161	4.5	7	556.178	0	736614.362341	0	
30	1	566.559	0	6	30	700	1161	4.5	3	581.603	0	736614.362635	0	
31	0	586.048	0	2	-90	700	1001	0.0	2	587.730	1	736614.362707	0	
32	0	599.594	1	3	-60	700	1141	4.5	2	606.580	0	736614.362924	0	
33	1	611.837	0	3	-60	700	1141	4.5	2	613.534	0	736614.363005	0	
34	1	621.108	0	3	-60	700	1141	4.5	3	622.472	1	736614.363108	0	
35	0	629.803	0	4	-30	700	1021	9.0	4	631.615	1	736614.363215	0	
36	0	642.579	0	6	30	700	1181	0.0	6	644.093	1	736614.363358	0	
37	0	656.001	0	2	-90	700	1081	4.5	3	657.200	0	736614.363511	0	
38	1	662.478	0	2	-90	700	1081	4.5	3	663.846	0	736614.363587	0	
39	1	669.361	0	2	-90	700	1081	4.5	2	671.094	1	736614.363671	0	
40	0	682.724	0	7	60	700	1201	4.5	6	683.982	0	736614.363820	0	
41	1	689.298	0	7	60	700	1201	4.5	8	690.731	0	736614.363899	0	
42	1	696.659	1	7	60	700	1201	4.5	3	702.384	0	736614.364033	0	
43	1	707.699	0	7	60	700	1201	4.5	7	709.209	1	736614.364113	0	
44	0	725.791	0	3	-60	700	1041	0.0	3	727.272	1	736614.364321	0	
45	0	736.448	1	7	60	700	1101	9.0	3	741.454	0	736614.364485	0	
46	1	746.699	0	7	60	700	1101	9.0	6	748.488	0	736614.364566	0	
47	1	754.578	0	7	60	700	1101	9.0	7	756.512	1	736614.364660	0	
48	0	769.664	0	2	-90	700	1061	4.5	3	771.163	0	736614.364829	0	
49	1	776.360	0	2	-90	700	1061	4.5	2	777.645	1	736614.364904	0	
50	0	790.088	0	8	90	700	1081	9.0	6	791.504	0	736614.365065	0	
51	1	797.827	0	8	90	700	1081	9.0	7	801.565	0	736614.365181	0	
52	1	806.779	0	8	90	700	1081	9.0	8	808.353	1	736614.365260	0	
53	0	825.347	0	4	-30	700	1101	0.0	3	826.447	0	736614.365469	0	
54	1	831.699	1	4	-30	700	1101	0.0	4	836.372	1	736614.365584	0	
55	0	848.845	0	6	30	700	1041	0.0	4	851.492	0	736614.365759	0	
56	1	856.643	0	6	30	700	1041	0.0	6	859.425	1	736614.365851	0	
57	0	868.855	1	8	90	700	1201	4.5	2	874.652	0	736614.366027	0	
58	1	880.001	0	8	90	700	1201	4.5	4	883.436	0	736614.366129	0	
59	1	888.800	0	8	90	700	1201	4.5	8	890.703	1	736614.366213	0	
60	0	905.367	0	2	-90	700	1001	4.5	2	907.369	1	736614.366406	0	
61	0	918.105	0	7	60	700	1181	9.0	6	919.461	0	736614.366546	0	
62	1	925.219	0	7	60	700	1181	9.0	7	926.799	1	736614.366630	0	
63	0	941.430	0	2	-90	700	1061	0.0	2	942.808	1	736614.366816	0	
64	0	956.031	0	8	90	700	1121	9.0	7	957.487	0	736614.366985	0	
65	1	963.167	0	8	90	700	1121	9.0	8	965.895	1	736614.367083	0	
66	0	979.690	1	6	30	700	1161	4.5	7	985.254	0	736614.367307	0	
67	1	991.692	1	6	30	700	1161	4.5	8	999.958	0	736614.367477	0	
68	1	1008.938	0	6	30	700	1161	4.5	7	1015.022	0	736614.367652	0	
69	1	1020.362	0	6	30	700	1161	4.5	8	1022.261	0	736614.367735	0	
70	1	1027.562	0	6	30	700	1161	4.5	7	1029.721	0	736614.367822	0	
71	0	1033.603	0	3	-60	700	1141	9.0	3	1037.274	1	736614.367909	0	
72	0	1045.517	0	4	-30	700	1041	9.0	4	1047.469	1	736614.368027	0	
73	0	1058.722	0	8	90	700	1121	0.0	7	1060.656	0	736614.368180	0	
74	1	1065.923	0	8	90	700	1121	0.0	7	1067.513	0	736614.368260	0	
75	0	1078.768	0	4	-30	700	1061	4.5	3	1080.046	0	736614.368405	0	
76	1	1086.374	0	4	-30	700	1061	4.5	3	1087.957	0	736614.368496	0	
77	1	1093.164	0	4	-30	700	1061	4.5	4	1094.777	1	736614.368575	0	
78	0	1104.487	0	7	60	700	1081	9.0	4	1109.137	0	736614.368741	0	
79	1	1114.397	0	7	60	700	1081	9.0	6	1115.781	0	736614.368818	0	
80	1	1123.392	0	7	60	700	1081	9.0	2	1128.937	0	736614.368970	0	
81	1	1134.183	0	7	60	700	1081	9.0	7	1136.069	1	736614.369053	0	
82	0	1150.460	0	6	30	700	1021	9.0	4	1152.003	0	736614.369238	0	
83	1	1157.140	0	6	30	700	1021	9.0	7	1159.258	0	736614.369321	0	
84	1	1164.423	1	6	30	700	1021	9.0	7	1169.225	0	736614.369437	0	
85	1	1195.592	0	6	30	700	1021	9.0	6	1199.867	1	736614.369791	0	
86	0	1209.183	0	3	-60	700	1001	4.5	3	1210.645	1	736614.369916	0	
87	0	1219.230	0	6	30	700	1201	9.0	3	1220.476	0	736614.370029	0	
88	1	1225.804	0	6	30	700	1201	9.0	7	1227.417	0	736614.370110	0	
89	1	1232.813	0	6	30	700	1201	9.0	6	1234.301	1	736614.370189	0	
90	0	1243.625	0	3	-60	700	1101	4.5	3	1244.956	1	736614.370313	0	
91	0	1252.487	0	2	-90	700	1181	9.0	2	1254.118	1	736614.370419	0	
92	0	1266.139	0	7	60	700	1161	0.0	7	1267.454	1	736614.370573	0	
93	0	1276.027	0	3	-60	700	1161	9.0	2	1277.854	0	736614.370694	0	
94	1	1283.166	0	3	-60	700	1161	9.0	2	1284.868	0	736614.370775	0	
95	1	1290.166	0	3	-60	700	1161	9.0	3	1291.540	1	736614.370852	0	
96	0	1299.829	0	8	90	700	1181	4.5	8	1301.805	1	736614.370970	0	
97	0	1317.183	0	4	-30	700	1141	4.5	3	1318.353	0	736614.371163	0	
98	1	1323.645	0	4	-30	700	1141	4.5	4	1325.348	1	736614.371244	0	
99	0	1335.022	0	4	-30	700	1201	0.0	3	1336.261	0	736614.371370	0	
100	1	1341.605	0	4	-30	700	1201	0.0	4	1342.847	1	736614.371446	0	
101	0	1352.705	0	6	30	700	1041	0.0	6	1359.466	1	736614.371638	0	
102	0	1370.152	1	2	-90	700	1001	4.5	2	1375.326	1	736614.371822	0	
103	0	1387.650	0	7	60	700	1061	4.5	6	1389.522	0	736614.371987	0	
104	1	1395.084	1	7	60	700	1061	4.5	7	1401.909	1	736614.372130	0	
105	0	1415.341	0	8	90	700	1081	9.0	7	1417.115	0	736614.372305	0	
106	1	1422.387	0	8	90	700	1081	9.0	8	1424.300	1	736614.372388	0	
107	0	1436.885	0	4	-30	700	1101	9.0	4	1438.449	1	736614.372553	0	
108	0	1447.629	0	3	-60	700	1121	4.5	2	1449.063	0	736614.372675	0	
109	1	1454.327	0	3	-60	700	1121	4.5	3	1455.614	1	736614.372752	0	
