Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	1601.460	0	2	-90	700	1081	4.5	-1	-1.000	0	736614.674956	0	
2	0	1623.581	0	8	90	700	1201	0.0	8	1626.640	1	736614.675074	0	
3	0	1647.154	0	3	-60	700	1141	4.5	4	1649.731	0	736614.675341	0	
4	1	1655.071	0	3	-60	700	1141	4.5	3	1663.096	1	736614.675495	0	
5	0	1677.228	0	2	-90	700	1101	0.0	3	1678.685	0	736614.675676	0	
6	1	1685.224	0	2	-90	700	1101	0.0	4	1691.083	0	736614.675819	0	
7	1	1708.678	0	2	-90	700	1101	0.0	3	1710.692	0	736614.676046	0	
8	1	1715.931	1	2	-90	700	1101	0.0	2	1724.885	1	736614.676211	0	
9	0	1740.470	0	7	60	700	1061	0.0	7	1742.166	1	736614.676411	0	
10	0	1751.239	0	6	30	700	1161	4.5	6	1753.101	1	736614.676537	0	
11	0	1762.143	1	4	-30	700	1001	0.0	3	1767.899	0	736614.676708	0	
12	1	1775.728	0	4	-30	700	1001	0.0	4	1777.527	1	736614.676819	0	
13	0	1792.201	0	3	-60	700	1021	4.5	4	1793.776	0	736614.677008	0	
14	1	1803.884	0	3	-60	700	1021	4.5	2	1808.482	0	736614.677178	0	
15	1	1813.656	0	3	-60	700	1021	4.5	4	1815.194	0	736614.677256	0	
16	1	1820.352	0	3	-60	700	1021	4.5	7	1822.124	0	736614.677336	0	
17	1	1827.831	0	3	-60	700	1021	4.5	2	1829.839	0	736614.677426	0	
18	1	1835.063	0	3	-60	700	1021	4.5	4	1836.193	0	736614.677499	0	
19	1	1854.982	0	3	-60	700	1021	4.5	-1	-1.000	0	736614.677890	0	
20	0	1875.927	0	8	90	700	1181	4.5	8	1878.196	1	736614.677985	0	
21	0	1903.134	0	7	60	700	1121	9.0	-1	-1.000	0	736614.678448	0	
22	0	1919.904	0	4	-30	700	1141	9.0	3	1925.822	0	736614.678536	0	
23	0	1940.735	1	6	30	700	1021	4.5	-1	-1.000	0	736614.678883	0	
24	0	1957.307	0	7	60	700	1181	0.0	8	1958.684	0	736614.678917	0	
25	1	2050.860	1	7	60	700	1181	0.0	2	2061.014	0	736614.680101	0	
26	1	2079.155	0	7	60	700	1181	0.0	8	2080.795	0	736614.680330	0	
27	1	2095.269	0	7	60	700	1181	0.0	2	2099.446	0	736614.680546	0	
28	1	2104.729	0	7	60	700	1181	0.0	7	2106.183	1	736614.680624	0	
29	0	2119.421	0	6	30	700	1101	9.0	7	2120.768	0	736614.680793	0	
30	1	2126.051	0	6	30	700	1101	9.0	7	2127.887	0	736614.680875	0	
31	1	2133.693	0	6	30	700	1101	9.0	4	2135.991	0	736614.680969	0	
32	1	2144.931	0	6	30	700	1101	9.0	6	2146.669	1	736614.681093	0	
33	0	2156.763	0	7	60	700	1161	9.0	6	2158.092	0	736614.681225	0	
34	1	2178.335	0	7	60	700	1161	9.0	8	2180.206	0	736614.681480	0	
35	1	2188.008	0	7	60	700	1161	9.0	7	2190.112	1	736614.681595	0	
36	0	2199.826	0	8	90	700	1001	4.5	3	2201.640	0	736614.681729	0	
37	1	2279.144	0	8	90	700	1001	4.5	-1	-1.000	0	736614.682800	0	
38	0	2316.001	1	3	-60	700	1201	4.5	2	2324.904	0	736614.683155	0	
