Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	226.094	1	8	90	700	1161	4.5	-1	-1.000	0	736615.421915	0	
2	0	247.915	0	7	60	700	1121	9.0	8	250.648	0	736615.422026	0	
3	1	255.955	0	7	60	700	1121	9.0	8	257.884	0	736615.422109	0	
4	1	264.020	0	7	60	700	1121	9.0	-1	-1.000	0	736615.422353	0	
5	0	287.411	0	3	-60	700	1081	0.0	-1	-1.000	0	736615.422625	0	
6	0	322.956	0	7	60	700	1041	4.5	2	331.490	0	736615.422961	0	
7	1	337.031	0	7	60	700	1041	4.5	2	343.239	0	736615.423098	0	
8	1	392.479	0	7	60	700	1041	4.5	3	407.514	0	736615.423841	0	
9	0	415.236	0	8	90	700	1021	0.0	8	418.535	1	736615.423969	0	
10	0	432.958	0	6	30	700	1201	4.5	7	434.694	0	736615.424156	0	
11	1	440.042	0	6	30	700	1201	4.5	8	441.623	0	736615.424235	0	
12	1	459.729	0	6	30	700	1201	4.5	2	468.032	0	736615.424541	0	
13	0	475.411	0	6	30	700	1101	9.0	2	482.777	0	736615.424712	0	
14	1	488.035	0	6	30	700	1101	9.0	7	489.914	0	736615.424795	0	
15	1	495.136	0	6	30	700	1101	9.0	8	509.341	0	736615.425020	0	
16	1	514.637	0	6	30	700	1101	9.0	7	516.308	0	736615.425100	0	
17	1	521.535	0	6	30	700	1101	9.0	4	524.520	0	736615.425195	0	
18	1	552.652	0	6	30	700	1101	9.0	-1	-1.000	0	736615.425695	0	
19	0	576.303	0	4	-30	700	1141	9.0	-1	-1.000	0	736615.425968	0	
20	0	598.603	0	4	-30	700	1061	0.0	3	606.245	0	736615.426141	0	
21	0	630.838	0	2	-90	700	1041	9.0	-1	-1.000	0	736615.426600	0	
22	0	647.451	0	3	-60	700	1141	0.0	4	649.771	0	736615.426645	0	
23	1	664.160	0	3	-60	700	1141	0.0	4	666.033	0	736615.426833	0	
24	1	679.672	0	3	-60	700	1141	0.0	4	681.287	0	736615.427010	0	
25	1	696.763	0	3	-60	700	1141	0.0	3	698.589	1	736615.427210	0	
26	0	709.009	0	7	60	700	1101	9.0	7	710.834	1	736615.427351	0	
27	0	719.364	0	3	-60	700	1121	4.5	4	720.956	0	736615.427469	0	
28	1	727.117	0	3	-60	700	1121	4.5	4	728.707	0	736615.427558	0	
29	1	733.965	0	3	-60	700	1121	4.5	4	738.168	0	736615.427668	0	
30	1	743.698	1	3	-60	700	1121	4.5	2	752.855	0	736615.427838	0	
31	1	765.491	0	3	-60	700	1121	4.5	2	769.267	0	736615.428028	0	
32	1	775.188	1	3	-60	700	1121	4.5	2	786.757	0	736615.428231	0	
33	1	795.103	1	3	-60	700	1121	4.5	-1	-1.000	0	736615.428500	0	
34	0	811.714	0	2	-90	700	1181	0.0	3	813.835	0	736615.428543	0	
35	0	906.642	0	2	-90	700	1201	0.0	-1	-1.000	0	736615.429792	0	
36	0	926.012	1	6	30	700	1021	4.5	-1	-1.000	0	736615.430015	0	
37	0	942.538	0	8	90	700	1161	0.0	8	944.758	1	736615.430059	0	
38	0	956.715	0	7	60	700	1001	9.0	8	960.772	0	736615.430245	0	
39	1	967.104	0	7	60	700	1001	9.0	2	971.506	0	736615.430369	0	
40	1	977.238	0	7	60	700	1001	9.0	2	979.686	0	736615.430464	0	
41	0	1082.521	0	6	30	700	1041	9.0	2	1094.263	0	736615.431790	0	
