Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	1280.288	0	3	-60	700	1201	4.5	2	1285.666	0	736621.621256	0	
2	1	1302.901	0	3	-60	700	1201	4.5	4	1304.916	0	736621.621479	0	
3	1	1316.967	1	3	-60	700	1201	4.5	4	1323.715	0	736621.621697	0	
4	1	1332.671	0	3	-60	700	1201	4.5	4	1334.521	0	736621.621822	0	
5	1	1341.217	0	3	-60	700	1201	4.5	4	1340.516	0	736621.621901	0	
6	1	1350.073	0	3	-60	700	1201	4.5	-1	-1.000	0	736621.622175	0	
7	0	1391.054	1	2	-90	700	1161	9.0	-1	-1.000	0	736621.622650	0	
8	0	1411.944	0	3	-60	700	1141	0.0	2	1423.081	0	736621.622846	0	
9	1	1445.109	0	3	-60	700	1141	0.0	3	1456.277	1	736621.623230	0	
10	0	1473.784	1	6	30	700	1001	9.0	3	1477.913	0	736621.623481	0	
11	1	1488.240	0	6	30	700	1001	9.0	8	1491.248	0	736621.623635	0	
12	1	1503.573	0	6	30	700	1001	9.0	2	1507.319	0	736621.623822	0	
13	1	1520.827	0	6	30	700	1001	9.0	8	1523.115	0	736621.624005	0	
14	1	1537.174	0	6	30	700	1001	9.0	3	1545.278	0	736621.624260	0	
15	1	1658.297	0	6	30	700	1001	9.0	4	1660.523	0	736621.625595	0	
16	1	1678.547	0	6	30	700	1001	9.0	-1	-1.000	0	736621.625977	0	
17	0	1773.743	0	2	-90	700	1081	4.5	-1	-1.000	0	736621.627079	0	
18	0	1834.247	0	7	60	700	1021	9.0	3	1837.207	0	736621.627640	0	
19	1	1846.581	0	7	60	700	1021	9.0	-1	-1.000	0	736621.627921	0	
20	0	1908.633	0	7	60	700	1181	9.0	-1	-1.000	0	736621.628640	0	
21	0	1990.914	0	4	-30	700	1121	4.5	2	1996.870	0	736621.629487	0	
22	1	2018.026	0	4	-30	700	1121	4.5	4	2020.335	1	736621.629759	0	
