Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	1854.401	0	6	30	700	1021	9.0	-1	-1.000	0	736622.644971	0	
2	0	1889.917	0	4	-30	700	1161	4.5	4	1894.576	1	736622.645263	0	
3	0	1911.673	0	7	60	700	1121	4.5	-1	-1.000	0	736622.645634	0	
4	0	1933.933	1	4	-30	700	1061	0.0	3	1938.248	0	736622.645769	0	
5	1	1948.475	0	4	-30	700	1061	0.0	4	1950.392	1	736622.645908	0	
6	0	1961.303	0	8	90	700	1081	0.0	8	1964.678	1	736622.646074	0	
7	0	1985.370	0	7	60	700	1141	4.5	3	1987.534	0	736622.646339	0	
8	1	1993.885	0	7	60	700	1141	4.5	8	1995.812	0	736622.646435	0	
9	1	2007.730	0	7	60	700	1141	4.5	-1	-1.000	0	736622.646746	0	
10	0	2036.374	0	6	30	700	1181	0.0	8	2046.652	0	736622.647023	0	
11	1	2052.004	0	6	30	700	1181	0.0	-1	-1.000	0	736622.647258	0	
12	0	2071.615	0	3	-60	700	1041	9.0	3	2074.000	1	736622.647339	0	
13	0	2090.493	0	2	-90	700	1101	0.0	3	2092.426	0	736622.647552	0	
14	1	2117.002	0	2	-90	700	1101	0.0	4	2120.016	0	736622.647873	0	
15	1	4183.621	1	2	-90	700	1101	0.0	8	4190.378	0	736622.671834	0	
16	1	4204.888	1	2	-90	700	1101	0.0	3	4210.404	0	736622.672066	0	
17	1	4215.710	0	2	-90	700	1101	0.0	2	4217.812	1	736622.672152	0	
18	0	4231.696	0	3	-60	700	1201	4.5	4	4232.890	0	736622.672326	0	
19	1	4242.404	0	3	-60	700	1201	4.5	2	4244.319	0	736622.672459	0	
20	1	4249.665	0	3	-60	700	1201	4.5	2	4251.412	0	736622.672541	0	
21	1	4256.762	0	3	-60	700	1201	4.5	2	4258.299	0	736622.672620	0	
22	1	4265.005	0	3	-60	700	1201	4.5	4	4266.584	0	736622.672717	0	
23	1	4271.944	0	3	-60	700	1201	4.5	4	4273.667	0	736622.672799	0	
24	1	4283.464	0	3	-60	700	1201	4.5	8	4285.105	0	736622.672931	0	
25	1	4291.317	0	3	-60	700	1201	4.5	2	4296.007	0	736622.673057	0	
26	1	4306.054	0	3	-60	700	1201	4.5	3	4307.867	1	736622.673194	0	
27	0	4319.569	0	8	90	700	1041	9.0	6	4321.363	0	736622.673350	0	
28	1	4331.781	1	8	90	700	1041	9.0	6	4338.008	0	736622.673543	0	
29	1	4343.208	1	8	90	700	1041	9.0	7	4349.654	0	736622.673678	0	
30	1	4355.009	0	8	90	700	1041	9.0	7	4357.167	0	736622.673764	0	
31	1	4369.753	0	8	90	700	1041	9.0	8	4371.457	1	736622.673930	0	
32	0	4384.118	0	2	-90	700	1001	4.5	2	4385.790	1	736622.674096	0	
33	0	4398.252	0	4	-30	700	1141	4.5	4	4399.467	1	736622.674255	0	
34	0	4414.458	0	7	60	700	1181	9.0	4	4416.050	0	736622.674447	0	
35	1	4421.774	0	7	60	700	1181	9.0	6	4423.487	0	736622.674533	0	
36	1	4428.891	0	7	60	700	1181	9.0	8	4433.760	0	736622.674652	0	
37	1	4439.121	0	7	60	700	1181	9.0	7	4441.050	1	736622.674735	0	
38	0	4459.279	0	6	30	700	1201	9.0	6	4460.691	1	736622.674963	0	
39	0	4470.462	1	8	90	700	1161	0.0	6	4474.893	0	736622.675127	0	
40	1	4480.221	0	8	90	700	1161	0.0	8	4481.561	1	736622.675204	0	
41	0	4492.481	0	3	-60	700	1021	0.0	3	4493.768	1	736622.675345	0	
42	0	4502.815	0	2	-90	700	1081	4.5	2	4504.305	1	736622.675468	0	
43	0	4513.978	0	4	-30	700	1121	9.0	4	4515.288	1	736622.675595	0	
44	0	4526.383	0	3	-60	700	1101	0.0	3	4527.570	1	736622.675737	0	
45	0	4538.671	0	8	90	700	1041	4.5	7	4540.186	0	736622.675883	0	
46	1	4546.427	1	8	90	700	1041	4.5	6	4551.508	0	736622.676014	0	
47	1	4556.687	0	8	90	700	1041	4.5	8	4558.158	1	736622.676091	0	
48	0	4570.995	0	2	-90	700	1001	9.0	3	4572.378	0	736622.676256	0	
49	1	4577.554	0	2	-90	700	1001	9.0	3	4579.189	0	736622.676335	0	
50	1	4584.343	0	2	-90	700	1001	9.0	2	4586.108	1	736622.676415	0	
51	0	4599.477	0	6	30	700	1201	4.5	6	4600.897	1	736622.676585	0	
52	0	4611.031	0	7	60	700	1021	9.0	7	4612.335	1	736622.676718	0	
53	0	4623.749	0	7	60	700	1061	0.0	8	4625.563	0	736622.676871	0	
54	1	4638.309	0	7	60	700	1061	0.0	8	4639.654	0	736622.677035	0	
55	1	4644.903	0	7	60	700	1061	0.0	7	4646.659	1	736622.677115	0	
56	0	4656.279	0	4	-30	700	1121	9.0	4	4657.573	1	736622.677241	0	
57	0	4671.777	0	7	60	700	1181	9.0	6	4673.312	0	736622.677423	0	
