Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	782.769	0	6	30	700	1181	0.0	7	785.029	0	736624.395864	0	
2	1	840.043	0	6	30	700	1181	0.0	3	854.679	0	736624.396670	0	
3	1	863.041	0	6	30	700	1181	0.0	8	866.022	0	736624.396801	0	
4	1	871.305	0	6	30	700	1181	0.0	4	873.586	0	736624.396889	0	
5	1	893.739	0	6	30	700	1181	0.0	2	908.533	0	736624.397294	0	
6	1	926.773	1	6	30	700	1181	0.0	2	934.389	0	736624.397592	0	
7	1	939.688	0	6	30	700	1181	0.0	8	941.124	0	736624.397671	0	
8	1	964.975	0	6	30	700	1181	0.0	7	967.419	0	736624.397974	0	
9	1	993.356	0	6	30	700	1181	0.0	7	995.159	0	736624.398296	0	
10	1	1002.141	0	6	30	700	1181	0.0	8	1004.766	0	736624.398407	0	
11	1	1014.541	0	6	30	700	1181	0.0	8	1016.297	0	736624.398540	0	
12	1	1026.670	0	6	30	700	1181	0.0	8	1028.792	0	736624.398685	0	
13	1	1039.649	0	6	30	700	1181	0.0	3	1046.249	0	736624.398888	0	
14	1	1051.990	1	6	30	700	1181	0.0	2	1060.720	0	736624.399055	0	
15	0	1067.838	0	4	-30	700	1201	4.5	4	1069.448	1	736624.399156	0	
16	0	1083.264	0	6	30	700	1041	4.5	7	1084.723	0	736624.399333	0	
17	1	1091.325	0	6	30	700	1041	4.5	4	1101.082	0	736624.399521	0	
18	1	1107.565	0	6	30	700	1041	4.5	8	1109.365	0	736624.399618	0	
19	1	1120.118	0	6	30	700	1041	4.5	8	1122.312	0	736624.399767	0	
20	1	1127.633	0	6	30	700	1041	4.5	2	1138.536	0	736624.399956	0	
21	1	1143.751	0	6	30	700	1041	4.5	3	1146.722	0	736624.400050	0	
22	0	1154.347	1	8	90	700	1101	0.0	3	1160.230	0	736624.400207	0	
23	1	1165.525	0	8	90	700	1101	0.0	8	1167.091	1	736624.400286	0	
24	0	1181.501	0	3	-60	700	1021	4.5	3	1184.023	1	736624.400483	0	
25	0	1193.901	0	2	-90	700	1061	9.0	3	1195.982	0	736624.400620	0	
26	1	1201.171	0	2	-90	700	1061	9.0	3	1202.990	0	736624.400701	0	
27	1	1208.185	0	2	-90	700	1061	9.0	2	1210.026	1	736624.400783	0	
28	0	1221.047	0	8	90	700	1001	9.0	8	1222.620	1	736624.400928	0	
29	0	1235.593	0	7	60	700	1161	4.5	7	1237.409	1	736624.401099	0	
30	0	1248.672	0	2	-90	700	1121	0.0	3	1250.369	0	736624.401250	0	
31	1	1255.643	0	2	-90	700	1121	0.0	2	1257.342	1	736624.401331	0	
32	0	1268.061	0	7	60	700	1141	9.0	6	1269.904	0	736624.401475	0	
33	1	1281.752	0	7	60	700	1141	9.0	7	1283.370	1	736624.401632	0	
34	0	1299.127	0	4	-30	700	1041	4.5	4	1300.887	1	736624.401834	0	
35	0	1314.904	0	3	-60	700	1081	9.0	3	1316.768	1	736624.402018	0	
36	0	1324.299	0	4	-30	700	1161	9.0	4	1325.747	1	736624.402122	0	
37	0	1339.301	0	4	-30	700	1201	0.0	3	1340.846	0	736624.402297	0	
38	1	1346.217	1	4	-30	700	1201	0.0	2	1352.272	0	736624.402429	0	
39	1	1357.613	0	4	-30	700	1201	0.0	4	1359.228	1	736624.402510	0	
40	0	1369.309	1	7	60	700	1001	0.0	7	1374.429	1	736624.402686	0	
41	0	1386.087	0	8	90	700	1101	4.5	7	1387.951	0	736624.402842	0	
42	1	1393.891	0	8	90	700	1101	4.5	8	1395.228	1	736624.402926	0	
43	0	1405.949	1	6	30	700	1061	9.0	8	1410.820	0	736624.403106	0	
44	1	1417.346	0	6	30	700	1061	9.0	7	1419.171	0	736624.403204	0	
45	1	1426.213	0	6	30	700	1061	9.0	8	1430.390	0	736624.403333	0	
46	1	1437.089	0	6	30	700	1061	9.0	8	1440.353	0	736624.403449	0	
47	0	1450.032	0	2	-90	700	1021	0.0	2	1454.473	1	736624.403612	0	
48	0	1465.927	0	3	-60	700	1121	0.0	4	1467.581	0	736624.403764	0	
49	1	1473.110	0	3	-60	700	1121	0.0	2	1477.678	0	736624.403880	0	
50	1	1482.938	0	3	-60	700	1121	0.0	2	1486.493	0	736624.403982	0	
51	1	1501.889	0	3	-60	700	1121	0.0	7	1504.286	0	736624.404188	0	
52	1	1523.799	0	3	-60	700	1121	0.0	3	1526.550	1	736624.404446	0	
53	0	1535.934	0	2	-90	700	1181	9.0	3	1537.578	0	736624.404574	0	
54	1	1545.419	0	2	-90	700	1181	9.0	4	1548.090	0	736624.404695	0	
55	1	1553.395	0	2	-90	700	1181	9.0	2	1555.259	1	736624.404779	0	
56	0	1571.146	1	8	90	700	1021	4.5	2	1577.872	0	736624.405040	0	
57	1	1583.043	0	8	90	700	1021	4.5	8	1584.252	1	736624.405114	0	
58	0	1597.671	0	6	30	700	1201	0.0	7	1601.092	0	736624.405309	0	
59	1	1608.031	0	6	30	700	1201	0.0	-1	-1.000	0	736624.405564	0	
60	0	1635.079	0	3	-60	700	1041	4.5	3	1637.842	1	736624.405735	0	
61	0	1645.328	0	7	60	700	1081	0.0	8	1646.699	0	736624.405837	0	
62	1	1661.466	0	7	60	700	1081	0.0	-1	-1.000	0	736624.406182	0	
63	0	1690.768	0	2	-90	700	1161	0.0	2	1692.716	1	736624.406369	0	
64	0	1704.657	0	4	-30	700	1061	4.5	8	1707.040	0	736624.406535	0	
65	1	1714.595	0	4	-30	700	1061	4.5	3	1716.544	0	736624.406645	0	
66	1	1721.777	0	4	-30	700	1061	4.5	8	1726.609	0	736624.406762	0	
67	1	1738.464	0	4	-30	700	1061	4.5	2	1743.564	0	736624.406958	0	
68	1	1748.796	0	4	-30	700	1061	4.5	4	1750.575	1	736624.407039	0	
69	0	1761.163	0	3	-60	700	1001	4.5	6	1763.246	0	736624.407186	0	
70	1	1768.444	0	3	-60	700	1001	4.5	3	1770.795	1	736624.407273	0	
71	0	1780.290	1	3	-60	700	1101	9.0	2	1785.197	0	736624.407439	0	
72	1	1790.429	0	3	-60	700	1101	9.0	3	1791.855	1	736624.407516	0	
73	0	1799.599	0	8	90	700	1141	9.0	8	1800.959	1	736624.407622	0	
74	0	1816.303	0	6	30	700	1121	4.5	8	1818.529	0	736624.407826	0	
75	1	1827.764	0	6	30	700	1121	4.5	8	1838.690	0	736624.408059	0	
76	1	1863.659	0	6	30	700	1121	4.5	2	1868.766	0	736624.408407	0	
77	0	1881.489	0	8	90	700	1001	4.5	8	1885.059	1	736624.408596	0	
78	0	1899.362	0	2	-90	700	1081	9.0	2	1901.829	1	736624.408789	0	
79	0	1916.395	0	7	60	700	1201	4.5	7	1918.556	1	736624.408984	0	
80	0	1925.547	0	7	60	700	1061	0.0	7	1927.271	1	736624.409083	0	
81	0	1943.394	0	4	-30	700	1021	4.5	3	1945.437	0	736624.409294	0	
82	1	1950.640	1	4	-30	700	1021	4.5	2	1955.796	0	736624.409414	0	
83	1	1960.945	1	4	-30	700	1021	4.5	3	1967.995	0	736624.409555	0	
84	1	1973.759	0	4	-30	700	1021	4.5	3	1975.910	0	736624.409647	0	
85	1	1981.046	0	4	-30	700	1021	4.5	2	1983.490	0	736624.409734	0	
86	1	1988.641	0	4	-30	700	1021	4.5	2	1991.543	0	736624.409828	0	
87	1	1996.759	1	4	-30	700	1021	4.5	8	2001.467	0	736624.409943	0	
88	1	2013.261	0	4	-30	700	1021	4.5	2	2018.302	0	736624.410138	0	
89	1	2024.367	0	4	-30	700	1021	4.5	3	2026.345	0	736624.410231	0	
90	1	2031.541	0	4	-30	700	1021	4.5	2	2033.304	0	736624.410311	0	
91	1	2038.453	0	4	-30	700	1021	4.5	3	2040.084	0	736624.410390	0	
92	1	2045.251	0	4	-30	700	1021	4.5	8	2046.963	0	736624.410470	0	
93	0	2076.829	0	6	30	700	1041	0.0	-1	-1.000	0	736624.410988	0	
94	0	2098.990	0	6	30	700	1181	9.0	2	2103.868	0	736624.411128	0	
95	1	2114.134	0	6	30	700	1181	9.0	-1	-1.000	0	736624.411421	0	
