Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	1369.684	0	7	60	700	1121	4.5	2	1373.807	0	736627.678162	0	
2	1	1408.211	0	7	60	700	1121	4.5	6	1411.764	0	736627.678602	0	
3	1	1434.652	0	7	60	700	1121	4.5	2	1439.702	0	736627.678925	0	
4	1	1444.944	0	7	60	700	1121	4.5	2	1458.295	0	736627.679140	0	
5	1	1465.262	0	7	60	700	1121	4.5	6	1468.049	0	736627.679253	0	
6	1	1476.372	1	7	60	700	1121	4.5	2	1484.406	0	736627.679442	0	
7	1	1492.107	1	7	60	700	1121	4.5	2	1500.592	0	736627.679629	0	
8	1	1506.104	1	7	60	700	1121	4.5	2	1513.070	0	736627.679775	0	
9	1	1518.762	0	7	60	700	1121	4.5	8	1520.774	0	736627.679863	0	
10	1	1528.529	0	7	60	700	1121	4.5	6	1531.226	0	736627.679984	0	
11	1	1536.454	0	7	60	700	1121	4.5	8	1538.376	0	736627.680067	0	
12	1	1557.538	0	7	60	700	1121	4.5	6	1559.671	0	736627.680314	0	
13	1	1565.690	0	7	60	700	1121	4.5	7	1568.501	1	736627.680415	0	
14	0	1582.381	0	4	-30	700	1081	9.0	2	1585.671	0	736627.680614	0	
15	1	1590.904	0	4	-30	700	1081	9.0	3	1592.741	0	736627.680696	0	
16	1	1598.235	0	4	-30	700	1081	9.0	4	1601.075	1	736627.680793	0	
17	0	1620.241	0	3	-60	700	1041	4.5	2	1621.865	0	736627.681034	0	
18	1	1627.068	0	3	-60	700	1041	4.5	2	1629.802	0	736627.681125	0	
19	1	1634.965	0	3	-60	700	1041	4.5	4	1636.922	0	736627.681207	0	
20	1	1644.488	0	3	-60	700	1041	4.5	2	1651.787	0	736627.681380	0	
21	1	1656.973	0	3	-60	700	1041	4.5	4	1659.361	0	736627.681468	0	
22	1	1679.382	0	3	-60	700	1041	4.5	-1	-1.000	0	736627.681873	0	
23	0	1761.718	0	8	90	700	1201	9.0	7	1763.260	0	736627.682670	0	
24	1	1770.113	0	8	90	700	1201	9.0	8	1771.863	1	736627.682769	0	
25	0	1783.851	0	8	90	700	1101	0.0	6	1785.478	0	736627.682927	0	
26	1	1798.372	0	8	90	700	1101	0.0	8	1800.119	1	736627.683096	0	
27	0	1812.047	1	7	60	700	1021	9.0	3	1816.753	0	736627.683289	0	
28	1	1822.058	0	7	60	700	1021	9.0	7	1824.117	1	736627.683374	0	
29	0	1835.112	0	2	-90	700	1161	0.0	2	1836.986	1	736627.683523	0	
30	0	1847.832	0	3	-60	700	1141	4.5	3	1850.090	1	736627.683675	0	
31	0	1858.418	0	4	-30	700	1001	4.5	4	1859.606	1	736627.683785	0	
32	0	1868.680	0	6	30	700	1061	0.0	6	1870.316	1	736627.683909	0	
33	0	1879.197	0	6	30	700	1201	9.0	6	1880.473	1	736627.684026	0	
34	0	1890.034	0	2	-90	700	1021	4.5	3	1891.453	0	736627.684154	0	
35	1	1896.658	0	2	-90	700	1021	4.5	4	1897.981	0	736627.684229	0	
36	1	1904.548	0	2	-90	700	1021	4.5	2	1907.184	1	736627.684336	0	
37	0	1917.548	0	7	60	700	1121	0.0	7	1918.835	1	736627.684470	0	
38	0	1927.923	0	3	-60	700	1101	4.5	2	1929.663	0	736627.684596	0	
39	1	1938.408	1	3	-60	700	1101	4.5	2	1944.922	0	736627.684772	0	
40	1	1950.136	0	3	-60	700	1101	4.5	4	1951.597	0	736627.684849	0	
41	1	1956.823	1	3	-60	700	1101	4.5	2	1961.677	0	736627.684967	0	
42	1	1966.923	0	3	-60	700	1101	4.5	4	1968.988	0	736627.685051	0	
43	1	1974.226	0	3	-60	700	1101	4.5	4	1975.701	0	736627.685129	0	
44	1	1980.932	0	3	-60	700	1101	4.5	7	1983.128	0	736627.685214	0	
45	1	1990.788	0	3	-60	700	1101	4.5	6	1992.721	0	736627.685326	0	
46	1	2000.026	0	3	-60	700	1101	4.5	-1	-1.000	0	736627.685583	0	
47	0	2028.606	0	2	-90	700	1181	4.5	3	2030.105	0	736627.685758	0	
48	1	2036.553	0	2	-90	700	1181	4.5	2	2037.965	1	736627.685849	0	
49	0	2050.395	0	2	-90	700	1041	0.0	4	2051.545	0	736627.686007	0	
50	1	2056.764	0	2	-90	700	1041	0.0	2	2057.979	1	736627.686081	0	
51	0	2068.335	0	8	90	700	1141	4.5	7	2069.536	0	736627.686214	0	
52	1	2074.778	0	8	90	700	1141	4.5	8	2076.122	1	736627.686290	0	
53	0	2088.567	1	4	-30	700	1161	9.0	6	2093.464	0	736627.686492	0	
54	1	2098.787	0	4	-30	700	1161	9.0	7	2100.137	0	736627.686569	0	
55	1	2105.484	0	4	-30	700	1161	9.0	8	2107.228	0	736627.686652	0	
56	1	2118.718	0	4	-30	700	1161	9.0	4	2120.252	1	736627.686802	0	
57	0	2132.624	0	6	30	700	1001	4.5	6	2134.279	1	736627.686964	0	
58	0	2143.718	0	8	90	700	1061	0.0	8	2145.069	1	736627.687089	0	
59	0	2156.481	0	7	60	700	1181	4.5	6	2158.058	0	736627.687239	0	
60	1	2163.405	0	7	60	700	1181	4.5	8	2164.600	0	736627.687315	0	
61	1	2170.816	0	7	60	700	1181	4.5	8	2172.650	0	736627.687409	0	
62	1	2194.447	0	7	60	700	1181	4.5	3	2196.874	0	736627.687688	0	
63	1	2205.488	0	7	60	700	1181	4.5	6	2207.071	0	736627.687807	0	
