Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	605.784	0	6	30	700	1081	9.0	3	607.687	0	736628.359292	0	
2	1	644.108	0	6	30	700	1081	9.0	6	645.790	1	736628.359733	0	
3	0	660.447	0	3	-60	700	1141	0.0	3	662.062	1	736628.359920	0	
4	0	677.449	0	2	-90	700	1061	0.0	2	679.348	1	736628.360120	0	
5	0	693.753	0	8	90	700	1201	9.0	8	695.533	1	736628.360308	0	
6	0	708.757	0	4	-30	700	1121	0.0	4	710.153	1	736628.360477	0	
7	0	724.162	0	7	60	700	1181	4.5	7	725.503	1	736628.360655	0	
8	0	738.259	1	8	90	700	1161	4.5	8	751.660	1	736628.360957	0	
9	0	766.011	0	2	-90	700	1001	9.0	3	767.783	0	736628.361144	0	
10	1	772.902	0	2	-90	700	1001	9.0	3	774.728	0	736628.361225	0	
11	1	779.886	0	2	-90	700	1001	9.0	2	781.884	1	736628.361307	0	
12	0	791.343	0	7	60	700	1021	9.0	8	793.516	0	736628.361442	0	
13	1	804.449	0	7	60	700	1021	9.0	6	806.509	0	736628.361593	0	
14	1	812.054	0	7	60	700	1021	9.0	8	814.043	0	736628.361680	0	
15	1	821.558	0	7	60	700	1021	9.0	3	829.195	0	736628.361855	0	
16	0	838.148	0	6	30	700	1101	0.0	7	840.204	0	736628.361983	0	
17	1	845.705	0	6	30	700	1101	0.0	8	847.350	0	736628.362065	0	
18	1	860.884	0	6	30	700	1101	0.0	7	863.028	0	736628.362247	0	
19	1	869.088	0	6	30	700	1101	0.0	2	874.011	0	736628.362374	0	
20	1	879.302	0	6	30	700	1101	0.0	4	882.641	0	736628.362474	0	
21	1	887.888	0	6	30	700	1101	0.0	8	889.797	0	736628.362557	0	
22	0	898.784	0	3	-60	700	1041	0.0	2	906.248	0	736628.362747	0	
23	1	911.989	0	3	-60	700	1041	0.0	2	913.808	0	736628.362835	0	
24	1	919.229	0	3	-60	700	1041	0.0	2	921.070	0	736628.362918	0	
25	1	926.228	1	3	-60	700	1041	0.0	2	932.226	0	736628.363048	0	
26	1	947.776	1	3	-60	700	1041	0.0	8	956.124	0	736628.363324	0	
27	1	961.330	0	3	-60	700	1041	0.0	4	963.792	0	736628.363413	0	
28	0	968.885	0	4	-30	700	1061	4.5	2	970.868	0	736628.363494	0	
29	1	985.086	0	4	-30	700	1061	4.5	-1	-1.000	0	736628.363832	0	
30	0	1014.382	0	7	60	700	1121	9.0	4	1019.053	0	736628.364052	0	
31	1	1031.717	0	7	60	700	1121	9.0	8	1033.600	0	736628.364220	0	
32	1	1039.904	0	7	60	700	1121	9.0	8	1045.963	0	736628.364364	0	
33	1	1051.210	0	7	60	700	1121	9.0	7	1052.861	1	736628.364443	0	
34	0	1063.689	0	6	30	700	1101	0.0	7	1065.209	0	736628.364587	0	
35	1	1070.491	0	6	30	700	1101	0.0	8	1071.772	0	736628.364662	0	
36	1	1079.214	0	6	30	700	1101	0.0	8	1080.943	0	736628.364769	0	
37	1	1089.802	1	6	30	700	1101	0.0	8	1096.433	0	736628.364948	0	
38	1	1101.691	0	6	30	700	1101	0.0	8	1104.344	0	736628.365039	0	
39	1	1113.938	0	6	30	700	1101	0.0	2	1115.174	0	736628.365164	0	
40	0	1124.637	0	4	-30	700	1201	9.0	4	1126.279	1	736628.365293	0	
41	0	1142.552	0	8	90	700	1161	0.0	8	1144.026	1	736628.365499	0	
42	0	1154.547	0	4	-30	700	1141	9.0	4	1155.995	1	736628.365638	0	
43	0	1172.987	0	3	-60	700	1081	4.5	4	1174.586	0	736628.365852	0	
44	1	1179.772	0	3	-60	700	1081	4.5	4	1182.530	0	736628.365945	0	
45	1	1197.232	0	3	-60	700	1081	4.5	8	1203.553	0	736628.366188	0	
46	0	1218.549	0	2	-90	700	1181	9.0	4	1221.777	0	736628.366398	0	
47	1	1228.122	0	2	-90	700	1181	9.0	2	1235.564	1	736628.366558	0	
48	0	1243.993	0	8	90	700	1121	4.5	8	1246.001	1	736628.366680	0	
