Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	26.717	0	2	-90	700	1201	4.5	4	22.604	0	736599.600728	0	
2	1	31.995	0	2	-90	700	1201	4.5	6	33.111	0	736599.600801	0	
3	1	46.703	0	2	-90	700	1201	4.5	3	48.627	0	736599.600980	0	
4	1	62.415	0	2	-90	700	1201	4.5	3	71.779	0	736599.601248	0	
5	1	80.334	0	2	-90	700	1201	4.5	-1	-1.000	0	736599.601521	0	
6	0	97.045	0	6	30	700	1141	9.0	6	99.993	1	736599.601575	0	
7	0	118.839	0	8	90	700	1181	4.5	4	127.012	0	736599.601887	0	
8	1	132.350	0	8	90	700	1181	4.5	8	137.208	1	736599.602005	0	
9	0	159.403	0	3	-60	700	1161	0.0	3	161.512	1	736599.602287	0	
10	0	170.307	0	8	90	700	1061	4.5	6	174.454	0	736599.602436	0	
11	1	181.793	0	8	90	700	1061	4.5	8	184.815	1	736599.602556	0	
12	0	208.452	0	4	-30	700	1101	0.0	3	209.823	0	736599.602846	0	
13	1	215.881	0	4	-30	700	1101	0.0	3	217.535	0	736599.602935	0	
14	1	223.052	0	4	-30	700	1101	0.0	4	224.498	1	736599.603016	0	
15	0	252.238	0	3	-60	700	1041	4.5	3	253.905	1	736599.603356	0	
16	0	263.279	0	4	-30	700	1021	0.0	3	264.714	0	736599.603481	0	
17	1	273.620	0	4	-30	700	1021	0.0	4	277.279	1	736599.603626	0	
18	0	302.552	0	2	-90	700	1121	4.5	3	303.819	0	736599.603934	0	
19	1	311.117	0	2	-90	700	1121	4.5	3	312.736	0	736599.604037	0	
20	1	319.945	0	2	-90	700	1121	4.5	4	323.928	0	736599.604167	0	
21	1	331.783	0	2	-90	700	1121	4.5	8	335.391	0	736599.604299	0	
22	1	342.002	0	2	-90	700	1121	4.5	-1	-1.000	0	736599.604549	0	
23	0	508.137	0	6	30	700	1001	0.0	8	511.599	0	736599.606338	0	
24	1	520.932	0	6	30	700	1001	0.0	3	533.242	0	736599.606589	0	
