Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	309.238	0	6	30	700	1061	4.5	6	311.915	1	736602.587588	0	
2	0	318.952	0	2	-90	700	1121	9.0	3	320.437	0	736602.587686	0	
3	1	339.367	0	2	-90	700	1121	9.0	4	341.162	0	736602.587926	0	
4	1	364.103	0	2	-90	700	1121	9.0	4	368.736	0	736602.588245	0	
5	1	380.341	0	2	-90	700	1121	9.0	3	382.224	0	736602.588401	0	
6	1	393.789	0	2	-90	700	1121	9.0	4	395.648	0	736602.588556	0	
7	1	401.789	0	2	-90	700	1121	9.0	4	403.873	0	736602.588651	0	
8	1	430.471	0	2	-90	700	1121	9.0	8	432.232	0	736602.588980	0	
9	1	444.442	0	2	-90	700	1121	9.0	3	445.995	0	736602.589140	0	
10	1	459.965	0	2	-90	700	1121	9.0	4	462.744	0	736602.589333	0	
11	1	476.107	0	2	-90	700	1121	9.0	2	479.146	1	736602.589523	0	
12	0	512.141	0	3	-60	700	1141	9.0	3	513.636	1	736602.589922	0	
13	0	523.318	1	4	-30	700	1041	4.5	3	527.062	0	736602.590077	0	
14	1	551.228	0	4	-30	700	1041	4.5	6	552.856	0	736602.590376	0	
15	1	558.911	0	4	-30	700	1041	4.5	5	560.410	0	736602.590464	0	
16	1	571.455	0	4	-30	700	1041	4.5	5	573.029	0	736602.590610	0	
17	1	577.126	1	4	-30	700	1041	4.5	7	579.472	0	736602.590684	0	
18	1	585.611	0	4	-30	700	1041	4.5	4	586.962	1	736602.590770	0	
19	0	599.288	0	8	90	700	1101	0.0	7	600.615	0	736602.590929	0	
20	1	610.739	0	8	90	700	1101	0.0	8	612.298	1	736602.591064	0	
21	0	627.540	0	6	30	700	1081	9.0	6	629.014	1	736602.591258	0	
22	0	640.099	0	7	60	700	1021	0.0	6	642.324	0	736602.591412	0	
23	1	655.894	0	7	60	700	1021	0.0	7	657.319	1	736602.591585	0	
24	0	667.720	0	7	60	700	1201	9.0	6	669.131	0	736602.591722	0	
25	1	687.472	0	7	60	700	1201	9.0	6	688.903	0	736602.591950	0	
26	1	712.360	0	7	60	700	1201	9.0	7	714.246	1	736602.592244	0	
27	0	835.124	0	5	0	700	1001	0.0	6	836.468	0	736602.593658	0	
28	1	1253.260	0	5	0	700	1001	0.0	2	1255.865	0	736602.598512	0	
29	1	1281.193	0	5	0	700	1001	0.0	-1	-1.000	0	736602.598980	0	
30	0	1358.476	0	5	0	700	1121	0.0	6	1360.546	0	736602.599724	0	
31	1	1686.060	1	5	0	700	1121	0.0	2	1693.326	0	736602.603576	0	
32	1	1748.852	0	5	0	700	1121	0.0	3	1750.671	0	736602.604239	0	
