Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	861.500	0	8	90	700	1001	4.5	8	864.494	1	736606.585541	0	
2	0	914.473	0	4	-30	700	1161	9.0	4	914.566	1	736606.586121	0	
3	0	923.676	0	8	90	700	1081	0.0	8	925.379	1	736606.586246	0	
4	0	935.192	1	4	-30	700	1041	4.5	4	936.906	1	736606.586379	0	
5	0	949.079	0	6	30	700	1181	0.0	8	951.539	0	736606.586548	0	
6	1	962.964	0	6	30	700	1181	0.0	2	970.428	0	736606.586766	0	
7	1	981.779	0	6	30	700	1181	0.0	6	983.322	1	736606.586916	0	
8	0	992.925	1	3	-60	700	1121	9.0	2	1001.922	0	736606.587131	0	
9	1	1009.599	0	3	-60	700	1121	9.0	3	1011.379	1	736606.587241	0	
10	0	1025.066	0	2	-90	700	1061	4.5	2	1026.829	1	736606.587419	0	
11	0	1042.408	0	3	-60	700	1101	9.0	3	1043.641	1	736606.587614	0	
12	0	1054.473	0	2	-90	700	1141	9.0	3	1055.983	0	736606.587757	0	
13	1	1061.310	0	2	-90	700	1141	9.0	2	1062.851	1	736606.587836	0	
14	0	1073.944	0	6	30	700	1021	0.0	6	1075.547	1	736606.587983	0	
15	0	1089.599	0	7	60	700	1201	0.0	6	1090.780	0	736606.588160	0	
16	1	1100.286	0	7	60	700	1201	0.0	7	1101.585	1	736606.588285	0	
17	0	1114.830	0	7	60	700	1081	9.0	4	1124.520	0	736606.588550	0	
18	1	1136.029	0	7	60	700	1081	9.0	6	1137.282	0	736606.588698	0	
19	1	1147.136	0	7	60	700	1081	9.0	8	1157.822	0	736606.588936	0	
20	1	1166.240	1	7	60	700	1081	9.0	2	1172.191	0	736606.589102	0	
21	1	1178.607	0	7	60	700	1081	9.0	4	1180.546	0	736606.589198	0	
22	1	1190.145	0	7	60	700	1081	9.0	6	1192.090	0	736606.589332	0	
23	1	1198.292	0	7	60	700	1081	9.0	2	1207.551	0	736606.589511	0	
24	1	1212.751	0	7	60	700	1081	9.0	4	1214.886	0	736606.589596	0	
25	1	1229.791	0	7	60	700	1081	9.0	4	1232.818	0	736606.589804	0	
26	1	1238.241	1	7	60	700	1081	9.0	-1	-1.000	0	736606.590039	0	
27	0	1254.810	0	8	90	700	1061	0.0	8	1257.817	1	736606.590093	0	
28	0	1270.522	0	6	30	700	1141	9.0	6	1272.129	1	736606.590258	0	
29	0	1281.089	0	4	-30	700	1021	4.5	3	1282.468	0	736606.590378	0	
30	1	1289.844	1	4	-30	700	1021	4.5	6	1295.925	0	736606.590534	0	
31	0	1345.213	0	3	-60	700	1121	0.0	2	1348.957	0	736606.591148	0	
32	1	1369.661	0	3	-60	700	1121	0.0	3	1375.635	1	736606.591456	0	
33	0	1400.392	0	3	-60	700	1001	4.5	6	1402.262	0	736606.591765	0	
34	1	1407.454	0	3	-60	700	1001	4.5	4	1409.077	0	736606.591844	0	
35	1	1420.459	0	3	-60	700	1001	4.5	4	1421.692	0	736606.591990	0	
36	1	1428.731	0	3	-60	700	1001	4.5	2	1430.354	0	736606.592089	0	
37	1	1437.020	1	3	-60	700	1001	4.5	2	1442.846	0	736606.592234	0	
38	1	1476.543	0	3	-60	700	1001	4.5	2	1482.160	0	736606.592689	0	
39	1	1487.761	1	3	-60	700	1001	4.5	2	1494.697	0	736606.592835	0	
40	1	1499.857	0	3	-60	700	1001	4.5	-1	-1.000	0	736606.593068	0	
41	0	1624.650	0	7	60	700	1181	0.0	-1	-1.000	0	736606.594512	0	
42	0	1645.258	0	4	-30	700	1101	9.0	2	1649.206	0	736606.594623	0	
43	1	1663.147	0	4	-30	700	1101	9.0	2	1666.067	0	736606.594817	0	
44	0	1686.689	0	7	60	700	1041	0.0	7	1689.664	1	736606.595092	0	
45	0	1705.275	0	2	-90	700	1201	9.0	2	1706.928	1	736606.595291	0	
46	0	1724.427	0	2	-90	700	1021	0.0	3	1725.964	0	736606.595511	0	
47	1	1731.713	1	2	-90	700	1021	0.0	4	1736.119	0	736606.595629	0	
48	0	1740.963	0	6	30	700	1161	9.0	7	1742.651	0	736606.595704	0	
49	1	1755.684	0	6	30	700	1161	9.0	-1	-1.000	0	736606.596029	0	
50	0	1814.609	1	8	90	700	1081	0.0	3	1818.720	0	736606.596585	0	
51	1	1949.059	1	8	90	700	1081	0.0	3	1963.575	0	736606.598262	0	
52	1	1979.705	0	8	90	700	1081	0.0	8	1981.321	1	736606.598467	0	
53	0	1995.622	1	7	60	700	1001	4.5	6	2001.389	0	736606.598700	0	
54	1	2006.637	0	7	60	700	1001	4.5	2	2012.055	0	736606.598822	0	
55	0	2060.281	0	2	-90	700	1121	9.0	2	2062.846	1	736606.599410	0	
56	0	2078.543	0	6	30	700	1041	4.5	-1	-1.000	0	736606.599765	0	
