Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	471.401	0	4	-30	700	1081	0.0	2	473.519	0	736607.633086	0	
2	1	616.989	0	4	-30	700	1081	0.0	4	618.564	1	736607.634765	0	
3	0	636.320	0	6	30	700	1101	4.5	4	638.049	0	736607.634990	0	
4	1	646.304	0	6	30	700	1101	4.5	4	650.977	0	736607.635140	0	
5	1	656.222	0	6	30	700	1101	4.5	3	664.572	0	736607.635298	0	
6	1	689.013	0	6	30	700	1101	4.5	-1	-1.000	0	736607.635753	0	
7	0	710.986	0	2	-90	700	1181	0.0	3	712.608	0	736607.635853	0	
8	1	717.913	0	2	-90	700	1181	0.0	3	719.293	0	736607.635930	0	
9	1	725.049	0	2	-90	700	1181	0.0	3	726.907	0	736607.636018	0	
10	1	745.365	0	2	-90	700	1181	0.0	4	747.281	0	736607.636254	0	
11	1	754.165	1	2	-90	700	1181	0.0	2	766.499	1	736607.636477	0	
12	0	780.957	0	3	-60	700	1021	4.5	3	785.053	1	736607.636692	0	
13	0	794.008	0	3	-60	700	1161	0.0	3	795.583	1	736607.636814	0	
14	0	805.633	0	4	-30	700	1001	4.5	3	807.722	0	736607.636953	0	
15	1	812.910	0	4	-30	700	1001	4.5	2	815.579	0	736607.637045	0	
16	1	822.326	0	4	-30	700	1001	4.5	3	823.898	0	736607.637141	0	
17	1	830.516	0	4	-30	700	1001	4.5	7	832.846	0	736607.637245	0	
18	1	838.537	0	4	-30	700	1001	4.5	3	840.300	0	736607.637331	0	
19	1	846.132	0	4	-30	700	1001	4.5	3	848.287	0	736607.637423	0	
20	1	862.000	0	4	-30	700	1001	4.5	3	863.667	0	736607.637602	0	
21	1	868.828	1	4	-30	700	1001	4.5	2	880.309	0	736607.637794	0	
22	1	885.677	0	4	-30	700	1001	4.5	4	887.604	1	736607.637878	0	
23	0	897.971	0	6	30	700	1121	0.0	6	900.126	1	736607.638024	0	
24	0	906.351	0	8	90	700	1061	9.0	8	908.615	1	736607.638121	0	
25	0	920.445	0	7	60	700	1201	0.0	4	923.329	0	736607.638292	0	
