Trial	CorrectionTrial?	StartTime	CenterReward?	SpkrIdx	SpkrPos	duration	HoldTime	Atten	Response	RespTime	Correct	ComputerTime	SoundOrLED	
1	0	6.043	0	7	60	700	1141	4.5	7	7.617	1	736582.395499	0	
2	0	19.435	0	6	30	700	1161	9.0	6	21.261	1	736582.395657	0	
3	0	31.098	0	6	30	700	1041	4.5	7	32.857	0	736582.395792	0	
4	1	38.067	0	6	30	700	1041	4.5	6	39.670	1	736582.395870	0	
5	0	48.355	1	7	60	700	1121	9.0	-1	-1.000	0	736582.396145	0	
6	0	82.607	0	8	90	700	1101	9.0	6	84.410	0	736582.396388	0	
7	1	89.639	0	8	90	700	1101	9.0	8	90.992	1	736582.396464	0	
8	0	102.520	0	8	90	700	1181	4.5	8	104.519	1	736582.396620	0	
9	0	114.031	0	8	90	700	1021	4.5	7	115.798	0	736582.396751	0	
10	1	121.503	0	8	90	700	1021	4.5	7	122.831	0	736582.396832	0	
11	1	130.853	0	8	90	700	1021	4.5	6	133.129	0	736582.396952	0	
12	1	142.998	0	8	90	700	1021	4.5	7	144.660	0	736582.397086	0	
13	1	160.294	0	8	90	700	1021	4.5	-1	-1.000	0	736582.397440	0	
14	0	188.818	1	7	60	700	1201	9.0	6	192.310	0	736582.397637	0	
15	1	197.638	0	7	60	700	1201	9.0	7	199.893	1	736582.397724	0	
16	0	216.228	0	8	90	700	1061	4.5	7	217.527	0	736582.397928	0	
17	1	226.491	0	8	90	700	1061	4.5	8	228.367	1	736582.398054	0	
18	0	258.004	0	6	30	700	1041	4.5	7	259.793	0	736582.398418	0	
19	1	265.331	0	6	30	700	1041	4.5	6	267.607	1	736582.398508	0	
20	0	275.558	0	7	60	700	1201	0.0	6	277.117	0	736582.398618	0	
21	1	296.300	0	7	60	700	1201	0.0	8	300.077	0	736582.398884	0	
