Condition,originalFile,Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,SessionDate,LeftTemperature,RightTemperature
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,9,0,766.011,0,2,-90,700,1001,9.0,3,767.783,0,736628.361144,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,10,1,772.902,0,2,-90,700,1001,9.0,3,774.728,0,736628.361225,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,11,1,779.886,0,2,-90,700,1001,9.0,2,781.884,1,736628.361307,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,12,0,791.343,0,7,60,700,1021,9.0,8,793.516,0,736628.361442,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,13,1,804.449,0,7,60,700,1021,9.0,6,806.509,0,736628.361593,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,14,1,812.054,0,7,60,700,1021,9.0,8,814.043,0,736628.36168,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,15,1,821.558,0,7,60,700,1021,9.0,3,829.195,0,736628.361855,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,16,0,838.148,0,6,30,700,1101,0.0,7,840.204,0,736628.361983,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,17,1,845.705,0,6,30,700,1101,0.0,8,847.35,0,736628.362065,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,18,1,860.884,0,6,30,700,1101,0.0,7,863.028,0,736628.362247,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,19,1,869.088,0,6,30,700,1101,0.0,2,874.011,0,736628.362374,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,20,1,879.302,0,6,30,700,1101,0.0,4,882.641,0,736628.362474,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,21,1,887.888,0,6,30,700,1101,0.0,8,889.797,0,736628.362557,Aud,2016-10-25 08:27:00,11.0,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,22,0,898.784,0,3,-60,700,1041,0.0,2,906.248,0,736628.362747,Aud,2016-10-25 08:27:00,8.5,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,23,1,911.989,0,3,-60,700,1041,0.0,2,913.808,0,736628.362835,Aud,2016-10-25 08:27:00,8.5,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,24,1,919.229,0,3,-60,700,1041,0.0,2,921.07,0,736628.362918,Aud,2016-10-25 08:27:00,8.5,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,25,1,926.228,1,3,-60,700,1041,0.0,2,932.226,0,736628.363048,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,26,1,947.776,1,3,-60,700,1041,0.0,8,956.124,0,736628.363324,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,27,1,961.33,0,3,-60,700,1041,0.0,4,963.792,0,736628.363413,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,28,0,968.885,0,4,-30,700,1061,4.5,2,970.868,0,736628.363494,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,29,1,985.086,0,4,-30,700,1061,4.5,-1,-1.0,0,736628.363832,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,30,0,1014.382,0,7,60,700,1121,9.0,4,1019.053,0,736628.364052,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,31,1,1031.717,0,7,60,700,1121,9.0,8,1033.6,0,736628.36422,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,32,1,1039.904,0,7,60,700,1121,9.0,8,1045.963,0,736628.364364,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,33,1,1051.21,0,7,60,700,1121,9.0,7,1052.861,1,736628.364443,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,34,0,1063.689,0,6,30,700,1101,0.0,7,1065.209,0,736628.364587,Aud,2016-10-25 08:27:00,8.1,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,35,1,1070.491,0,6,30,700,1101,0.0,8,1071.772,0,736628.364662,Aud,2016-10-25 08:27:00,10.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,36,1,1079.214,0,6,30,700,1101,0.0,8,1080.943,0,736628.364769,Aud,2016-10-25 08:27:00,10.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,37,1,1089.802,1,6,30,700,1101,0.0,8,1096.433,0,736628.364948,Aud,2016-10-25 08:27:00,10.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,38,1,1101.691,0,6,30,700,1101,0.0,8,1104.344,0,736628.365039,Aud,2016-10-25 08:27:00,10.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,39,1,1113.938,0,6,30,700,1101,0.0,2,1115.174,0,736628.365164,Aud,2016-10-25 08:27:00,10.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,40,0,1124.637,0,4,-30,700,1201,9.0,4,1126.279,1,736628.365293,Aud,2016-10-25 08:27:00,10.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,41,0,1142.552,0,8,90,700,1161,0.0,8,1144.026,1,736628.365499,Aud,2016-10-25 08:27:00,9.6,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,42,0,1154.547,0,4,-30,700,1141,9.0,4,1155.995,1,736628.365638,Aud,2016-10-25 08:27:00,9.6,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,43,0,1172.987,0,3,-60,700,1081,4.5,4,1174.586,0,736628.365852,Aud,2016-10-25 08:27:00,9.6,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,44,1,1179.772,0,3,-60,700,1081,4.5,4,1182.53,0,736628.365945,Aud,2016-10-25 08:27:00,9.6,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,45,1,1197.232,0,3,-60,700,1081,4.5,8,1203.553,0,736628.366188,Aud,2016-10-25 08:27:00,9.6,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,46,0,1218.549,0,2,-90,700,1181,9.0,4,1221.777,0,736628.366398,Aud,2016-10-25 08:27:00,9.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,47,1,1228.122,0,2,-90,700,1181,9.0,2,1235.564,1,736628.366558,Aud,2016-10-25 08:27:00,9.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,48,0,1243.993,0,8,90,700,1121,4.5,8,1246.001,1,736628.36668,Aud,2016-10-25 08:27:00,9.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,49,0,1256.281,0,2,-90,700,1061,9.0,4,1258.22,0,736628.366821,Aud,2016-10-25 08:27:00,9.4,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,50,1,1263.453,0,2,-90,700,1061,9.0,4,1265.049,0,736628.3669,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,51,1,1270.353,0,2,-90,700,1061,9.0,2,1274.404,1,736628.367008,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,52,0,1285.509,0,3,-60,700,1021,0.0,6,1287.359,0,736628.367158,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,53,1,1304.735,0,3,-60,700,1021,0.0,2,1307.315,0,736628.367389,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,54,1,1312.513,0,3,-60,700,1021,0.0,3,1314.045,1,736628.367467,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,55,0,1324.836,0,7,60,700,1081,4.5,8,1326.596,0,736628.367612,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,56,1,1331.874,0,7,60,700,1081,4.5,6,1333.55,0,736628.367692,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,57,1,1339.968,0,7,60,700,1081,4.5,7,1341.95,1,736628.367789,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,58,0,1354.999,0,7,60,700,1141,0.0,7,1356.408,1,736628.367957,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,59,0,1365.843,0,7,60,700,1181,9.0,7,1367.33,1,736628.368083,Aud,2016-10-25 08:27:00,9.2,36.0
Left,25_10_2016 level15_700_Robin 8_27 Left_T9,60,0,1382.239,0,4,-30,700,1041,9.0,4,1383.996,1,736628.368277,Aud,2016-10-25 08:27:00,9.2,36.0
