Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
0,5537,20.3,5537,22.6,09-Jun-2015 17:04:24
1,5537,20.3,5537,22.6,09-Jun-2015 17:04:25
2,5537,20.3,5537,22.6,09-Jun-2015 17:04:26
3,5537,20.3,5537,22.6,09-Jun-2015 17:04:27
4,5537,20.3,5537,22.6,09-Jun-2015 17:04:28
5,5537,20.3,5537,22.6,09-Jun-2015 17:04:29
6,5537,20.3,5537,22.6,09-Jun-2015 17:04:30
7,5537,20.3,5537,22.6,09-Jun-2015 17:04:31
8,5537,20.3,5537,22.6,09-Jun-2015 17:04:32
9,5537,20.3,5537,22.6,09-Jun-2015 17:04:33
10,5537,20.3,5537,22.6,09-Jun-2015 17:04:34
11,5537,20.3,5537,22.6,09-Jun-2015 17:04:35
12,5537,20.3,5537,22.6,09-Jun-2015 17:04:36
13,5537,20.3,5537,22.6,09-Jun-2015 17:04:37
14,5537,20.3,5537,22.6,09-Jun-2015 17:04:38
15,1152,20.3,5537,22.6,09-Jun-2015 17:04:39
16,726,20.3,5537,22.6,09-Jun-2015 17:04:40
17,5537,20.3,5537,22.6,09-Jun-2015 17:04:41
18,5537,20.3,5537,22.6,09-Jun-2015 17:04:42
19,5537,20.3,5537,22.6,09-Jun-2015 17:04:43
20,5537,20.3,5537,22.6,09-Jun-2015 17:04:44
21,5537,20.3,5537,22.6,09-Jun-2015 17:04:45
22,5537,20.3,5537,22.6,09-Jun-2015 17:04:46
23,5537,20.3,5537,22.6,09-Jun-2015 17:04:47
24,5537,20.3,5537,22.4,09-Jun-2015 17:04:48
25,5537,20.3,5537,22.4,09-Jun-2015 17:04:49
26,5537,20.3,5537,22.3,09-Jun-2015 17:04:50
27,5537,20.3,5537,22.3,09-Jun-2015 17:04:51
28,5537,20.3,5537,22.3,09-Jun-2015 17:04:52
29,5537,20.3,5537,22.3,09-Jun-2015 17:04:53
30,5537,20.3,5537,22.3,09-Jun-2015 17:04:54
31,5537,20.3,5537,22.3,09-Jun-2015 17:04:55
32,5537,20.3,5537,22.3,09-Jun-2015 17:04:56
33,5537,20.3,5537,22.3,09-Jun-2015 17:04:57
34,5537,20.3,5537,22.3,09-Jun-2015 17:04:59
35,5537,20.3,5537,22.3,09-Jun-2015 17:05:00
36,5537,20.3,5537,22.3,09-Jun-2015 17:05:01
37,5537,20.3,5537,22.3,09-Jun-2015 17:05:02
