Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
0,5537,19.8,5537,19.5,10-Jun-2015 08:08:30
1,5537,19.8,5537,19.5,10-Jun-2015 08:08:31
2,5537,19.8,5537,19.5,10-Jun-2015 08:08:32
3,5537,19.8,5537,19.5,10-Jun-2015 08:08:33
4,5537,19.8,5537,19.5,10-Jun-2015 08:08:34
5,5537,19.8,5537,19.5,10-Jun-2015 08:08:35
6,5537,19.8,5537,19.5,10-Jun-2015 08:08:36
7,5537,19.8,5537,19.5,10-Jun-2015 08:08:37
8,5537,19.8,5537,19.5,10-Jun-2015 08:08:38
9,5537,19.8,5537,19.5,10-Jun-2015 08:08:39
10,5537,19.8,5537,19.5,10-Jun-2015 08:08:40
11,5537,19.8,5537,19.5,10-Jun-2015 08:08:41
12,5537,19.8,5537,19.5,10-Jun-2015 08:08:42
13,5537,19.8,5537,19.5,10-Jun-2015 08:08:43
14,5537,19.8,5537,19.5,10-Jun-2015 08:08:44
15,5537,19.8,5537,19.5,10-Jun-2015 08:08:45
16,5537,19.8,5537,19.5,10-Jun-2015 08:08:46
17,5537,19.8,5537,19.5,10-Jun-2015 08:08:47
18,5537,19.8,5537,19.5,10-Jun-2015 08:08:48
19,5537,19.8,5537,19.5,10-Jun-2015 08:08:49
20,5537,19.8,5537,19.5,10-Jun-2015 08:08:50
21,5537,19.8,5537,19.5,10-Jun-2015 08:08:51
22,5537,19.8,5537,19.5,10-Jun-2015 08:08:52
23,5537,19.8,5537,19.5,10-Jun-2015 08:08:53
24,5537,19.8,5537,19.5,10-Jun-2015 08:08:54
25,5537,19.8,5537,19.5,10-Jun-2015 08:08:55
26,5537,19.8,5537,19.5,10-Jun-2015 08:08:56
27,5537,19.8,5537,19.5,10-Jun-2015 08:08:57
28,5537,19.8,5537,19.5,10-Jun-2015 08:08:58
29,5537,19.6,5537,19.5,10-Jun-2015 08:08:59
30,5537,19.6,5537,19.5,10-Jun-2015 08:09:00
31,5537,19.5,5537,19.5,10-Jun-2015 08:09:01
32,5537,19.5,5537,19.5,10-Jun-2015 08:09:02
33,5537,19.5,5537,19.5,10-Jun-2015 08:09:03
34,5537,19.5,5537,19.5,10-Jun-2015 08:09:04
35,5537,19.5,5537,19.5,10-Jun-2015 08:09:05
36,5537,19.5,5537,19.5,10-Jun-2015 08:09:06
37,5537,19.5,5537,19.5,10-Jun-2015 08:09:07
38,5537,19.5,5537,19.5,10-Jun-2015 08:09:08
39,5537,19.5,5537,19.5,10-Jun-2015 08:09:09
40,5537,19.5,5537,19.5,10-Jun-2015 08:09:10
41,5537,19.5,5537,19.5,10-Jun-2015 08:09:11
42,5537,19.5,5537,19.5,10-Jun-2015 08:09:12
43,5537,19.5,5537,19.5,10-Jun-2015 08:09:13
44,5537,19.5,5537,19.5,10-Jun-2015 08:09:14
45,5537,19.5,5537,19.5,10-Jun-2015 08:09:16
46,5537,19.5,5537,19.5,10-Jun-2015 08:09:17
47,5537,19.5,5537,19.5,10-Jun-2015 08:09:18
48,5537,19.5,5537,19.5,10-Jun-2015 08:09:19
49,5537,19.5,5537,19.5,10-Jun-2015 08:09:20
50,5537,19.5,5537,19.5,10-Jun-2015 08:09:21
51,5537,19.5,5537,19.5,10-Jun-2015 08:09:22
52,5537,19.5,5537,19.5,10-Jun-2015 08:09:23
53,5537,19.5,5537,19.5,10-Jun-2015 08:09:24
54,5537,19.5,5537,19.5,10-Jun-2015 08:09:25
55,5537,19.5,5537,19.5,10-Jun-2015 08:09:26
56,5537,19.5,5537,19.5,10-Jun-2015 08:09:27
57,5537,19.5,5537,19.5,10-Jun-2015 08:09:28
58,5537,19.5,5537,19.5,10-Jun-2015 08:09:29
59,5537,19.5,5537,19.5,10-Jun-2015 08:09:30
60,5537,19.5,5537,19.5,10-Jun-2015 08:09:31
61,5537,19.5,5537,19.5,10-Jun-2015 08:09:32
62,5537,19.5,5537,19.5,10-Jun-2015 08:09:33
63,5537,19.5,5537,19.5,10-Jun-2015 08:09:34
64,5537,19.5,5537,19.5,10-Jun-2015 08:09:35
65,5537,19.5,5537,19.5,10-Jun-2015 08:09:36
66,5537,19.5,5537,19.5,10-Jun-2015 08:09:37
67,5537,19.5,5537,19.5,10-Jun-2015 08:09:38
68,5537,19.5,5537,19.5,10-Jun-2015 08:09:39
69,5537,19.5,5537,19.5,10-Jun-2015 08:09:40
