Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	06/09/2015	17:04:24	5537	20.3	5537	22.6
1	06/09/2015	17:04:25	5537	20.3	5537	22.6
2	06/09/2015	17:04:26	5537	20.3	5537	22.6
3	06/09/2015	17:04:27	5537	20.3	5537	22.6
4	06/09/2015	17:04:28	5537	20.3	5537	22.6
5	06/09/2015	17:04:29	5537	20.3	5537	22.6
6	06/09/2015	17:04:30	5537	20.3	5537	22.6
7	06/09/2015	17:04:31	5537	20.3	5537	22.6
8	06/09/2015	17:04:32	5537	20.3	5537	22.6
9	06/09/2015	17:04:33	5537	20.3	5537	22.6
10	06/09/2015	17:04:34	5537	20.3	5537	22.6
11	06/09/2015	17:04:35	5537	20.3	5537	22.6
12	06/09/2015	17:04:36	5537	20.3	5537	22.6
13	06/09/2015	17:04:37	5537	20.3	5537	22.6
14	06/09/2015	17:04:38	5537	20.3	5537	22.6
15	06/09/2015	17:04:39	1152	20.3	5537	22.6
16	06/09/2015	17:04:40	726	20.3	5537	22.6
17	06/09/2015	17:04:41	5537	20.3	5537	22.6
18	06/09/2015	17:04:42	5537	20.3	5537	22.6
19	06/09/2015	17:04:43	5537	20.3	5537	22.6
20	06/09/2015	17:04:44	5537	20.3	5537	22.6
21	06/09/2015	17:04:45	5537	20.3	5537	22.6
22	06/09/2015	17:04:46	5537	20.3	5537	22.6
23	06/09/2015	17:04:47	5537	20.3	5537	22.6
24	06/09/2015	17:04:48	5537	20.3	5537	22.4
25	06/09/2015	17:04:49	5537	20.3	5537	22.4
26	06/09/2015	17:04:50	5537	20.3	5537	22.3
27	06/09/2015	17:04:51	5537	20.3	5537	22.3
28	06/09/2015	17:04:52	5537	20.3	5537	22.3
29	06/09/2015	17:04:53	5537	20.3	5537	22.3
30	06/09/2015	17:04:54	5537	20.3	5537	22.3
31	06/09/2015	17:04:55	5537	20.3	5537	22.3
32	06/09/2015	17:04:56	5537	20.3	5537	22.3
33	06/09/2015	17:04:57	5537	20.3	5537	22.3
34	06/09/2015	17:04:59	5537	20.3	5537	22.3
35	06/09/2015	17:05:00	5537	20.3	5537	22.3
36	06/09/2015	17:05:01	5537	20.3	5537	22.3
37	06/09/2015	17:05:02	5537	20.3	5537	22.3
38	06/09/2015	17:05:03	5537	20.3	5537	22.3
39	06/09/2015	17:05:04	5537	20.3	5537	22.3
40	06/09/2015	17:05:05	5537	20.3	5537	22.3
41	06/09/2015	17:05:06	5537	20.3	5537	22.3
42	06/09/2015	17:05:07	5537	20.3	5537	22.3
43	06/09/2015	17:05:08	5537	20.3	5537	22.3
44	06/09/2015	17:05:09	5537	20.3	5537	22.3
45	06/09/2015	17:05:10	5537	20.3	5537	22.3
46	06/09/2015	17:05:11	5537	20.3	5537	22.3
