Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	06/10/2015	08:08:30	5537	19.8	5537	19.5
1	06/10/2015	08:08:31	5537	19.8	5537	19.5
2	06/10/2015	08:08:32	5537	19.8	5537	19.5
3	06/10/2015	08:08:33	5537	19.8	5537	19.5
4	06/10/2015	08:08:34	5537	19.8	5537	19.5
5	06/10/2015	08:08:35	5537	19.8	5537	19.5
6	06/10/2015	08:08:36	5537	19.8	5537	19.5
7	06/10/2015	08:08:37	5537	19.8	5537	19.5
8	06/10/2015	08:08:38	5537	19.8	5537	19.5
9	06/10/2015	08:08:39	5537	19.8	5537	19.5
10	06/10/2015	08:08:40	5537	19.8	5537	19.5
11	06/10/2015	08:08:41	5537	19.8	5537	19.5
12	06/10/2015	08:08:42	5537	19.8	5537	19.5
13	06/10/2015	08:08:43	5537	19.8	5537	19.5
14	06/10/2015	08:08:44	5537	19.8	5537	19.5
15	06/10/2015	08:08:45	5537	19.8	5537	19.5
16	06/10/2015	08:08:46	5537	19.8	5537	19.5
17	06/10/2015	08:08:47	5537	19.8	5537	19.5
18	06/10/2015	08:08:48	5537	19.8	5537	19.5
19	06/10/2015	08:08:49	5537	19.8	5537	19.5
20	06/10/2015	08:08:50	5537	19.8	5537	19.5
21	06/10/2015	08:08:51	5537	19.8	5537	19.5
22	06/10/2015	08:08:52	5537	19.8	5537	19.5
23	06/10/2015	08:08:53	5537	19.8	5537	19.5
24	06/10/2015	08:08:54	5537	19.8	5537	19.5
25	06/10/2015	08:08:55	5537	19.8	5537	19.5
26	06/10/2015	08:08:56	5537	19.8	5537	19.5
27	06/10/2015	08:08:57	5537	19.8	5537	19.5
28	06/10/2015	08:08:58	5537	19.8	5537	19.5
29	06/10/2015	08:08:59	5537	19.6	5537	19.5
30	06/10/2015	08:09:00	5537	19.6	5537	19.5
31	06/10/2015	08:09:01	5537	19.5	5537	19.5
32	06/10/2015	08:09:02	5537	19.5	5537	19.5
33	06/10/2015	08:09:03	5537	19.5	5537	19.5
34	06/10/2015	08:09:04	5537	19.5	5537	19.5
35	06/10/2015	08:09:05	5537	19.5	5537	19.5
36	06/10/2015	08:09:06	5537	19.5	5537	19.5
37	06/10/2015	08:09:07	5537	19.5	5537	19.5
38	06/10/2015	08:09:08	5537	19.5	5537	19.5
39	06/10/2015	08:09:09	5537	19.5	5537	19.5
40	06/10/2015	08:09:10	5537	19.5	5537	19.5
41	06/10/2015	08:09:11	5537	19.5	5537	19.5
42	06/10/2015	08:09:12	5537	19.5	5537	19.5
43	06/10/2015	08:09:13	5537	19.5	5537	19.5
44	06/10/2015	08:09:14	5537	19.5	5537	19.5
45	06/10/2015	08:09:16	5537	19.5	5537	19.5
46	06/10/2015	08:09:17	5537	19.5	5537	19.5
