Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	07/03/2015	15:55:23	5537	22.1	5537	22.1
1	07/03/2015	15:55:24	5537	22.1	5537	22.1
2	07/03/2015	15:55:25	5537	22.1	5537	22.1
3	07/03/2015	15:55:26	5537	22.1	5537	22.1
4	07/03/2015	15:55:27	5537	22.1	5537	22.1
5	07/03/2015	15:55:28	5537	22.1	5537	22.1
6	07/03/2015	15:55:29	5537	22.1	5537	22.1
7	07/03/2015	15:55:30	5537	22.1	5537	22.1
8	07/03/2015	15:55:31	5537	22.1	5537	22.1
9	07/03/2015	15:55:32	5537	22.1	5537	22.1
10	07/03/2015	15:55:33	5537	22.1	5537	22.1
11	07/03/2015	15:55:34	5537	22.1	5537	22.1
12	07/03/2015	15:55:35	5537	22.1	5537	22.1
13	07/03/2015	15:55:36	5537	22.1	5537	22.1
14	07/03/2015	15:55:37	5537	22.1	5537	22.1
15	07/03/2015	15:55:38	5537	22.1	5537	22.1
16	07/03/2015	15:55:39	5537	22.1	5537	22.1
17	07/03/2015	15:55:40	5537	22.1	5537	22.1
18	07/03/2015	15:55:41	5537	22.1	5537	22.1
19	07/03/2015	15:55:42	5537	22.1	5537	22.1
20	07/03/2015	15:55:43	5537	22.1	5537	22.1
21	07/03/2015	15:55:44	5537	22.1	5537	22.1
22	07/03/2015	15:55:45	5537	22.1	5537	22.1
23	07/03/2015	15:55:46	5537	22.1	5537	22.1
24	07/03/2015	15:55:47	5537	22.1	5537	22.1
25	07/03/2015	15:55:48	5537	22.1	5537	22.1
26	07/03/2015	15:55:49	5537	22.1	5537	22.1
27	07/03/2015	15:55:50	5537	22.1	5537	22.1
28	07/03/2015	15:55:51	5537	22.1	5537	22.1
29	07/03/2015	15:55:52	5537	22.1	5537	22.1
30	07/03/2015	15:55:53	5537	22.1	5537	22.1
31	07/03/2015	15:55:54	5537	22.1	5537	22.1
32	07/03/2015	15:55:55	5537	22.1	5537	22.1
33	07/03/2015	15:55:56	5537	22.1	5537	22.1
34	07/03/2015	15:55:57	5537	22.1	5537	22.1
35	07/03/2015	15:55:58	5537	22.1	5537	22.1
36	07/03/2015	15:55:59	5537	22.1	5537	22.1
37	07/03/2015	15:56:00	5537	22.1	5537	22.1
38	07/03/2015	15:56:01	5537	22.1	5537	22.1
39	07/03/2015	15:56:02	5537	22.1	5537	22.1
40	07/03/2015	15:56:03	5537	22.1	5537	22.1
41	07/03/2015	15:56:04	5537	22.1	5537	22.1
42	07/03/2015	15:56:05	5537	22.1	5537	22.1
43	07/03/2015	15:56:06	5537	22.1	5537	22.1
44	07/03/2015	15:56:08	5537	22.1	5537	22.1
45	07/03/2015	15:56:09	5537	22.1	5537	22.1
46	07/03/2015	15:56:10	5537	22.1	5537	22.1
47	07/03/2015	15:56:11	5537	22.1	5537	22.1
48	07/03/2015	15:56:12	5537	22.1	5537	22.1
49	07/03/2015	15:56:13	5537	22.1	5537	22.1
50	07/03/2015	15:56:14	5537	22.1	5537	22.1
51	07/03/2015	15:56:15	5537	22.1	5537	22.1
52	07/03/2015	15:56:16	5537	22.1	5537	22.1
53	07/03/2015	15:56:17	5537	22.1	5537	22.1
54	07/03/2015	15:56:18	5537	22.1	5537	22.1
55	07/03/2015	15:56:19	5537	22.1	5537	22.1
56	07/03/2015	15:56:20	5537	22.1	5537	22.1
57	07/03/2015	15:56:21	5537	22.1	5537	22.1
58	07/03/2015	15:56:22	5537	22.1	5537	22.1
