Trial,Date,Session,Level,originalFile,Condition,Left,Right
4,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
5,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
6,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
7,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
8,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
9,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
10,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
11,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
12,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
13,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
14,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
15,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
16,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
17,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
18,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
19,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
20,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
21,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
22,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
23,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
24,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
25,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
26,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
27,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
28,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
29,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
30,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
31,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
32,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
33,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,10.0
34,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
35,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
36,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
37,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
38,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
39,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
40,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
41,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
42,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
43,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
44,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
45,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
46,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
47,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
48,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
49,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
50,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
51,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
52,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
53,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
54,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
55,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
56,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
57,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
58,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
59,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
60,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
61,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
62,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
63,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
64,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
65,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
66,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
67,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
68,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
69,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
70,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
71,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
72,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.5
73,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
74,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
75,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
76,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
77,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
78,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
79,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
80,2016-10-10,PM,L15_700_Robin,10_10_2016 level15_700_Robin 16_5 RCool04,Right,37.0,8.2
