Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,Mask,LeftTemperature,RightTemperature,fNum,method,sessionDate,rxnTime,vowel,vowel_level,SNR,meanTemp,treatment
1,0,701,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,4.1567,a,66.0,-4.0,37.0,False
3,0,626,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.5692,a,66.0,-4.0,37.0,False
4,0,651,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.4856,i,66.0,-4.0,37.0,False
5,0,601,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.3703,a,66.0,-4.0,37.0,False
6,1,751,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.3241,a,66.0,-4.0,37.0,False
10,1,526,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.4276,i,66.0,-4.0,37.0,False
12,1,576,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.3848,i,66.0,-4.0,37.0,False
13,0,726,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.147,i,66.0,-4.0,37.0,False
14,0,551,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.5712,i,66.0,-4.0,37.0,False
16,0,501,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.4452,i,66.0,-4.0,37.0,False
17,1,701,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7919,a,66.0,-4.0,37.0,False
18,0,576,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.5223,a,66.0,-4.0,37.0,False
19,0,501,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9896,i,66.0,-4.0,37.0,False
20,1,626,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8352,a,66.0,-4.0,37.0,False
21,0,726,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.6037,a,66.0,-4.0,37.0,False
24,0,751,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7495,i,66.0,-4.0,37.0,False
25,0,676,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.6483,a,66.0,-4.0,37.0,False
26,1,651,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.6731,i,66.0,-4.0,37.0,False
27,0,551,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0796,i,66.0,-4.0,37.0,False
29,0,601,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0319,i,66.0,-4.0,37.0,False
30,0,751,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0467,a,66.0,-4.0,37.0,False
31,0,701,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9679,a,66.0,-4.0,37.0,False
32,1,726,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.5743,i,66.0,-4.0,37.0,False
33,0,601,-6.0,200,1,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.2769,a,66.0,-4.0,37.0,False
35,0,551,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8347,a,66.0,-4.0,37.0,False
37,0,501,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9838,i,66.0,-4.0,37.0,False
38,0,576,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9856,a,66.0,-4.0,37.0,False
39,0,626,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.5726,i,66.0,-4.0,37.0,False
40,1,676,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.4426,a,66.0,-4.0,37.0,False
41,0,651,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.5999,i,66.0,-4.0,37.0,False
42,0,676,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9582,a,66.0,-4.0,37.0,False
43,0,601,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.2046,a,66.0,-4.0,37.0,False
44,0,576,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0438,a,66.0,-4.0,37.0,False
45,1,551,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.7224,i,66.0,-4.0,37.0,False
46,0,701,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.3617,i,66.0,-4.0,37.0,False
48,0,726,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.572,i,66.0,-4.0,37.0,False
49,1,651,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.894,a,66.0,-4.0,37.0,False
50,1,526,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,3.6199,i,66.0,-4.0,37.0,False
51,0,626,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9336,i,66.0,-4.0,37.0,False
53,0,751,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.364,a,66.0,-4.0,37.0,False
54,0,651,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7331,i,66.0,-4.0,37.0,False
55,0,501,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9541,i,66.0,-4.0,37.0,False
56,0,626,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.2268,i,66.0,-4.0,37.0,False
58,0,601,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.1924,a,66.0,-4.0,37.0,False
59,0,526,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7425,i,66.0,-4.0,37.0,False
60,0,551,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.013,a,66.0,-4.0,37.0,False
61,0,701,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7051,a,66.0,-4.0,37.0,False
62,0,751,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0251,a,66.0,-4.0,37.0,False
63,0,676,-6.0,200,1,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7189,a,66.0,-4.0,37.0,False
65,0,576,-6.0,200,1,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.646,a,66.0,-4.0,37.0,False
67,0,576,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0442,i,66.0,-4.0,37.0,False
69,0,726,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8062,i,66.0,-4.0,37.0,False
70,0,526,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.3577,a,66.0,-4.0,37.0,False
71,0,551,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0632,a,66.0,-4.0,37.0,False
72,0,751,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.5272,a,66.0,-4.0,37.0,False
74,1,651,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.4418,a,66.0,-4.0,37.0,False
75,0,601,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.8479,i,66.0,-4.0,37.0,False
76,0,626,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.5783,i,66.0,-4.0,37.0,False
77,0,676,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8781,i,66.0,-4.0,37.0,False
79,1,501,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.6736,i,66.0,-4.0,37.0,False
80,0,501,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.0571,i,66.0,-4.0,37.0,False
83,1,526,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9674,a,66.0,-4.0,37.0,False
84,0,601,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.999,i,66.0,-4.0,37.0,False
86,0,676,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.1322,i,66.0,-4.0,37.0,False
88,0,626,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.055,a,66.0,-4.0,37.0,False
89,0,551,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.5873,i,66.0,-4.0,37.0,False
90,1,576,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.5787,a,66.0,-4.0,37.0,False
91,1,701,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.4734,a,66.0,-4.0,37.0,False
92,1,726,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,3.1932,a,66.0,-4.0,37.0,False
93,0,751,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9691,i,66.0,-4.0,37.0,False
94,0,551,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8179,a,66.0,-4.0,37.0,False
95,0,701,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7081,i,66.0,-4.0,37.0,False
96,0,676,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.762,a,66.0,-4.0,37.0,False
97,0,601,-6.0,200,1,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.6354,a,66.0,-4.0,37.0,False
99,0,576,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8519,i,66.0,-4.0,37.0,False
100,0,726,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.6429,i,66.0,-4.0,37.0,False
101,1,626,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9263,a,66.0,-4.0,37.0,False
102,1,501,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,4.4688,a,66.0,-4.0,37.0,False
103,0,651,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.2522,i,66.0,-4.0,37.0,False
105,0,526,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.1757,i,66.0,-4.0,37.0,False
107,0,726,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0672,a,66.0,-4.0,37.0,False
108,0,751,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.2117,i,66.0,-4.0,37.0,False
110,1,501,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.8098,i,66.0,-4.0,37.0,False
111,0,601,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.9995,a,66.0,-4.0,37.0,False
112,0,626,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.1544,a,66.0,-4.0,37.0,False
113,0,551,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.2769,a,66.0,-4.0,37.0,False
114,0,651,-6.0,200,1,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.4058,a,66.0,-4.0,37.0,False
116,0,676,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9679,a,66.0,-4.0,37.0,False
117,0,701,-6.0,200,0,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.9345,a,66.0,-4.0,37.0,False
118,0,576,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.8128,i,66.0,-4.0,37.0,False
119,0,526,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7613,i,66.0,-4.0,37.0,False
120,0,576,-6.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.7997,i,66.0,-4.0,37.0,False
122,1,651,-6.0,200,0,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.8411,i,66.0,-4.0,37.0,False
124,1,601,-6.0,200,1,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,0.6502,i,66.0,-4.0,37.0,False
125,0,751,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.8097,a,66.0,-4.0,37.0,False
127,0,676,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.0436,i,66.0,-4.0,37.0,False
128,0,551,-6.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.1257,i,66.0,-4.0,37.0,False
129,0,726,-6.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-05-02 09:43:00,1.1607,a,66.0,-4.0,37.0,False
130,1,701,-6.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-05-02 09:43:00,2.1235,a,66.0,-4.0,37.0,False
1,0,676,-12.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-06-03 08:21:00,6.4097,a,72.0,2.0,37.0,False
4,0,701,-12.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-06-03 08:21:00,1.2855,a,72.0,2.0,37.0,False
5,0,551,-12.0,200,1,0,Restricted,37.0,37.0,1311,cool,2014-06-03 08:21:00,1.3006,a,72.0,2.0,37.0,False
7,0,501,-12.0,200,1,1,Restricted,37.0,37.0,1311,cool,2014-06-03 08:21:00,0.9447,i,72.0,2.0,37.0,False
8,0,526,-12.0,200,0,0,Clean,37.0,37.0,1311,cool,2014-06-03 08:21:00,1.1466,i,72.0,2.0,37.0,False
11,0,601,-12.0,200,0,1,Clean,37.0,37.0,1311,cool,2014-06-03 08:21:00,0.7632,a,72.0,2.0,37.0,False
