Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
1,0,901,-3.3,200,8,0,False,Restricted,2021-03-10 17:56:00,1706,opto,1.071,e,63.3,-6.700000000000003
5,0,1001,0.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.751,u,60.0,-10.0
6,0,801,-10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.698,e,70.0,0.0
7,0,701,10.0,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.615,u,50.0,-20.0
8,0,601,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.991,e,53.3,-16.700000000000003
9,0,601,3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.549,u,56.7,-13.299999999999997
10,0,501,10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.69,e,50.0,-20.0
11,0,1001,0.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.828,u,60.0,-10.0
12,0,701,3.3,200,8,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.613,e,56.7,-13.299999999999997
17,0,801,-6.7,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.66,u,66.7,-3.299999999999997
18,0,501,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.736,e,53.3,-16.700000000000003
19,0,801,-10.0,200,2,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.52,u,70.0,0.0
21,0,601,-6.7,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.761,u,66.7,-3.299999999999997
22,0,901,10.0,200,2,0,True,Restricted,2021-03-10 17:56:00,1706,opto,0.762,u,50.0,-20.0
24,0,701,-3.3,200,8,0,True,Restricted,2021-03-10 17:56:00,1706,opto,0.972,e,63.3,-6.700000000000003
26,0,501,-10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.735,e,70.0,0.0
27,0,701,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,1.061,e,53.3,-16.700000000000003
28,0,901,3.3,200,2,0,True,Restricted,2021-03-10 17:56:00,1706,opto,0.654,u,56.7,-13.299999999999997
