Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Clean,False,-7.0,154,106,68.83116883116884,0
Clean,False,-4.0,154,122,79.22077922077922,0
Clean,False,2.0,154,132,85.71428571428571,0
Clean,True,-7.0,154,117,75.97402597402598,0
Clean,True,-4.0,154,143,92.85714285714286,0
Clean,True,2.0,154,121,78.57142857142857,0
Restricted,False,-7.0,154,108,70.12987012987013,0
Restricted,False,-4.0,154,118,76.62337662337663,0
Restricted,False,2.0,154,108,70.12987012987013,0
Restricted,True,-7.0,154,89,57.7922077922078,0
Restricted,True,-4.0,154,88,57.14285714285714,0
Restricted,True,2.0,154,91,59.09090909090909,0
Clean,False,-7.0,154,106,68.83116883116884,1
Clean,False,-4.0,154,116,75.32467532467533,1
Clean,False,2.0,154,125,81.16883116883116,1
Clean,True,-7.0,154,127,82.46753246753246,1
Clean,True,-4.0,154,135,87.66233766233766,1
Clean,True,2.0,154,121,78.57142857142857,1
Restricted,False,-7.0,154,104,67.53246753246754,1
Restricted,False,-4.0,154,104,67.53246753246754,1
Restricted,False,2.0,154,124,80.51948051948052,1
Restricted,True,-7.0,154,91,59.09090909090909,1
Restricted,True,-4.0,154,81,52.5974025974026,1
Restricted,True,2.0,154,80,51.94805194805194,1
Clean,False,-7.0,154,115,74.67532467532467,2
Clean,False,-4.0,154,118,76.62337662337663,2
Clean,False,2.0,154,121,78.57142857142857,2
Clean,True,-7.0,154,119,77.27272727272727,2
Clean,True,-4.0,154,136,88.31168831168831,2
Clean,True,2.0,154,123,79.87012987012987,2
Restricted,False,-7.0,154,102,66.23376623376623,2
Restricted,False,-4.0,154,103,66.88311688311688,2
Restricted,False,2.0,154,101,65.5844155844156,2
Restricted,True,-7.0,154,79,51.298701298701296,2
Restricted,True,-4.0,154,94,61.038961038961034,2
Restricted,True,2.0,154,83,53.896103896103895,2
Clean,False,-7.0,154,120,77.92207792207793,3
Clean,False,-4.0,154,123,79.87012987012987,3
Clean,False,2.0,154,129,83.76623376623377,3
Clean,True,-7.0,154,115,74.67532467532467,3
Clean,True,-4.0,154,142,92.20779220779221,3
Clean,True,2.0,154,121,78.57142857142857,3
Restricted,False,-7.0,154,102,66.23376623376623,3
Restricted,False,-4.0,154,91,59.09090909090909,3
Restricted,False,2.0,154,108,70.12987012987013,3
Restricted,True,-7.0,154,85,55.1948051948052,3
Restricted,True,-4.0,154,91,59.09090909090909,3
Restricted,True,2.0,154,92,59.74025974025974,3
Clean,False,-7.0,154,109,70.77922077922078,4
Clean,False,-4.0,154,118,76.62337662337663,4
Clean,False,2.0,154,131,85.06493506493507,4
Clean,True,-7.0,154,123,79.87012987012987,4
Clean,True,-4.0,154,140,90.9090909090909,4
Clean,True,2.0,154,130,84.4155844155844,4
Restricted,False,-7.0,154,106,68.83116883116884,4
Restricted,False,-4.0,154,104,67.53246753246754,4
Restricted,False,2.0,154,116,75.32467532467533,4
Restricted,True,-7.0,154,93,60.3896103896104,4
Restricted,True,-4.0,154,97,62.98701298701299,4
Restricted,True,2.0,154,91,59.09090909090909,4
Clean,False,-7.0,154,114,74.02597402597402,5
Clean,False,-4.0,154,125,81.16883116883116,5
Clean,False,2.0,154,127,82.46753246753246,5
Clean,True,-7.0,154,124,80.51948051948052,5
Clean,True,-4.0,154,137,88.96103896103897,5
Clean,True,2.0,154,129,83.76623376623377,5
Restricted,False,-7.0,154,98,63.63636363636363,5
Restricted,False,-4.0,154,102,66.23376623376623,5
Restricted,False,2.0,154,110,71.42857142857143,5
Restricted,True,-7.0,154,88,57.14285714285714,5
Restricted,True,-4.0,154,88,57.14285714285714,5
Restricted,True,2.0,154,75,48.701298701298704,5
Clean,False,-7.0,154,117,75.97402597402598,6
Clean,False,-4.0,154,123,79.87012987012987,6
Clean,False,2.0,154,115,74.67532467532467,6
Clean,True,-7.0,154,118,76.62337662337663,6
Clean,True,-4.0,154,141,91.55844155844156,6
Clean,True,2.0,154,121,78.57142857142857,6
Restricted,False,-7.0,154,105,68.18181818181817,6
Restricted,False,-4.0,154,104,67.53246753246754,6
Restricted,False,2.0,154,111,72.07792207792207,6
Restricted,True,-7.0,154,87,56.493506493506494,6
Restricted,True,-4.0,154,91,59.09090909090909,6
Restricted,True,2.0,154,96,62.33766233766234,6
Clean,False,-7.0,154,117,75.97402597402598,7
Clean,False,-4.0,154,115,74.67532467532467,7
Clean,False,2.0,154,127,82.46753246753246,7
Clean,True,-7.0,154,121,78.57142857142857,7
Clean,True,-4.0,154,139,90.25974025974025,7
Clean,True,2.0,154,122,79.22077922077922,7
Restricted,False,-7.0,154,101,65.5844155844156,7
Restricted,False,-4.0,154,98,63.63636363636363,7
Restricted,False,2.0,154,109,70.77922077922078,7
Restricted,True,-7.0,154,100,64.93506493506493,7
Restricted,True,-4.0,154,89,57.7922077922078,7
Restricted,True,2.0,154,86,55.84415584415584,7
Clean,False,-7.0,154,103,66.88311688311688,8
Clean,False,-4.0,154,131,85.06493506493507,8
Clean,False,2.0,154,123,79.87012987012987,8
Clean,True,-7.0,154,115,74.67532467532467,8
Clean,True,-4.0,154,143,92.85714285714286,8
Clean,True,2.0,154,131,85.06493506493507,8
Restricted,False,-7.0,154,98,63.63636363636363,8
Restricted,False,-4.0,154,101,65.5844155844156,8
Restricted,False,2.0,154,114,74.02597402597402,8
Restricted,True,-7.0,154,91,59.09090909090909,8
Restricted,True,-4.0,154,93,60.3896103896104,8
Restricted,True,2.0,154,81,52.5974025974026,8
Clean,False,-7.0,154,106,68.83116883116884,9
Clean,False,-4.0,154,125,81.16883116883116,9
Clean,False,2.0,154,126,81.81818181818183,9
Clean,True,-7.0,154,118,76.62337662337663,9
Clean,True,-4.0,154,133,86.36363636363636,9
Clean,True,2.0,154,131,85.06493506493507,9
Restricted,False,-7.0,154,109,70.77922077922078,9
Restricted,False,-4.0,154,118,76.62337662337663,9
Restricted,False,2.0,154,118,76.62337662337663,9
Restricted,True,-7.0,154,78,50.649350649350644,9
Restricted,True,-4.0,154,85,55.1948051948052,9
Restricted,True,2.0,154,94,61.038961038961034,9
Clean,False,-7.0,154,114,74.02597402597402,10
Clean,False,-4.0,154,122,79.22077922077922,10
Clean,False,2.0,154,127,82.46753246753246,10
Clean,True,-7.0,154,135,87.66233766233766,10
Clean,True,-4.0,154,142,92.20779220779221,10
Clean,True,2.0,154,123,79.87012987012987,10
Restricted,False,-7.0,154,96,62.33766233766234,10
Restricted,False,-4.0,154,114,74.02597402597402,10
Restricted,False,2.0,154,120,77.92207792207793,10
Restricted,True,-7.0,154,83,53.896103896103895,10
Restricted,True,-4.0,154,83,53.896103896103895,10
Restricted,True,2.0,154,84,54.54545454545454,10
Clean,False,-7.0,154,111,72.07792207792207,11
Clean,False,-4.0,154,131,85.06493506493507,11
Clean,False,2.0,154,131,85.06493506493507,11
Clean,True,-7.0,154,110,71.42857142857143,11
Clean,True,-4.0,154,141,91.55844155844156,11
Clean,True,2.0,154,118,76.62337662337663,11
Restricted,False,-7.0,154,109,70.77922077922078,11
Restricted,False,-4.0,154,93,60.3896103896104,11
Restricted,False,2.0,154,116,75.32467532467533,11
Restricted,True,-7.0,154,79,51.298701298701296,11
Restricted,True,-4.0,154,99,64.28571428571429,11
