Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,Mask,LeftTemperature,RightTemperature,fNum,method,sessionDate,rxnTime,vowel,vowel_level,SNR,meanTemp,treatment
59,0,701,17.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.2535,e,42.5,-27.5,37.0,False
69,0,701,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.5331,e,42.5,-27.5,37.0,False
17,0,701,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.1575,e,42.5,-27.5,37.0,False
69,0,701,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.5331,e,42.5,-27.5,37.0,False
67,0,701,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.2069,e,42.5,-27.5,37.0,False
93,0,951,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.4926,e,42.5,-27.5,37.0,False
98,0,701,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.4559,e,42.5,-27.5,37.0,False
43,0,901,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.5139,e,42.5,-27.5,37.0,False
68,0,751,17.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.2265,e,42.5,-27.5,37.0,False
24,1,901,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,3.5286,u,42.5,-27.5,37.0,False
91,0,551,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.3852,u,42.5,-27.5,37.0,False
4,0,701,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,0.614,u,42.5,-27.5,37.0,False
42,0,751,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.5928,u,42.5,-27.5,37.0,False
45,0,751,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.705,u,42.5,-27.5,37.0,False
42,0,751,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.5928,u,42.5,-27.5,37.0,False
48,1,1001,17.5,200,1,0,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,5.3107,u,42.5,-27.5,37.0,False
48,1,1001,17.5,200,1,0,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,5.3107,u,42.5,-27.5,37.0,False
45,0,751,17.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.705,u,42.5,-27.5,37.0,False
92,0,1001,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0578,e,45.5,-24.5,37.0,False
92,0,701,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.631,e,45.5,-24.5,37.0,False
43,0,851,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0953,e,45.5,-24.5,37.0,False
92,0,1001,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0578,e,45.5,-24.5,37.0,False
43,0,851,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0953,e,45.5,-24.5,37.0,False
8,1,751,14.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.7745,e,45.5,-24.5,37.0,False
78,0,701,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,0.9738,e,45.5,-24.5,37.0,False
42,0,651,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.3166,e,45.5,-24.5,37.0,False
43,0,851,14.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.0953,e,45.5,-24.5,37.0,False
18,0,1001,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,0.8264,u,45.5,-24.5,37.0,False
67,0,601,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.1648,u,45.5,-24.5,37.0,False
30,0,501,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.0674,u,45.5,-24.5,37.0,False
18,0,1001,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,0.8264,u,45.5,-24.5,37.0,False
84,0,651,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.1429,u,45.5,-24.5,37.0,False
18,0,1001,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,0.8264,u,45.5,-24.5,37.0,False
17,0,551,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.2044,u,45.5,-24.5,37.0,False
74,0,551,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.3345,u,45.5,-24.5,37.0,False
28,0,901,14.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,0.902,u,45.5,-24.5,37.0,False
33,0,951,11.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.6727,e,48.5,-21.5,37.0,False
