Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,Mask,LeftTemperature,RightTemperature,fNum,method,sessionDate,rxnTime,vowel,vowel_level,SNR,meanTemp,treatment
1,0,851,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3994,e,51.5,-18.5,37.0,False
53,0,951,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.5371,e,51.5,-18.5,37.0,False
18,0,601,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.0193,e,51.5,-18.5,37.0,False
71,0,801,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.5921,e,51.5,-18.5,37.0,False
65,0,501,8.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.7705,e,51.5,-18.5,37.0,False
24,0,601,8.5,200,0,0,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.387,e,51.5,-18.5,37.0,False
66,0,751,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.9114,e,51.5,-18.5,37.0,False
96,0,951,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.188,e,51.5,-18.5,37.0,False
1,0,851,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3994,e,51.5,-18.5,37.0,False
74,1,551,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,4.867,e,51.5,-18.5,37.0,False
1,0,851,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.3994,e,51.5,-18.5,37.0,False
74,1,551,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,4.867,e,51.5,-18.5,37.0,False
13,0,851,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,0.7748,e,51.5,-18.5,37.0,False
65,0,801,8.5,200,1,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.2746,e,51.5,-18.5,37.0,False
88,0,601,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.0878,u,51.5,-18.5,37.0,False
31,0,801,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,0.957,u,51.5,-18.5,37.0,False
11,0,851,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.694,u,51.5,-18.5,37.0,False
32,0,801,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,0.5822,u,51.5,-18.5,37.0,False
11,0,851,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-25 09:04:00,1.694,u,51.5,-18.5,37.0,False
63,0,751,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.177,u,51.5,-18.5,37.0,False
63,0,751,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-29 08:29:00,1.177,u,51.5,-18.5,37.0,False
104,0,701,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.1396,u,51.5,-18.5,37.0,False
45,0,901,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.3534,u,51.5,-18.5,37.0,False
45,0,901,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.3534,u,51.5,-18.5,37.0,False
83,0,601,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-01-27 08:22:00,1.6388,u,51.5,-18.5,37.0,False
88,0,601,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-24 08:31:00,1.0878,u,51.5,-18.5,37.0,False
45,0,901,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-26 08:53:00,1.3534,u,51.5,-18.5,37.0,False
78,0,501,8.5,200,0,1,Clean,37.0,37.0,1509,cool,2016-02-23 08:07:00,1.5335,u,51.5,-18.5,37.0,False
