Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
38,0,901,10.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.722,e,50.0,-20.0
100,0,1001,10.0,200,8,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.783,e,50.0,-20.0
102,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.047,e,50.0,-20.0
38,0,901,10.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.722,e,50.0,-20.0
102,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.047,e,50.0,-20.0
102,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.047,e,50.0,-20.0
29,0,601,10.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.15,e,50.0,-20.0
102,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.047,e,50.0,-20.0
30,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.66,e,50.0,-20.0
38,0,901,10.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.722,e,50.0,-20.0
26,0,501,10.0,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.954,e,50.0,-20.0
30,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.66,e,50.0,-20.0
29,0,601,10.0,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.525,e,50.0,-20.0
139,0,901,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.674,u,50.0,-20.0
37,0,1001,10.0,200,2,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.606,u,50.0,-20.0
75,0,501,10.0,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.863,u,50.0,-20.0
44,0,701,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.737,u,50.0,-20.0
139,0,901,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.674,u,50.0,-20.0
93,0,601,10.0,200,2,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.68,u,50.0,-20.0
66,0,601,10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.67,u,50.0,-20.0
47,0,701,10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.653,u,50.0,-20.0
125,0,501,10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.914,u,50.0,-20.0
26,0,901,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.934,u,50.0,-20.0
58,0,501,10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.689,u,50.0,-20.0
82,0,1001,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.952,u,50.0,-20.0
37,0,1001,10.0,200,2,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.606,u,50.0,-20.0
8,0,601,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.991,e,53.3,-16.700000000000003
68,0,1001,6.7,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.516,e,53.3,-16.700000000000003
18,0,501,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.736,e,53.3,-16.700000000000003
193,0,801,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.755,e,53.3,-16.700000000000003
58,0,901,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.613,e,53.3,-16.700000000000003
8,0,601,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.991,e,53.3,-16.700000000000003
8,0,601,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.991,e,53.3,-16.700000000000003
128,0,701,6.7,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.694,e,53.3,-16.700000000000003
18,0,501,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.736,e,53.3,-16.700000000000003
58,0,901,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.613,e,53.3,-16.700000000000003
193,0,801,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.755,e,53.3,-16.700000000000003
27,0,701,6.7,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,1.061,e,53.3,-16.700000000000003
91,0,801,6.7,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.597,e,53.3,-16.700000000000003
190,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.891,u,53.3,-16.700000000000003
33,0,601,6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.792,u,53.3,-16.700000000000003
33,0,601,6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.792,u,53.3,-16.700000000000003
77,0,601,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.792,u,53.3,-16.700000000000003
77,0,601,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.792,u,53.3,-16.700000000000003
103,0,901,6.7,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.816,u,53.3,-16.700000000000003
190,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.891,u,53.3,-16.700000000000003
75,0,701,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.629,u,53.3,-16.700000000000003
202,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.814,u,53.3,-16.700000000000003
51,0,601,6.7,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.837,u,53.3,-16.700000000000003
202,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.814,u,53.3,-16.700000000000003
75,0,701,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.629,u,53.3,-16.700000000000003
202,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.814,u,53.3,-16.700000000000003
3,0,601,3.3,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.715,e,56.7,-13.299999999999995
18,0,601,3.3,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,2.186,e,56.7,-13.299999999999995
3,0,601,3.3,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.715,e,56.7,-13.299999999999995
70,0,901,3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.672,e,56.7,-13.299999999999995
53,0,701,3.3,200,8,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.64,e,56.7,-13.299999999999995
18,0,501,3.3,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.767,e,56.7,-13.299999999999995
221,0,901,3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.807,e,56.7,-13.299999999999995
89,0,801,3.3,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.801,e,56.7,-13.299999999999995
70,0,901,3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.672,e,56.7,-13.299999999999995
44,0,601,3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.872,e,56.7,-13.299999999999995
3,0,601,3.3,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.715,e,56.7,-13.299999999999995
89,0,501,3.3,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.846,e,56.7,-13.299999999999995
179,0,801,3.3,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,1.065,e,56.7,-13.299999999999995
144,0,601,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.027,u,56.7,-13.299999999999995
200,0,501,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.724,u,56.7,-13.299999999999995
172,0,801,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.813,u,56.7,-13.299999999999995
108,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.096,u,56.7,-13.299999999999995
101,0,601,3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.66,u,56.7,-13.299999999999995
108,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.096,u,56.7,-13.299999999999995
108,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.096,u,56.7,-13.299999999999995
96,0,501,3.3,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.726,u,56.7,-13.299999999999995
15,0,801,3.3,200,2,0,False,Restricted,2021-03-11 17:40:00,1706,opto,0.813,u,56.7,-13.299999999999995
23,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.86,u,56.7,-13.299999999999995
39,0,601,3.3,200,2,0,False,Restricted,2021-03-11 17:40:00,1706,opto,0.743,u,56.7,-13.299999999999995
57,0,701,3.3,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.637,u,56.7,-13.299999999999995
63,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.906,u,56.7,-13.299999999999995
49,0,801,0.0,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.797,e,60.0,-10.0
