Mask,treatment,rnded_SNR,nTrials,nCorrect,pCorrect,iteration
Clean,False,-7.0,4,2,50.0,0
Clean,False,-4.0,4,4,100.0,0
Clean,False,2.0,4,3,75.0,0
Clean,True,-7.0,4,4,100.0,0
Clean,True,-4.0,4,3,75.0,0
Clean,True,2.0,4,2,50.0,0
Restricted,False,-7.0,4,1,25.0,0
Restricted,False,-4.0,4,2,50.0,0
Restricted,False,-1.0,4,3,75.0,0
Restricted,False,2.0,4,3,75.0,0
Restricted,True,-7.0,4,2,50.0,0
Restricted,True,-4.0,4,2,50.0,0
Restricted,True,-1.0,4,3,75.0,0
Restricted,True,2.0,4,3,75.0,0
Clean,False,-7.0,4,4,100.0,1
Clean,False,-4.0,4,2,50.0,1
Clean,False,2.0,4,4,100.0,1
Clean,True,-7.0,4,3,75.0,1
Clean,True,-4.0,4,4,100.0,1
Clean,True,2.0,4,2,50.0,1
Restricted,False,-7.0,4,4,100.0,1
Restricted,False,-4.0,4,3,75.0,1
Restricted,False,-1.0,4,3,75.0,1
Restricted,False,2.0,4,4,100.0,1
Restricted,True,-7.0,4,3,75.0,1
Restricted,True,-4.0,4,4,100.0,1
Restricted,True,-1.0,4,3,75.0,1
Restricted,True,2.0,4,1,25.0,1
Clean,False,-7.0,4,3,75.0,2
Clean,False,-4.0,4,4,100.0,2
Clean,False,2.0,4,4,100.0,2
Clean,True,-7.0,4,3,75.0,2
Clean,True,-4.0,4,3,75.0,2
Clean,True,2.0,4,4,100.0,2
Restricted,False,-7.0,4,3,75.0,2
Restricted,False,-4.0,4,1,25.0,2
Restricted,False,-1.0,4,3,75.0,2
Restricted,False,2.0,4,3,75.0,2
Restricted,True,-7.0,4,2,50.0,2
Restricted,True,-4.0,4,3,75.0,2
Restricted,True,-1.0,4,2,50.0,2
Restricted,True,2.0,4,2,50.0,2
Clean,False,-7.0,4,4,100.0,3
Clean,False,-4.0,4,2,50.0,3
Clean,False,2.0,4,3,75.0,3
Clean,True,-7.0,4,3,75.0,3
Clean,True,-4.0,4,3,75.0,3
Clean,True,2.0,4,4,100.0,3
Restricted,False,-7.0,4,4,100.0,3
Restricted,False,-4.0,4,4,100.0,3
Restricted,False,-1.0,4,3,75.0,3
Restricted,False,2.0,4,4,100.0,3
Restricted,True,-7.0,4,1,25.0,3
Restricted,True,-4.0,4,3,75.0,3
Restricted,True,-1.0,4,2,50.0,3
Restricted,True,2.0,4,2,50.0,3
Clean,False,-7.0,4,2,50.0,4
Clean,False,-4.0,4,3,75.0,4
Clean,False,2.0,4,4,100.0,4
Clean,True,-7.0,4,3,75.0,4
Clean,True,-4.0,4,3,75.0,4
Clean,True,2.0,4,3,75.0,4
Restricted,False,-7.0,4,3,75.0,4
Restricted,False,-4.0,4,3,75.0,4
Restricted,False,-1.0,4,3,75.0,4
