Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Clean,False,18,15,83.33333333333334,0
Clean,True,18,17,94.44444444444444,0
Restricted,False,18,15,83.33333333333334,0
Restricted,True,18,9,50.0,0
Clean,False,18,15,83.33333333333334,1
Clean,True,18,14,77.77777777777779,1
Restricted,False,18,13,72.22222222222221,1
Restricted,True,18,9,50.0,1
Clean,False,18,14,77.77777777777779,2
Clean,True,18,16,88.88888888888889,2
Restricted,False,18,14,77.77777777777779,2
Restricted,True,18,10,55.55555555555556,2
Clean,False,18,15,83.33333333333334,3
Clean,True,18,15,83.33333333333334,3
Restricted,False,18,15,83.33333333333334,3
Restricted,True,18,8,44.44444444444444,3
Clean,False,18,16,88.88888888888889,4
Clean,True,18,13,72.22222222222221,4
Restricted,False,18,14,77.77777777777779,4
Restricted,True,18,10,55.55555555555556,4
Clean,False,18,15,83.33333333333334,5
Clean,True,18,15,83.33333333333334,5
Restricted,False,18,15,83.33333333333334,5
Restricted,True,18,9,50.0,5
Clean,False,18,12,66.66666666666666,6
Clean,True,18,16,88.88888888888889,6
Restricted,False,18,14,77.77777777777779,6
Restricted,True,18,10,55.55555555555556,6
Clean,False,18,13,72.22222222222221,7
Clean,True,18,16,88.88888888888889,7
Restricted,False,18,12,66.66666666666666,7
Restricted,True,18,11,61.111111111111114,7
Clean,False,18,15,83.33333333333334,8
Clean,True,18,13,72.22222222222221,8
Restricted,False,18,13,72.22222222222221,8
Restricted,True,18,10,55.55555555555556,8
Clean,False,18,15,83.33333333333334,9
Clean,True,18,14,77.77777777777779,9
Restricted,False,18,14,77.77777777777779,9
Restricted,True,18,10,55.55555555555556,9
Clean,False,18,15,83.33333333333334,10
Clean,True,18,14,77.77777777777779,10
Restricted,False,18,11,61.111111111111114,10
Restricted,True,18,9,50.0,10
Clean,False,18,14,77.77777777777779,11
Clean,True,18,13,72.22222222222221,11
Restricted,False,18,14,77.77777777777779,11
Restricted,True,18,12,66.66666666666666,11
Clean,False,18,14,77.77777777777779,12
Clean,True,18,14,77.77777777777779,12
Restricted,False,18,15,83.33333333333334,12
Restricted,True,18,9,50.0,12
Clean,False,18,17,94.44444444444444,13
Clean,True,18,15,83.33333333333334,13
Restricted,False,18,13,72.22222222222221,13
Restricted,True,18,8,44.44444444444444,13
Clean,False,18,16,88.88888888888889,14
Clean,True,18,16,88.88888888888889,14
Restricted,False,18,15,83.33333333333334,14
Restricted,True,18,8,44.44444444444444,14
Clean,False,18,15,83.33333333333334,15
Clean,True,18,14,77.77777777777779,15
Restricted,False,18,14,77.77777777777779,15
Restricted,True,18,9,50.0,15
Clean,False,18,15,83.33333333333334,16
Clean,True,18,15,83.33333333333334,16
Restricted,False,18,15,83.33333333333334,16
Restricted,True,18,12,66.66666666666666,16
Clean,False,18,15,83.33333333333334,17
Clean,True,18,16,88.88888888888889,17
Restricted,False,18,14,77.77777777777779,17
Restricted,True,18,12,66.66666666666666,17
Clean,False,18,16,88.88888888888889,18
Clean,True,18,15,83.33333333333334,18
Restricted,False,18,11,61.111111111111114,18
Restricted,True,18,8,44.44444444444444,18
Clean,False,18,16,88.88888888888889,19
Clean,True,18,16,88.88888888888889,19
Restricted,False,18,13,72.22222222222221,19
Restricted,True,18,8,44.44444444444444,19
Clean,False,18,15,83.33333333333334,20
Clean,True,18,14,77.77777777777779,20
Restricted,False,18,12,66.66666666666666,20
Restricted,True,18,9,50.0,20
Clean,False,18,16,88.88888888888889,21
Clean,True,18,16,88.88888888888889,21
Restricted,False,18,12,66.66666666666666,21
Restricted,True,18,9,50.0,21
Clean,False,18,16,88.88888888888889,22
Clean,True,18,17,94.44444444444444,22
Restricted,False,18,14,77.77777777777779,22
Restricted,True,18,6,33.33333333333333,22
Clean,False,18,15,83.33333333333334,23
Clean,True,18,16,88.88888888888889,23
Restricted,False,18,15,83.33333333333334,23
Restricted,True,18,10,55.55555555555556,23
Clean,False,18,16,88.88888888888889,24
Clean,True,18,15,83.33333333333334,24
Restricted,False,18,15,83.33333333333334,24
Restricted,True,18,11,61.111111111111114,24
Clean,False,18,17,94.44444444444444,25
Clean,True,18,15,83.33333333333334,25
Restricted,False,18,12,66.66666666666666,25
Restricted,True,18,7,38.88888888888889,25
Clean,False,18,16,88.88888888888889,26
Clean,True,18,16,88.88888888888889,26
Restricted,False,18,14,77.77777777777779,26
Restricted,True,18,8,44.44444444444444,26
Clean,False,18,15,83.33333333333334,27
Clean,True,18,14,77.77777777777779,27
Restricted,False,18,14,77.77777777777779,27
Restricted,True,18,10,55.55555555555556,27
Clean,False,18,14,77.77777777777779,28
Clean,True,18,14,77.77777777777779,28
Restricted,False,18,15,83.33333333333334,28
Restricted,True,18,10,55.55555555555556,28
Clean,False,18,16,88.88888888888889,29
Clean,True,18,12,66.66666666666666,29
Restricted,False,18,15,83.33333333333334,29
Restricted,True,18,9,50.0,29
Clean,False,18,16,88.88888888888889,30
Clean,True,18,15,83.33333333333334,30
Restricted,False,18,15,83.33333333333334,30
Restricted,True,18,9,50.0,30
Clean,False,18,17,94.44444444444444,31
Clean,True,18,16,88.88888888888889,31
Restricted,False,18,12,66.66666666666666,31
Restricted,True,18,9,50.0,31
Clean,False,18,16,88.88888888888889,32
Clean,True,18,15,83.33333333333334,32
Restricted,False,18,11,61.111111111111114,32
Restricted,True,18,8,44.44444444444444,32
Clean,False,18,15,83.33333333333334,33
Clean,True,18,14,77.77777777777779,33
Restricted,False,18,13,72.22222222222221,33
Restricted,True,18,11,61.111111111111114,33
Clean,False,18,18,100.0,34
Clean,True,18,15,83.33333333333334,34
Restricted,False,18,12,66.66666666666666,34
Restricted,True,18,9,50.0,34
Clean,False,18,16,88.88888888888889,35
Clean,True,18,16,88.88888888888889,35
Restricted,False,18,14,77.77777777777779,35
Restricted,True,18,11,61.111111111111114,35
Clean,False,18,16,88.88888888888889,36
Clean,True,18,13,72.22222222222221,36
Restricted,False,18,11,61.111111111111114,36
Restricted,True,18,6,33.33333333333333,36
Clean,False,18,15,83.33333333333334,37
Clean,True,18,13,72.22222222222221,37
Restricted,False,18,13,72.22222222222221,37
Restricted,True,18,10,55.55555555555556,37
Clean,False,18,15,83.33333333333334,38
Clean,True,18,15,83.33333333333334,38
Restricted,False,18,15,83.33333333333334,38
Restricted,True,18,10,55.55555555555556,38
Clean,False,18,13,72.22222222222221,39
Clean,True,18,16,88.88888888888889,39
Restricted,False,18,13,72.22222222222221,39
Restricted,True,18,8,44.44444444444444,39
Clean,False,18,13,72.22222222222221,40
Clean,True,18,13,72.22222222222221,40
Restricted,False,18,16,88.88888888888889,40
Restricted,True,18,10,55.55555555555556,40
Clean,False,18,17,94.44444444444444,41
Clean,True,18,14,77.77777777777779,41
Restricted,False,18,13,72.22222222222221,41
Restricted,True,18,11,61.111111111111114,41
Clean,False,18,13,72.22222222222221,42
Clean,True,18,15,83.33333333333334,42
Restricted,False,18,10,55.55555555555556,42
Restricted,True,18,13,72.22222222222221,42
Clean,False,18,16,88.88888888888889,43
Clean,True,18,15,83.33333333333334,43
