Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	5.6567	0	936	1551	2975	4263	751	-6.5	200	0	1	8.0668		
2	1	12.3696	0	936	1551	2975	4263	751	-6.5	200	0	0	13.6218	1	
3	0	18.3221	0	936	1551	2975	4263	501	-6.5	200	0	1	19.4060		
4	1	24.9422	0	936	1551	2975	4263	501	-6.5	200	0	0	27.1702	1	
5	0	32.5110	0	936	1551	2975	4263	601	-6.5	200	0	0	33.7686	1	
6	0	39.8302	1	437	2761	2975	4263	626	-6.5	200	1	0	42.1176		
7	1	46.7920	0	437	2761	2975	4263	626	-6.5	200	1	0	48.0130		
8	1	55.4642	1	437	2761	2975	4263	626	-6.5	200	1	1	57.4351	1	
9	0	61.2718	1	437	2761	2975	4263	526	-6.5	200	1	1	63.3277	1	
10	0	67.0972	0	437	2761	2975	4263	726	-6.5	200	1	0	68.5606		
11	1	75.1642	0	437	2761	2975	4263	726	-6.5	200	1	1	75.6166	1	
12	0	82.5885	0	936	1551	2975	4263	701	-6.5	200	0	0	83.2975	1	
13	0	88.5629	1	936	1551	2975	4263	551	-6.5	200	0	0	89.4603	1	
14	0	95.6733	0	437	2761	2975	4263	576	-6.5	200	1	0	97.7208		
15	1	103.2790	0	437	2761	2975	4263	576	-6.5	200	1	1	103.7913	1	
16	0	112.3641	0	437	2761	2975	4263	676	-6.5	200	1	0	113.3451		
17	1	117.7492	0	437	2761	2975	4263	676	-6.5	200	1	1	118.3551	1	
18	0	122.1720	1	437	2761	2975	4263	651	-6.5	200	1	0	123.6721		
19	1	133.3824	0	437	2761	2975	4263	651	-6.5	200	1	1	134.1757	1	
20	0	137.7105	0	936	1551	2975	4263	676	-6.5	200	0	0	138.7118	1	
21	0	143.2872	0	936	1551	2975	4263	551	-6.5	200	0	0	144.5568	1	
22	0	150.2440	0	437	2761	2975	4263	601	-6.5	200	1	0	151.2752		
23	1	155.4781	1	437	2761	2975	4263	601	-6.5	200	1	1	155.8983	1	
24	0	159.5679	1	936	1551	2975	4263	626	-6.5	200	0	1	162.3182		
25	1	167.1888	0	936	1551	2975	4263	626	-6.5	200	0	1	168.1768		
26	1	172.7944	0	936	1551	2975	4263	626	-6.5	200	0	0	173.9682	1	
27	0	180.1545	0	437	2761	2975	4263	701	-6.5	200	1	1	180.7887	1	
28	0	184.8025	0	936	1551	2975	4263	726	-6.5	200	0	0	185.6089	1	
29	0	191.5544	0	437	2761	2975	4263	526	-6.5	200	1	1	192.3903	1	
30	0	196.0658	0	437	2761	2975	4263	501	-6.5	200	1	0	196.9192		
31	1	203.3792	0	437	2761	2975	4263	501	-6.5	200	1	1	204.1105	1	
32	0	211.3129	0	936	1551	2975	4263	751	-6.5	200	0	0	212.3987	1	
