Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	8.1190	0	936	1551	2975	4263	701	-3.5	200	0	0	8.9969	1	
2	0	15.6709	1	936	1551	2975	4263	626	-6.5	200	0	0	16.4027	1	
3	0	23.1854	0	936	1551	2975	4263	651	-9.5	200	0	0	26.2358	1	
4	0	32.2262	0	437	2761	2975	4263	576	-6.5	200	1	1	33.6095	1	
5	0	37.8378	1	437	2761	2975	4263	551	-9.5	200	1	0	38.7436	0	
6	1	50.6797	0	437	2761	2975	4263	551	-9.5	200	1	1	51.7849	1	
7	0	59.2045	1	437	2761	2975	4263	726	-3.5	200	1	0	62.2092	0	
8	1	68.8168	0	437	2761	2975	4263	726	-3.5	200	1	1	70.1118	1	
9	0	74.8005	0	936	1551	2975	4263	676	-12.5	200	0	0	75.6600	1	
10	0	81.2780	0	437	2761	2975	4263	601	-12.5	200	1	1	82.3368	1	
11	0	86.7110	0	437	2761	2975	4263	526	-12.5	200	1	1	87.7795	1	
12	0	92.3083	1	936	1551	2975	4263	501	-6.5	200	0	0	92.9840	1	
13	0	99.4162	0	437	2761	2975	4263	551	-6.5	200	1	0	101.4561	0	
14	1	107.1922	0	437	2761	2975	4263	551	-6.5	200	1	1	108.4234	1	
15	0	113.0922	0	437	2761	2975	4263	651	-9.5	200	1	0	114.0485	0	
16	1	119.2127	0	437	2761	2975	4263	651	-9.5	200	1	1	120.1691	1	
17	0	125.7055	0	437	2761	2975	4263	526	-3.5	200	1	0	126.7329	0	
18	1	138.2407	1	437	2761	2975	4263	526	-3.5	200	1	0	140.4888	0	
19	1	148.9225	1	437	2761	2975	4263	526	-3.5	200	1	0	152.4666	0	
20	1	158.5615	0	437	2761	2975	4263	526	-3.5	200	1	1	159.6919	1	
21	0	164.4668	0	936	1551	2975	4263	676	-9.5	200	0	0	165.5185	1	
22	0	171.6496	0	936	1551	2975	4263	601	-3.5	200	0	0	172.6771	1	
23	0	178.6819	0	936	1551	2975	4263	751	-12.5	200	0	0	179.6303	1	
24	0	185.8220	0	936	1551	2975	4263	701	-9.5	200	0	1	186.8095	0	
25	1	198.7617	1	936	1551	2975	4263	701	-9.5	200	0	0	200.6900	1	
26	0	207.1292	1	437	2761	2975	4263	726	-12.5	200	1	1	209.6909	1	
27	0	214.9546	0	936	1551	2975	4263	501	-3.5	200	0	0	216.0061	1	
28	0	222.2604	0	437	2761	2975	4263	576	-9.5	200	1	1	223.3842	1	
29	0	228.0927	0	936	1551	2975	4263	676	-12.5	200	0	0	228.6740	1	
30	0	235.5179	1	936	1551	2975	4263	726	-6.5	200	0	0	238.5949	1	
31	0	244.7974	0	437	2761	2975	4263	601	-6.5	200	1	1	245.8809	1	
32	0	250.4813	0	437	2761	2975	4263	701	-3.5	200	1	1	251.6166	1	
33	0	256.5781	0	437	2761	2975	4263	651	-3.5	200	1	1	257.3061	1	
34	0	261.3261	0	936	1551	2975	4263	626	-6.5	200	0	0	262.0900	1	
35	0	268.7362	1	936	1551	2975	4263	501	-3.5	200	0	0	270.4257	1	
36	0	275.7899	1	936	1551	2975	4263	576	-12.5	200	0	0	278.7801	1	
37	0	286.0842	1	437	2761	2975	4263	751	-12.5	200	1	0	290.2978	0	
38	1	298.2434	0	437	2761	2975	4263	751	-12.5	200	1	1	299.5339	1	
39	0	305.0565	0	437	2761	2975	4263	526	-6.5	200	1	1	306.7890	1	
40	0	311.5685	0	936	1551	2975	4263	601	-9.5	200	0	0	312.2628	1	
41	0	318.8637	0	437	2761	2975	4263	551	-9.5	200	1	0	319.9929	0	
42	1	324.8852	0	437	2761	2975	4263	551	-9.5	200	1	1	325.9794	1	
43	0	330.9866	0	437	2761	2975	4263	726	-6.5	200	1	0	331.6830	0	
44	1	335.4642	1	437	2761	2975	4263	726	-6.5	200	1	0	337.2367	0	
45	1	347.4940	1	437	2761	2975	4263	726	-6.5	200	1	1	349.8331	1	
46	0	354.9294	0	437	2761	2975	4263	676	-3.5	200	1	1	355.5110	1	
47	0	359.5914	1	936	1551	2975	4263	501	-9.5	200	0	0	362.5678	1	
48	0	367.5136	0	437	2761	2975	4263	701	-9.5	200	1	1	368.7101	1	
49	0	372.2199	0	936	1551	2975	4263	576	-12.5	200	0	0	373.3968	1	
50	0	379.9960	0	437	2761	2975	4263	526	-12.5	200	1	0	380.9620	0	
51	1	386.2646	0	437	2761	2975	4263	526	-12.5	200	1	1	387.3550	1	
52	0	392.5966	0	936	1551	2975	4263	751	-6.5	200	0	0	393.2477	1	
53	0	398.6788	0	936	1551	2975	4263	651	-3.5	200	0	0	399.8788	1	
54	0	406.3058	1	936	1551	2975	4263	626	-6.5	200	0	0	408.9421	1	
55	0	415.0562	0	437	2761	2975	4263	526	-9.5	200	1	1	416.7627	1	
56	0	421.7617	0	936	1551	2975	4263	726	-12.5	200	0	0	422.5795	1	
57	0	430.6801	0	936	1551	2975	4263	551	-9.5	200	0	0	431.8332	1	
58	0	437.0907	0	437	2761	2975	4263	601	-3.5	200	1	1	438.0520	1	
59	0	443.7345	1	936	1551	2975	4263	701	-3.5	200	0	0	445.6174	1	
60	0	451.7281	1	437	2761	2975	4263	751	-12.5	200	1	0	455.2162	0	
61	1	459.9675	0	437	2761	2975	4263	751	-12.5	200	1	1	461.0113	1	
62	0	464.8847	1	437	2761	2975	4263	501	-6.5	200	1	1	467.0885	1	
63	0	472.4728	0	437	2761	2975	4263	651	-3.5	200	1	1	473.9897	1	
64	0	478.4185	1	936	1551	2975	4263	576	-9.5	200	0	0	481.0045	1	
65	0	486.6320	0	936	1551	2975	4263	551	-12.5	200	0	0	487.8222	1	
66	0	493.8833	0	437	2761	2975	4263	626	-12.5	200	1	1	494.9423	1	
67	0	497.9850	0	936	1551	2975	4263	501	-3.5	200	0	0	499.5467	1	
68	0	504.4359	1	437	2761	2975	4263	726	-6.5	200	1	1	508.2291	1	
69	0	512.2875	0	437	2761	2975	4263	701	-9.5	200	1	1	513.6853	1	
70	0	517.8210	0	936	1551	2975	4263	601	-6.5	200	0	0	519.2167	1	
71	0	526.9272	0	936	1551	2975	4263	751	-6.5	200	0	0	527.7436	1	
72	0	533.4758	0	437	2761	2975	4263	526	-3.5	200	1	0	534.6109	0	
73	1	538.3669	0	437	2761	2975	4263	526	-3.5	200	1	0	539.6140	0	
74	1	547.2848	0	437	2761	2975	4263	526	-3.5	200	1	1	548.5654	1	
75	0	553.1093	0	437	2761	2975	4263	651	-6.5	200	1	1	554.1893	1	
76	0	558.9345	0	437	2761	2975	4263	576	-12.5	200	1	1	559.9400	1	
77	0	564.3304	1	437	2761	2975	4263	626	-9.5	200	1	0	565.9399	0	
78	1	582.8915	0	437	2761	2975	4263	626	-9.5	200	1	0	587.8666	0	
79	1	595.6150	1	437	2761	2975	4263	626	-9.5	200	1	0	598.9588	0	
80	1	618.5171	0	437	2761	2975	4263	626	-9.5	200	1	0	619.8492	0	
