Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	1.5269	0	936	1551	2975	4263	626	-12.5	200	0	0	2.2983	1	
2	0	6.6253	1	437	2761	2975	4263	601	-3.5	200	1	1	7.8050	1	
3	0	10.9007	0	437	2761	2975	4263	726	-7.5	200	1	1	12.8908	1	
4	0	24.9549	0	936	1551	2975	4263	701	-7.5	200	0	1	26.0291	0	
5	1	34.5961	0	936	1551	2975	4263	701	-7.5	200	0	1	35.2143	0	
6	1	40.0666	1	936	1551	2975	4263	701	-7.5	200	0	0	43.0598	1	
7	0	48.2231	1	437	2761	2975	4263	501	-12.5	200	1	0	50.7987	0	
8	1	57.3306	0	437	2761	2975	4263	501	-12.5	200	1	1	58.4949	1	
9	0	72.6315	0	936	1551	2975	4263	676	-3.5	200	0	0	73.7623	1	
10	0	79.6155	0	437	2761	2975	4263	551	-7.5	200	1	1	80.7054	1	
11	0	89.5958	0	437	2761	2975	4263	526	-12.5	200	1	0	90.5790	0	
12	1	96.4181	1	437	2761	2975	4263	526	-12.5	200	1	1	98.8823	1	
13	0	102.7844	1	936	1551	2975	4263	576	-3.5	200	0	1	105.3089	0	
14	1	111.4647	1	936	1551	2975	4263	576	-3.5	200	0	0	114.3965	1	
15	0	124.8663	0	437	2761	2975	4263	651	-3.5	200	1	1	125.8871	1	
16	0	135.4901	0	936	1551	2975	4263	751	-12.5	200	0	1	136.4796	0	
17	1	141.3153	1	936	1551	2975	4263	751	-12.5	200	0	0	143.3713	1	
18	0	150.1571	0	936	1551	2975	4263	626	-7.5	200	0	0	150.9587	1	
19	0	157.8082	0	437	2761	2975	4263	576	-7.5	200	1	0	158.7938	0	
20	1	167.9910	1	437	2761	2975	4263	576	-7.5	200	1	0	170.3259	0	
21	1	175.0550	1	437	2761	2975	4263	576	-7.5	200	1	1	177.8522	1	
22	0	185.8169	0	437	2761	2975	4263	501	-3.5	200	1	0	188.4507	0	
23	1	194.1478	1	437	2761	2975	4263	501	-3.5	200	1	0	196.6370	0	
24	1	202.0801	1	437	2761	2975	4263	501	-3.5	200	1	1	205.1801	1	
25	0	216.2775	0	936	1551	2975	4263	726	-7.5	200	0	1	217.2402	0	
26	1	221.2347	0	936	1551	2975	4263	726	-7.5	200	0	0	221.6806	1	
27	0	230.1840	0	437	2761	2975	4263	551	-12.5	200	1	1	231.1691	1	
28	0	236.0192	1	936	1551	2975	4263	676	-12.5	200	0	1	236.5498	0	
29	1	246.4470	0	936	1551	2975	4263	676	-12.5	200	0	0	247.2308	1	
30	0	253.4540	1	936	1551	2975	4263	526	-3.5	200	0	0	256.6408	1	
31	0	263.6605	1	936	1551	2975	4263	701	-3.5	200	0	0	267.1655	1	
32	0	273.1124	1	437	2761	2975	4263	651	-3.5	200	1	1	276.2318	1	
33	0	280.5147	0	936	1551	2975	4263	651	-12.5	200	0	0	281.3979	1	
34	0	292.0574	0	437	2761	2975	4263	551	-7.5	200	1	1	292.9725	1	
35	0	297.4158	0	936	1551	2975	4263	576	-7.5	200	0	0	298.7338	1	
36	0	307.9098	0	437	2761	2975	4263	726	-12.5	200	1	1	308.8510	1	
37	0	314.6649	0	936	1551	2975	4263	501	-7.5	200	0	1	315.9425	0	
38	1	327.6206	1	936	1551	2975	4263	501	-7.5	200	0	1	329.7914	0	
39	1	333.5467	0	936	1551	2975	4263	501	-7.5	200	0	1	336.5763	0	
40	1	340.7923	0	936	1551	2975	4263	501	-7.5	200	0	0	341.9638	1	
41	0	348.2294	1	936	1551	2975	4263	626	-12.5	200	0	0	350.6181	1	
42	0	357.4970	1	936	1551	2975	4263	751	-3.5	200	0	0	360.8297	1	
43	0	367.5766	0	437	2761	2975	4263	601	-12.5	200	1	1	369.6796	1	
44	0	374.5506	0	437	2761	2975	4263	526	-3.5	200	1	1	375.8923	1	
45	0	380.8675	0	437	2761	2975	4263	676	-7.5	200	1	1	381.9284	1	
46	0	386.7886	1	936	1551	2975	4263	651	-12.5	200	0	0	387.3448	1	
47	0	399.2203	0	936	1551	2975	4263	601	-7.5	200	0	1	400.4346	0	
48	1	409.1042	0	936	1551	2975	4263	601	-7.5	200	0	0	410.1902	1	
49	0	416.3555	0	936	1551	2975	4263	726	-3.5	200	0	0	417.3533	1	
