Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	10.8984	1	437	2761	2975	4263	751	3.5	200	1	1	12.7687	1	0	
2	0	16.6963	0	437	2761	2975	4263	551	3.5	200	1	1	17.5397	1	0	
3	0	21.6996	1	936	1551	2975	4263	626	3.5	200	0	0	23.8168	1	0	
4	0	29.1474	0	936	1551	2975	4263	501	3.5	200	0	1	29.8872		1	
5	1	33.9295	1	936	1551	2975	4263	501	3.5	200	0	1	35.7665		1	
6	1	41.7050	0	936	1551	2975	4263	501	3.5	200	0	0	43.9643	1	1	
7	0	49.8564	1	437	2761	2975	4263	701	3.5	200	1	1	51.5221	1	1	
8	0	55.1532	0	437	2761	2975	4263	576	3.5	200	1	1	56.2837	1	1	
9	0	62.0038	0	437	2761	2975	4263	601	3.5	200	1	0	62.9875		1	
10	1	68.1176	1	437	2761	2975	4263	601	3.5	200	1	1	70.2108	1	1	
11	0	74.1823	0	936	1551	2975	4263	726	3.5	200	0	0	75.2111	1	1	
12	0	80.7147	0	936	1551	2975	4263	676	3.5	200	0	0	82.3464	1	0	
13	0	87.7765	0	437	2761	2975	4263	651	3.5	200	1	1	88.4495	1	0	
14	0	94.7214	0	936	1551	2975	4263	501	3.5	200	0	0	96.0881	1	0	
15	0	101.2953	0	936	1551	2975	4263	576	3.5	200	0	1	102.0447		1	
16	1	106.6936	0	936	1551	2975	4263	576	3.5	200	0	0	107.7500	1	1	
17	0	113.3823	0	437	2761	2975	4263	726	3.5	200	1	1	114.1899	1	1	
18	0	117.6557	0	437	2761	2975	4263	751	3.5	200	1	1	118.1192	1	0	
19	0	121.9126	1	437	2761	2975	4263	626	3.5	200	1	1	122.4915	1	1	
20	0	126.2813	1	936	1551	2975	4263	526	3.5	200	0	1	129.2115		1	
21	1	132.9700	0	936	1551	2975	4263	526	3.5	200	0	1	133.6044		1	
22	1	140.3140	0	936	1551	2975	4263	526	3.5	200	0	1	141.4416		1	
23	1	147.3767	1	936	1551	2975	4263	526	3.5	200	0	1	149.5589		1	
24	1	153.1373	0	936	1551	2975	4263	526	3.5	200	0	0	154.4390	1	1	
25	0	159.4673	0	936	1551	2975	4263	701	3.5	200	0	0	160.4412	1	0	
26	0	166.3226	0	936	1551	2975	4263	651	3.5	200	0	0	167.4555	1	1	
27	0	173.0396	0	437	2761	2975	4263	601	3.5	200	1	1	173.7770	1	0	
28	0	184.9308	0	936	1551	2975	4263	676	3.5	200	0	0	186.3320	1	1	
29	0	191.0571	0	437	2761	2975	4263	676	3.5	200	1	1	191.8368	1	1	
30	0	197.8572	0	936	1551	2975	4263	551	3.5	200	0	0	198.7294	1	0	
31	0	204.8308	0	936	1551	2975	4263	576	3.5	200	0	0	206.2584	1	0	
32	0	211.5451	0	437	2761	2975	4263	651	3.5	200	1	1	212.0247	1	0	
33	0	218.5474	1	936	1551	2975	4263	526	3.5	200	0	1	220.6225		1	
34	1	226.3733	0	936	1551	2975	4263	526	3.5	200	0	0	227.5293	1	1	
35	0	232.2960	1	936	1551	2975	4263	601	3.5	200	0	0	235.5574	1	0	
36	0	241.6498	0	437	2761	2975	4263	726	3.5	200	1	1	242.4780	1	0	
37	0	250.5343	0	437	2761	2975	4263	751	3.5	200	1	0	251.5284		1	
38	1	256.5910	0	437	2761	2975	4263	751	3.5	200	1	1	257.8457	1	1	
39	0	262.1500	0	936	1551	2975	4263	626	3.5	200	0	0	263.1790	1	1	
40	0	268.9077	1	936	1551	2975	4263	701	3.5	200	0	0	269.8275	1	0	
41	0	275.3892	1	437	2761	2975	4263	701	3.5	200	1	1	278.4495	1	0	
42	0	281.9477	0	437	2761	2975	4263	651	3.5	200	1	1	282.9401	1	0	
43	0	286.8934	0	437	2761	2975	4263	526	3.5	200	1	0	287.9533		1	
44	1	292.7256	1	437	2761	2975	4263	526	3.5	200	1	1	295.0286	1	1	
