Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	513.4100	0	437	2761	2975	4263	751	-12.5	200	1	1	529.1320	1	1	
2	0	537.6280	0	936	1551	2975	4263	726	-12.5	200	0	1	553.0976	0	1	
3	1	561.1809	0	936	1551	2975	4263	726	-12.5	200	0	0	562.4650	1	1	
4	0	566.9467	0	437	2761	2975	4263	576	-3.5	200	1	1	568.3636	1	1	
5	0	577.1749	0	437	2761	2975	4263	526	-7.5	200	1	0	579.4526	0	1	
6	1	583.1312	0	437	2761	2975	4263	526	-7.5	200	1	1	584.1825	1	1	
7	0	598.7059	1	936	1551	2975	4263	676	-8.5	200	0	1	602.1099	0	1	
8	1	610.9015	0	936	1551	2975	4263	676	-8.5	200	0	1	612.2388	0	1	
9	1	617.4881	0	936	1551	2975	4263	676	-8.5	200	0	0	620.2709	1	1	
10	0	627.5463	0	936	1551	2975	4263	651	-17.5	200	0	0	628.8297	1	1	
11	0	634.9926	0	437	2761	2975	4263	551	-3.5	200	1	1	640.4208	1	1	
12	0	642.4560	0	936	1551	2975	4263	601	-17.5	200	0	0	645.3841	1	1	
13	0	650.9763	1	437	2761	2975	4263	701	-7.5	200	1	1	652.1704	1	1	
14	0	656.8065	0	437	2761	2975	4263	626	-12.5	200	1	0	660.7005	0	1	
15	1	664.8363	0	437	2761	2975	4263	626	-12.5	200	1	1	666.4990	1	1	
16	0	674.3360	0	936	1551	2975	4263	576	-8.5	200	0	0	675.5976	1	1	
17	0	684.0185	0	936	1551	2975	4263	601	-12.5	200	0	1	685.6032	0	1	
18	1	689.7475	1	936	1551	2975	4263	601	-12.5	200	0	0	691.4721	1	1	
19	0	696.8849	0	437	2761	2975	4263	651	-7.5	200	1	0	700.3859	0	1	
20	1	708.2172	0	437	2761	2975	4263	651	-7.5	200	1	1	709.4421	1	1	
21	0	716.0277	0	936	1551	2975	4263	551	-12.5	200	0	0	718.5628	1	1	
22	0	725.4136	0	936	1551	2975	4263	676	-17.5	200	0	0	726.7624	1	1	
23	0	732.3208	0	437	2761	2975	4263	501	-3.5	200	1	0	734.2851	0	1	
24	1	739.2487	1	437	2761	2975	4263	501	-3.5	200	1	1	743.1483	1	1	
25	0	747.5746	0	437	2761	2975	4263	751	-12.5	200	1	0	748.7612	0	1	
26	1	754.0575	0	437	2761	2975	4263	751	-12.5	200	1	0	755.8216	0	1	
27	1	766.1068	0	437	2761	2975	4263	751	-12.5	200	1	1	767.0841	1	1	
