Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	0.5480	0	936	1551	2975	4263	701	-8.5	200	0	1	5.6989	0	0	
2	1	14.1947	1	936	1551	2975	4263	701	-8.5	200	0	0	16.5625	1	0	
3	0	19.4799	1	437	2761	2975	4263	601	-12.5	200	1	1	23.2095	1	1	
4	0	28.6600	0	936	1551	2975	4263	501	-8.5	200	0	0	29.5721	1	1	
5	0	33.4146	0	437	2761	2975	4263	576	-7.5	200	1	1	34.7343	1	1	
6	0	38.5132	0	936	1551	2975	4263	676	-12.5	200	0	0	39.1665	1	1	
7	0	44.3645	0	437	2761	2975	4263	726	-3.5	200	1	0	45.4946	0	1	
8	1	50.4753	0	437	2761	2975	4263	726	-3.5	200	1	1	51.7496	1	1	
9	0	56.2888	1	936	1551	2975	4263	651	-17.5	200	0	0	58.6153	1	1	
10	0	64.5898	0	437	2761	2975	4263	551	-12.5	200	1	1	66.1840	1	0	
11	0	70.1610	0	437	2761	2975	4263	526	-7.5	200	1	1	71.4554	1	0	
12	0	75.2527	1	437	2761	2975	4263	626	-3.5	200	1	1	78.2652	1	0	
13	0	82.3751	0	936	1551	2975	4263	601	-12.5	200	0	0	83.2316	1	0	
14	0	88.0969	0	936	1551	2975	4263	576	-17.5	200	0	0	89.1152	1	0	
15	0	94.3835	0	437	2761	2975	4263	651	-12.5	200	1	1	95.6965	1	1	
16	0	99.7668	0	936	1551	2975	4263	751	-17.5	200	0	0	100.9169	1	1	
17	0	109.7257	0	936	1551	2975	4263	501	-17.5	200	0	0	110.7389	1	0	
18	0	116.0407	0	936	1551	2975	4263	626	-12.5	200	0	0	117.0177	1	0	
19	0	123.8814	0	437	2761	2975	4263	701	-7.5	200	1	1	124.8248	1	0	
20	0	129.1613	1	437	2761	2975	4263	551	-3.5	200	1	1	132.1875	1	1	
21	0	135.8641	1	936	1551	2975	4263	726	-12.5	200	0	1	138.8536	0	1	
22	1	143.4797	1	936	1551	2975	4263	726	-12.5	200	0	1	147.4082	0	1	
23	1	154.0103	0	936	1551	2975	4263	726	-12.5	200	0	0	154.8981	1	1	
24	0	159.5127	1	936	1551	2975	4263	676	-8.5	200	0	0	162.0481	1	1	
25	0	166.7391	0	437	2761	2975	4263	526	-7.5	200	1	0	167.7120	0	1	
26	1	174.5792	1	437	2761	2975	4263	526	-7.5	200	1	1	176.7717	1	1	
27	0	182.3483	0	936	1551	2975	4263	551	-8.5	200	0	0	183.2650	1	0	
28	0	188.5424	0	437	2761	2975	4263	701	-3.5	200	1	0	189.6974	0	0	
29	1	193.8334	0	437	2761	2975	4263	701	-3.5	200	1	1	195.1840	1	0	
30	0	199.5047	0	437	2761	2975	4263	626	-12.5	200	1	1	200.5844	1	0	
31	0	205.0576	0	437	2761	2975	4263	676	-3.5	200	1	1	206.3150	1	1	
32	0	211.3281	1	936	1551	2975	4263	726	-8.5	200	0	0	213.9655	1	0	
33	0	218.1983	0	437	2761	2975	4263	576	-7.5	200	1	0	219.2818	0	0	
34	1	236.5078	0	437	2761	2975	4263	576	-7.5	200	1	1	237.8774	1	0	
35	0	243.0264	0	936	1551	2975	4263	751	-17.5	200	0	0	243.9281	1	1	
36	0	248.6732	0	936	1551	2975	4263	601	-8.5	200	0	0	249.7749	1	1	
37	0	256.5393	0	936	1551	2975	4263	651	-12.5	200	0	0	257.3887	1	1	
38	0	264.3073	0	936	1551	2975	4263	551	-12.5	200	0	0	265.2641	1	0	
39	0	270.8533	1	437	2761	2975	4263	751	-12.5	200	1	1	274.0709	1	1	
40	0	278.6476	0	437	2761	2975	4263	676	-3.5	200	1	1	279.8943	1	0	
41	0	284.1535	0	437	2761	2975	4263	626	-12.5	200	1	1	285.6779	1	0	
42	0	292.1757	1	437	2761	2975	4263	701	-7.5	200	1	1	295.6908	1	1	
43	0	299.5870	0	936	1551	2975	4263	601	-17.5	200	0	0	300.4774	1	0	
44	0	305.1568	1	437	2761	2975	4263	726	-7.5	200	1	0	307.9561	0	1	
45	1	316.7323	0	437	2761	2975	4263	726	-7.5	200	1	1	317.8145	1	1	
46	0	321.9420	1	437	2761	2975	4263	526	-7.5	200	1	1	324.1066	1	0	
47	0	331.6433	0	936	1551	2975	4263	576	-8.5	200	0	0	333.0604	1	0	
48	0	338.0773	0	437	2761	2975	4263	501	-3.5	200	1	0	339.2046	0	1	
49	1	342.7252	0	437	2761	2975	4263	501	-3.5	200	1	1	343.9201	1	1	
50	0	352.5633	0	936	1551	2975	4263	526	-12.5	200	0	0	353.2949	1	0	
51	0	358.2833	1	936	1551	2975	4263	601	-12.5	200	0	0	359.0285	1	1	
52	0	363.9173	0	936	1551	2975	4263	701	-17.5	200	0	0	365.5548	1	0	
53	0	371.9323	0	437	2761	2975	4263	551	-12.5	200	1	1	373.4699	1	1	
54	0	378.0113	1	936	1551	2975	4263	501	-8.5	200	0	0	381.1040	1	1	
55	0	386.0058	0	437	2761	2975	4263	726	-12.5	200	1	1	387.4757	1	0	
56	0	392.5273	0	437	2761	2975	4263	576	-3.5	200	1	1	393.9204	1	0	
57	0	399.1160	0	936	1551	2975	4263	651	-17.5	200	0	0	399.8917	1	1	
58	0	404.5499	0	936	1551	2975	4263	751	-12.5	200	0	0	405.2017	1	0	
59	0	410.3965	0	936	1551	2975	4263	626	-8.5	200	0	0	411.3156	1	0	
60	0	417.1084	0	936	1551	2975	4263	551	-17.5	200	0	0	418.2102	1	1	
61	0	424.0280	1	437	2761	2975	4263	576	-12.5	200	1	1	427.3733	1	1	
62	0	432.5639	0	437	2761	2975	4263	501	-12.5	200	1	0	433.7065	0	0	
63	1	439.5570	0	437	2761	2975	4263	501	-12.5	200	1	0	440.8620	0	0	
64	1	444.7237	0	437	2761	2975	4263	501	-12.5	200	1	1	445.9475	1	0	
65	0	453.9265	0	936	1551	2975	4263	676	-8.5	200	0	1	455.2069	0	1	
66	1	460.2750	0	936	1551	2975	4263	676	-8.5	200	0	1	463.3475	0	1	
67	1	470.2086	1	936	1551	2975	4263	676	-8.5	200	0	1	471.5913	0	1	
68	1	478.1560	1	936	1551	2975	4263	676	-8.5	200	0	0	481.9594	1	1	
69	0	487.2776	0	437	2761	2975	4263	751	-3.5	200	1	0	488.3343	0	0	
70	1	495.7372	0	437	2761	2975	4263	751	-3.5	200	1	0	496.7952	0	0	
71	1	501.8862	1	437	2761	2975	4263	751	-3.5	200	1	1	504.1743	1	0	
72	0	510.3793	0	936	1551	2975	4263	651	-17.5	200	0	0	511.4218	1	0	
73	0	515.4785	0	437	2761	2975	4263	526	-3.5	200	1	1	517.0386	1	1	
74	0	522.1505	0	936	1551	2975	4263	726	-12.5	200	0	0	523.0248	1	1	
75	0	528.1912	0	437	2761	2975	4263	701	-7.5	200	1	0	529.2136	0	0	
76	1	544.3199	0	437	2761	2975	4263	701	-7.5	200	1	1	545.6773	1	0	
77	0	549.9370	0	437	2761	2975	4263	601	-7.5	200	1	1	551.4795	1	1	
78	0	561.4776	0	936	1551	2975	4263	601	-8.5	200	0	0	562.8049	1	1	
79	0	567.9371	1	936	1551	2975	4263	751	-12.5	200	0	0	568.7047	1	0	
80	0	573.4573	0	437	2761	2975	4263	576	-3.5	200	1	1	576.2578	1	0	
81	0	584.2971	0	437	2761	2975	4263	726	-3.5	200	1	1	585.3518	1	1	
82	0	593.4510	1	936	1551	2975	4263	626	-17.5	200	0	0	597.1534	1	0	
83	0	602.4308	0	936	1551	2975	4263	501	-12.5	200	0	0	603.6242	1	1	
84	0	609.5247	0	437	2761	2975	4263	651	-12.5	200	1	0	610.6067	0	1	
85	1	615.1392	1	437	2761	2975	4263	651	-12.5	200	1	1	618.6879	1	1	
86	0	626.4252	0	437	2761	2975	4263	551	-12.5	200	1	1	627.6443	1	0	
87	0	635.9326	1	437	2761	2975	4263	526	-7.5	200	1	1	639.3658	1	1	
88	0	648.1568	0	936	1551	2975	4263	676	-8.5	200	0	0	649.4478	1	0	
89	0	654.3581	0	437	2761	2975	4263	676	-7.5	200	1	0	655.3059	0	0	
90	1	659.0983	1	437	2761	2975	4263	676	-7.5	200	1	1	662.0912	1	0	
91	0	665.5511	0	936	1551	2975	4263	501	-17.5	200	0	0	666.8698	1	1	
92	0	672.0351	0	936	1551	2975	4263	651	-12.5	200	0	0	673.1460	1	1	
93	0	678.0605	0	437	2761	2975	4263	626	-7.5	200	1	1	679.7115	1	0	
94	0	684.7470	0	437	2761	2975	4263	751	-3.5	200	1	1	686.1065	1	0	
95	0	691.0101	0	936	1551	2975	4263	551	-17.5	200	0	0	692.1558	1	0	
96	0	696.2114	1	936	1551	2975	4263	601	-12.5	200	0	0	699.5547	1	0	
97	0	706.0626	0	936	1551	2975	4263	526	-8.5	200	0	0	707.1453	1	0	
98	0	712.3599	0	936	1551	2975	4263	726	-8.5	200	0	0	713.5966	1	1	
99	0	717.9353	1	437	2761	2975	4263	576	-7.5	200	1	1	721.1849	1	1	
100	0	725.6356	0	437	2761	2975	4263	626	-3.5	200	1	1	727.0584	1	1	
101	0	737.8944	0	437	2761	2975	4263	601	-12.5	200	1	1	739.4995	1	1	
