Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	342.9083	0	730	2058	2857	4205	751	8.5	200	1	0	345.6614	0	
2	1	352.0479	0	730	2058	2857	4205	751	8.5	200	1	1	359.7786	1	
3	0	364.8728	0	730	2058	2857	4205	601	5.5	200	1	0	366.8950	0	
4	1	373.2871	0	730	2058	2857	4205	601	5.5	200	1	1	377.1012	1	
5	0	384.8425	0	460	1105	2857	4205	951	8.5	200	0	0	385.9633	1	
6	0	388.2374	0	730	2058	2857	4205	551	-0.5	200	1	1	389.8877	1	
7	0	397.6147	0	460	1105	2857	4205	501	2.5	200	0	0	399.5297	1	
8	0	403.9998	0	730	2058	2857	4205	801	-3.5	200	1	1	405.7775	1	
9	0	415.1874	0	730	2058	2857	4205	901	11.5	200	1	1	416.8958	1	
10	0	427.5087	1	460	1105	2857	4205	851	-0.5	200	0	0	428.7249	1	
11	0	433.9306	0	460	1105	2857	4205	1001	5.5	200	0	0	435.0521	1	
12	0	443.5075	0	460	1105	2857	4205	651	-3.5	200	0	0	444.3981	1	
13	0	452.6491	0	460	1105	2857	4205	751	14.5	200	0	1	454.3022	0	
14	1	462.3954	0	460	1105	2857	4205	751	14.5	200	0	0	463.8529	1	
15	0	469.6143	0	460	1105	2857	4205	801	11.5	200	0	1	471.2113	0	
16	1	476.5267	0	460	1105	2857	4205	801	11.5	200	0	1	477.4146	0	
17	1	484.8332	0	460	1105	2857	4205	801	11.5	200	0	0	485.8741	1	
18	0	491.6531	0	730	2058	2857	4205	851	14.5	200	1	0	493.0731	0	
19	1	499.2426	0	730	2058	2857	4205	851	14.5	200	1	1	500.9875	1	
20	0	510.7218	1	730	2058	2857	4205	1001	2.5	200	1	0	513.2513	0	
21	1	520.2209	0	730	2058	2857	4205	1001	2.5	200	1	0	521.7960	0	
22	1	527.9311	0	730	2058	2857	4205	1001	2.5	200	1	1	529.6486	1	
23	0	545.7825	0	460	1105	2857	4205	951	14.5	200	0	0	547.0863	1	
24	0	552.3097	1	460	1105	2857	4205	901	-3.5	200	0	0	556.8786	1	
25	0	561.8027	1	460	1105	2857	4205	601	8.5	200	0	0	568.0965	1	
26	0	572.8330	1	460	1105	2857	4205	701	5.5	200	0	0	579.2654	1	
27	0	584.3558	0	730	2058	2857	4205	651	11.5	200	1	1	587.1720	1	
28	0	593.8578	0	730	2058	2857	4205	501	14.5	200	1	1	596.1019	1	
29	0	606.1799	0	730	2058	2857	4205	751	8.5	200	1	1	608.2187	1	
30	0	618.6659	0	730	2058	2857	4205	901	-0.5	200	1	0	620.2978	0	
31	1	627.1332	0	730	2058	2857	4205	901	-0.5	200	1	0	628.7607	0	
32	1	635.7303	1	730	2058	2857	4205	901	-0.5	200	1	0	641.7848	0	
33	1	649.2090	0	730	2058	2857	4205	901	-0.5	200	1	0	651.5534	0	
34	1	657.8385	0	730	2058	2857	4205	901	-0.5	200	1	1	660.0961	1	
35	0	668.2138	0	730	2058	2857	4205	701	5.5	200	1	1	670.0172	1	
36	0	680.9875	1	460	1105	2857	4205	601	11.5	200	0	0	686.3849	1	
