Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	10.4216	0	730	2058	2857	4205	951	-0.5	200	1	-1	-1.0000	0	
2	0	42.3789	0	460	1105	2857	4205	901	-3.5	200	0	0	46.3344	1	
3	0	49.7011	0	460	1105	2857	4205	701	5.5	200	0	0	57.0197	1	
4	0	65.3109	1	460	1105	2857	4205	651	2.5	200	0	0	79.8169	1	
5	0	82.9675	0	460	1105	2857	4205	751	-0.5	200	0	0	84.2859	1	
6	0	87.6780	0	460	1105	2857	4205	801	8.5	200	0	1	92.2002	0	
7	1	99.7684	0	460	1105	2857	4205	801	8.5	200	0	0	105.6505	1	
8	0	115.5774	0	730	2058	2857	4205	501	5.5	200	1	0	116.7808	0	
9	1	127.8755	0	730	2058	2857	4205	501	5.5	200	1	0	132.0463	0	
10	1	140.3610	0	730	2058	2857	4205	501	5.5	200	1	0	145.0138	0	
11	1	158.5901	0	730	2058	2857	4205	501	5.5	200	1	1	161.0451	1	
12	0	171.1520	0	730	2058	2857	4205	1001	-3.5	200	1	1	172.7313	1	
13	0	181.6945	0	730	2058	2857	4205	851	2.5	200	1	1	184.8483	1	
14	0	191.4680	0	730	2058	2857	4205	551	8.5	200	1	1	193.9125	1	
15	0	202.0453	1	460	1105	2857	4205	901	2.5	200	0	0	202.6273	1	
16	0	206.8155	0	460	1105	2857	4205	701	-0.5	200	0	0	210.2703	1	
17	0	214.4168	1	460	1105	2857	4205	651	5.5	200	0	1	218.4168	0	
18	1	224.4809	0	460	1105	2857	4205	651	5.5	200	0	1	229.3516	0	
19	1	237.8567	1	460	1105	2857	4205	651	5.5	200	0	1	253.2715	0	
20	1	264.2674	0	460	1105	2857	4205	651	5.5	200	0	0	267.3181	1	
21	0	273.2534	0	730	2058	2857	4205	851	-0.5	200	1	1	278.9510	1	
22	0	287.2571	0	730	2058	2857	4205	951	5.5	200	1	1	289.4196	1	
23	0	297.3668	0	730	2058	2857	4205	751	2.5	200	1	1	299.6641	1	
24	0	306.8205	0	730	2058	2857	4205	801	-3.5	200	1	1	308.8086	1	
25	0	316.6774	0	460	1105	2857	4205	1001	8.5	200	0	1	318.7207	0	
26	1	324.3892	0	460	1105	2857	4205	1001	8.5	200	0	0	325.4364	1	
27	0	328.3051	1	730	2058	2857	4205	551	8.5	200	1	1	334.3790	1	
28	0	342.0341	0	460	1105	2857	4205	501	-3.5	200	0	0	344.2425	1	
29	0	346.9753	0	460	1105	2857	4205	651	8.5	200	0	1	350.6382	0	
30	1	355.8962	0	460	1105	2857	4205	651	8.5	200	0	1	359.1652	0	
31	1	363.9176	0	460	1105	2857	4205	651	8.5	200	0	1	367.8520	0	
32	1	375.9901	0	460	1105	2857	4205	651	8.5	200	0	0	377.5771	1	
33	0	380.7772	0	460	1105	2857	4205	551	-3.5	200	0	0	381.8960	1	
34	0	384.2989	0	460	1105	2857	4205	501	-0.5	200	0	0	385.6176	1	
35	0	388.5323	0	730	2058	2857	4205	701	2.5	200	1	1	390.0400	1	
36	0	401.9046	0	730	2058	2857	4205	851	8.5	200	1	1	403.7354	1	
37	0	410.7428	1	460	1105	2857	4205	801	2.5	200	0	0	412.5760	1	
38	0	420.3015	0	730	2058	2857	4205	1001	-0.5	200	1	1	424.1458	1	
39	0	430.8643	0	730	2058	2857	4205	601	5.5	200	1	1	433.3964	1	
40	0	439.5238	0	460	1105	2857	4205	751	5.5	200	0	1	443.8950	0	
41	1	452.4876	0	460	1105	2857	4205	751	5.5	200	0	0	454.0023	1	
42	0	457.7927	0	730	2058	2857	4205	951	-3.5	200	1	1	460.3527	1	
43	0	467.2387	0	730	2058	2857	4205	851	2.5	200	1	1	469.1531	1	
44	0	476.2031	0	730	2058	2857	4205	701	5.5	200	1	1	478.2848	1	
45	0	488.0010	0	460	1105	2857	4205	951	8.5	200	0	1	489.9980	0	
46	1	499.0485	1	460	1105	2857	4205	951	8.5	200	0	0	501.1435	1	
47	0	506.1098	0	730	2058	2857	4205	751	-3.5	200	1	1	511.3276	1	
48	0	518.2820	0	460	1105	2857	4205	801	2.5	200	0	1	521.4986	0	
49	1	532.2954	1	460	1105	2857	4205	801	2.5	200	0	1	538.5615	0	
50	1	549.3008	1	460	1105	2857	4205	801	2.5	200	0	1	555.6897	0	
51	1	563.8588	0	460	1105	2857	4205	801	2.5	200	0	0	565.5990	1	
52	0	570.4280	0	460	1105	2857	4205	551	-3.5	200	0	0	573.2442	1	
53	0	577.8934	0	460	1105	2857	4205	651	5.5	200	0	0	581.5178	1	
54	0	584.4266	0	730	2058	2857	4205	901	8.5	200	1	1	587.7162	1	
55	0	595.6527	1	730	2058	2857	4205	1001	-0.5	200	1	1	597.1769	1	
56	0	606.5456	0	460	1105	2857	4205	501	-0.5	200	0	1	609.0747	0	
57	1	620.3891	0	460	1105	2857	4205	501	-0.5	200	0	0	622.8043	1	
58	0	626.7240	0	730	2058	2857	4205	751	-0.5	200	1	1	629.9075	1	
59	0	636.8306	0	730	2058	2857	4205	801	-3.5	200	1	1	639.2442	1	
60	0	647.3513	0	730	2058	2857	4205	501	5.5	200	1	1	650.0752	1	
61	0	659.6541	0	460	1105	2857	4205	901	-0.5	200	0	1	661.8323	0	
62	1	669.9318	0	460	1105	2857	4205	901	-0.5	200	0	0	671.3185	1	
63	0	674.1973	0	460	1105	2857	4205	1001	5.5	200	0	0	676.2963	1	
