Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	
1	0	20.1402	0	730	2058	2857	4205	601	8.5	200	1	0	39.4361	0	
2	1	45.0089	0	730	2058	2857	4205	601	8.5	200	1	1	63.1541	1	
3	0	66.6988	0	730	2058	2857	4205	551	14.5	200	1	1	70.0564	1	
4	0	74.7755	0	460	1105	2857	4205	1001	14.5	200	0	1	76.9921	0	
5	1	86.3760	1	460	1105	2857	4205	1001	14.5	200	0	0	87.4330	1	
6	0	89.1309	0	730	2058	2857	4205	701	2.5	200	1	1	90.2422	1	
7	0	98.7831	0	460	1105	2857	4205	751	2.5	200	0	0	101.6652	1	
8	0	103.4778	0	460	1105	2857	4205	951	8.5	200	0	1	104.1888	0	
9	1	111.3024	0	460	1105	2857	4205	951	8.5	200	0	0	112.9633	1	
10	0	114.8999	0	730	2058	2857	4205	901	2.5	200	1	1	115.8027	1	
11	0	124.3818	0	460	1105	2857	4205	801	2.5	200	0	1	125.7631	0	
12	1	131.8568	0	460	1105	2857	4205	801	2.5	200	0	1	133.4578	0	
13	1	140.5708	0	460	1105	2857	4205	801	2.5	200	0	0	141.9331	1	
14	0	143.5355	0	730	2058	2857	4205	501	14.5	200	1	1	145.6915	1	
15	0	153.6341	0	460	1105	2857	4205	651	14.5	200	0	1	154.7178	0	
16	1	160.1272	0	460	1105	2857	4205	651	14.5	200	0	1	161.4405	0	
17	1	169.7048	1	460	1105	2857	4205	651	14.5	200	0	1	171.4081	0	
18	1	178.0832	0	460	1105	2857	4205	651	14.5	200	0	1	180.6012	0	
19	1	188.5839	0	460	1105	2857	4205	651	14.5	200	0	0	190.1682	1	
20	0	193.5417	1	730	2058	2857	4205	901	8.5	200	1	1	196.0720	1	
21	0	203.8649	0	460	1105	2857	4205	551	8.5	200	0	1	205.7112	0	
22	1	211.7019	0	460	1105	2857	4205	551	8.5	200	0	1	213.8621	0	
23	1	219.7114	0	460	1105	2857	4205	551	8.5	200	0	0	221.1903	1	
24	0	223.3586	0	730	2058	2857	4205	951	8.5	200	1	1	224.7892	1	
25	0	233.9182	0	730	2058	2857	4205	1001	2.5	200	1	1	234.9293	1	
26	0	244.6798	0	730	2058	2857	4205	501	14.5	200	1	1	245.9920	1	
27	0	255.0279	1	460	1105	2857	4205	601	8.5	200	0	0	256.4704	1	
28	0	258.1437	0	460	1105	2857	4205	701	2.5	200	0	0	259.2705	1	
29	0	261.2001	0	460	1105	2857	4205	801	14.5	200	0	1	262.2497	0	
30	1	269.4374	0	460	1105	2857	4205	801	14.5	200	0	1	270.5756	0	
31	1	276.9569	0	460	1105	2857	4205	801	14.5	200	0	1	278.7423	0	
32	1	285.9603	0	460	1105	2857	4205	801	14.5	200	0	0	289.1585	1	
33	0	292.3397	0	730	2058	2857	4205	751	14.5	200	1	1	294.8851	1	
34	0	303.5363	0	460	1105	2857	4205	851	2.5	200	0	1	304.7738	0	
35	1	311.7853	0	460	1105	2857	4205	851	2.5	200	0	0	312.9679	1	
36	0	314.4905	0	460	1105	2857	4205	551	14.5	200	0	0	315.9713	1	
37	0	317.4804	0	460	1105	2857	4205	701	8.5	200	0	1	318.5995	0	
38	1	326.4642	0	460	1105	2857	4205	701	8.5	200	0	1	328.0783	0	
39	1	333.9748	0	460	1105	2857	4205	701	8.5	200	0	1	335.8386	0	
40	1	340.8746	0	460	1105	2857	4205	701	8.5	200	0	0	342.5013	1	
41	0	345.6386	0	730	2058	2857	4205	651	8.5	200	1	1	348.5599	1	
42	0	357.0159	0	730	2058	2857	4205	851	2.5	200	1	1	358.1705	1	
43	0	367.7884	0	460	1105	2857	4205	901	8.5	200	0	1	369.1107	0	
44	1	375.9188	0	460	1105	2857	4205	901	8.5	200	0	1	377.6313	0	
45	1	385.3666	1	460	1105	2857	4205	901	8.5	200	0	0	387.4397	1	
46	0	389.1862	0	730	2058	2857	4205	601	2.5	200	1	1	390.6565	1	
47	0	400.3881	1	460	1105	2857	4205	801	2.5	200	0	0	401.6655	1	
48	0	403.2947	0	730	2058	2857	4205	501	8.5	200	1	1	404.6413	1	
49	0	414.8699	0	460	1105	2857	4205	751	14.5	200	0	1	415.4243	0	
50	1	423.6392	0	460	1105	2857	4205	751	14.5	200	0	1	425.1773	0	
51	1	431.7214	0	460	1105	2857	4205	751	14.5	200	0	1	435.0306	0	
52	1	443.8086	0	460	1105	2857	4205	751	14.5	200	0	1	445.9265	0	
53	1	455.3464	0	460	1105	2857	4205	751	14.5	200	0	1	458.0157	0	
54	1	472.6839	0	460	1105	2857	4205	751	14.5	200	0	1	474.3299	0	
55	1	480.1124	0	460	1105	2857	4205	751	14.5	200	0	1	482.3597	0	
56	1	501.8946	0	460	1105	2857	4205	751	14.5	200	0	0	503.7556	1	
57	0	510.5884	0	730	2058	2857	4205	951	14.5	200	1	1	512.5211	1	
58	0	522.8439	0	730	2058	2857	4205	1001	2.5	200	1	1	523.5772	1	
59	0	534.4298	0	730	2058	2857	4205	901	8.5	200	1	1	534.9034	1	
60	0	544.5653	0	460	1105	2857	4205	801	2.5	200	0	0	545.7923	1	
