Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	252.7725	0	460	1105	2857	4205	751	-3.5	200	0	1	260.8979	0	1	
2	1	269.6431	0	460	1105	2857	4205	751	-3.5	200	0	1	272.4518	0	1	
3	1	279.7681	0	460	1105	2857	4205	751	-3.5	200	0	0	280.6334	1	1	
4	0	289.2324	0	730	2058	2857	4205	701	-0.5	200	1	1	291.0631	1	1	
5	0	305.1552	0	730	2058	2857	4205	951	-9.5	200	1	0	305.9763	0	1	
6	1	313.1911	0	730	2058	2857	4205	951	-9.5	200	1	1	318.4901	1	1	
7	0	332.2513	0	730	2058	2857	4205	801	-6.5	200	1	0	333.2640	0	0	
8	1	340.0393	0	730	2058	2857	4205	801	-6.5	200	1	0	343.6592	0	0	
9	1	352.0946	0	730	2058	2857	4205	801	-6.5	200	1	0	353.7773	0	0	
10	1	367.0936	0	730	2058	2857	4205	801	-6.5	200	1	0	368.5387	0	0	
11	1	375.8329	0	730	2058	2857	4205	801	-6.5	200	1	1	377.9279	1	0	
12	0	389.4153	0	730	2058	2857	4205	601	-6.5	200	1	1	391.1068	1	1	
13	0	402.4122	0	730	2058	2857	4205	651	-9.5	200	1	0	403.5561	0	0	
14	1	412.8679	0	730	2058	2857	4205	651	-9.5	200	1	1	414.3364	1	0	
15	0	428.1459	0	460	1105	2857	4205	851	-9.5	200	0	0	429.3077	1	0	
16	0	434.8588	1	730	2058	2857	4205	551	-3.5	200	1	0	438.7948	0	0	
17	1	447.6647	0	730	2058	2857	4205	551	-3.5	200	1	1	449.9026	1	0	
18	0	461.2909	0	460	1105	2857	4205	901	-0.5	200	0	1	462.9780	0	1	
19	1	471.5956	0	460	1105	2857	4205	901	-0.5	200	0	1	473.4853	0	1	
20	1	482.2682	0	460	1105	2857	4205	901	-0.5	200	0	0	485.0054	1	1	
21	0	491.8324	0	730	2058	2857	4205	1001	-3.5	200	1	1	493.2734	1	1	
22	0	505.7294	0	460	1105	2857	4205	751	-9.5	200	0	0	507.2530	1	1	
23	0	512.8495	0	460	1105	2857	4205	901	-6.5	200	0	0	514.2031	1	1	
24	0	520.7945	1	460	1105	2857	4205	1001	-3.5	200	0	0	524.8297	1	0	
25	0	530.3394	1	730	2058	2857	4205	701	-0.5	200	1	0	535.7889	0	0	
26	1	544.7173	0	730	2058	2857	4205	701	-0.5	200	1	0	546.3546	0	0	
27	1	554.6472	1	730	2058	2857	4205	701	-0.5	200	1	1	561.1835	1	0	
28	0	571.9284	0	460	1105	2857	4205	501	-0.5	200	0	0	574.1922	1	0	
29	0	579.5545	0	460	1105	2857	4205	551	-6.5	200	0	0	581.0939	1	0	
30	0	586.2217	0	460	1105	2857	4205	951	-0.5	200	0	1	587.8120	0	1	
31	1	593.9898	0	460	1105	2857	4205	951	-0.5	200	0	0	594.9698	1	1	
32	0	601.5859	0	730	2058	2857	4205	651	-3.5	200	1	0	603.2023	0	0	
33	1	609.3195	1	730	2058	2857	4205	651	-3.5	200	1	1	616.3438	1	0	
34	0	627.6533	0	460	1105	2857	4205	851	-3.5	200	0	0	629.3727	1	0	
35	0	634.3807	0	460	1105	2857	4205	601	-6.5	200	0	0	635.8353	1	0	
36	0	641.1601	0	730	2058	2857	4205	901	-6.5	200	1	1	642.7049	1	0	
37	0	655.2356	0	730	2058	2857	4205	651	-0.5	200	1	0	656.7048	0	1	
38	1	664.3964	0	730	2058	2857	4205	651	-0.5	200	1	1	665.8713	1	1	
39	0	676.5265	0	460	1105	2857	4205	851	-3.5	200	0	1	678.3151	0	1	
40	1	686.2214	0	460	1105	2857	4205	851	-3.5	200	0	0	689.0811	1	1	
41	0	695.5962	0	730	2058	2857	4205	501	-9.5	200	1	1	697.5357	1	0	
42	0	709.1141	0	460	1105	2857	4205	701	-9.5	200	0	0	710.2027	1	0	
43	0	715.0211	0	460	1105	2857	4205	551	-0.5	200	0	0	716.0434	1	0	
44	0	721.2281	0	460	1105	2857	4205	751	-6.5	200	0	1	722.4392	0	1	
45	1	728.3467	1	460	1105	2857	4205	751	-6.5	200	0	1	733.7719	0	1	
46	1	740.6718	0	460	1105	2857	4205	751	-6.5	200	0	0	742.0599	1	1	
47	0	748.5995	0	730	2058	2857	4205	951	-0.5	200	1	1	750.2223	1	0	
48	0	762.0275	0	460	1105	2857	4205	1001	-9.5	200	0	0	763.3944	1	1	
49	0	769.1647	0	730	2058	2857	4205	801	-6.5	200	1	1	771.1936	1	1	
50	0	782.7292	0	730	2058	2857	4205	601	-3.5	200	1	0	783.9440	0	1	
51	1	792.8233	0	730	2058	2857	4205	601	-3.5	200	1	1	794.3559	1	1	
52	0	806.1802	0	730	2058	2857	4205	751	-9.5	200	1	1	807.7510	1	1	
53	0	820.6508	0	730	2058	2857	4205	701	-0.5	200	1	0	822.0962	0	1	
54	1	832.0233	0	730	2058	2857	4205	701	-0.5	200	1	0	833.3949	0	1	
55	1	852.1902	0	730	2058	2857	4205	701	-0.5	200	1	0	852.8842	0	1	
56	1	868.1853	0	730	2058	2857	4205	701	-0.5	200	1	1	874.4766	1	1	
57	0	885.5264	0	730	2058	2857	4205	501	-3.5	200	1	0	887.4181	0	0	
58	1	894.5299	1	730	2058	2857	4205	501	-3.5	200	1	0	899.8277	0	0	
59	1	906.2061	0	730	2058	2857	4205	501	-3.5	200	1	1	908.4237	1	0	
60	0	920.0369	0	460	1105	2857	4205	951	-6.5	200	0	0	921.4703	1	0	
61	0	926.3603	0	460	1105	2857	4205	651	-3.5	200	0	0	927.5644	1	0	
62	0	932.7768	0	460	1105	2857	4205	851	-6.5	200	0	1	934.3983	0	1	
63	1	940.4921	0	460	1105	2857	4205	851	-6.5	200	0	0	941.5311	1	1	
64	0	947.7123	0	460	1105	2857	4205	901	-9.5	200	0	1	950.9719	0	1	
65	1	957.8093	0	460	1105	2857	4205	901	-9.5	200	0	0	959.0675	1	1	
66	0	965.3463	0	730	2058	2857	4205	1001	-3.5	200	1	1	967.0255	1	1	
67	0	978.5537	0	730	2058	2857	4205	551	-6.5	200	1	1	980.6006	1	1	
68	0	992.5512	0	460	1105	2857	4205	851	-3.5	200	0	0	993.7270	1	1	
69	0	999.0599	0	730	2058	2857	4205	701	-9.5	200	1	1	1000.8076	1	0	
70	0	1011.9638	0	460	1105	2857	4205	801	-0.5	200	0	0	1013.0531	1	0	
71	0	1017.9326	0	730	2058	2857	4205	901	-0.5	200	1	1	1019.5841	1	0	
72	0	1033.1870	0	460	1105	2857	4205	601	-9.5	200	0	0	1034.4237	1	0	
73	0	1039.5521	0	730	2058	2857	4205	751	-9.5	200	1	1	1041.1182	1	1	
74	0	1055.0188	0	730	2058	2857	4205	651	-6.5	200	1	1	1057.2171	1	0	
75	0	1069.8854	0	460	1105	2857	4205	551	-0.5	200	0	0	1071.1858	1	1	
76	0	1078.4636	0	730	2058	2857	4205	951	-3.5	200	1	1	1079.6555	1	1	
