Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	2.0522	0	730	2058	2857	4205	751	10.0	200	1	0	8.2439	0	1	
2	1	15.2771	1	730	2058	2857	4205	751	10.0	200	1	1	22.9337	1	1	
3	0	30.9263	0	460	1105	2857	4205	901	0.0	200	0	0	32.2102	1	0	
4	0	35.8141	0	730	2058	2857	4205	551	0.0	200	1	1	37.7772	1	1	
5	0	43.6811	0	460	1105	2857	4205	651	0.0	200	0	0	45.3432	1	1	
6	0	50.5875	0	460	1105	2857	4205	501	10.0	200	0	0	51.7973	1	0	
7	0	56.8888	0	730	2058	2857	4205	951	-10.0	200	1	1	58.3054	1	0	
8	0	65.8568	0	730	2058	2857	4205	851	0.0	200	1	1	68.3197	1	0	
9	0	76.7007	0	730	2058	2857	4205	1001	-10.0	200	1	0	77.7679	0	1	
10	1	85.5383	1	730	2058	2857	4205	1001	-10.0	200	1	1	92.2446	1	1	
11	0	100.8081	0	730	2058	2857	4205	701	10.0	200	1	1	102.5810	1	0	
12	0	109.7582	0	460	1105	2857	4205	601	10.0	200	0	1	111.6748	0	1	
13	1	117.4938	0	460	1105	2857	4205	601	10.0	200	0	0	118.8746	1	1	
14	0	124.4537	0	460	1105	2857	4205	501	-10.0	200	0	0	125.7020	1	1	
15	0	130.9942	0	460	1105	2857	4205	951	-10.0	200	0	0	132.0528	1	0	
16	0	136.9543	0	460	1105	2857	4205	801	-10.0	200	0	1	138.6081	0	1	
17	1	146.2497	0	460	1105	2857	4205	801	-10.0	200	0	0	147.3208	1	1	
18	0	152.5132	0	730	2058	2857	4205	1001	-10.0	200	1	0	153.3984	0	0	
19	1	161.1671	0	730	2058	2857	4205	1001	-10.0	200	1	1	162.7255	1	0	
20	0	168.7996	0	730	2058	2857	4205	901	-10.0	200	1	1	170.6236	1	1	
21	0	179.4912	1	730	2058	2857	4205	551	0.0	200	1	0	185.5574	0	0	
22	1	193.0053	0	730	2058	2857	4205	551	0.0	200	1	1	195.3567	1	0	
23	0	202.0422	0	730	2058	2857	4205	701	0.0	200	1	1	203.6576	1	1	
24	0	211.3098	0	460	1105	2857	4205	851	10.0	200	0	0	212.5028	1	0	
25	0	216.9860	0	730	2058	2857	4205	751	10.0	200	1	1	218.5294	1	0	
26	0	226.1647	1	460	1105	2857	4205	651	10.0	200	0	1	233.0278	0	1	
27	1	240.4894	0	460	1105	2857	4205	651	10.0	200	0	0	241.8725	1	1	
28	0	248.2620	0	460	1105	2857	4205	601	-10.0	200	0	0	249.3902	1	0	
29	0	254.4207	1	460	1105	2857	4205	751	0.0	200	0	0	258.2769	1	0	
30	0	264.5285	0	730	2058	2857	4205	501	10.0	200	1	1	266.1455	1	1	
31	0	271.6225	0	460	1105	2857	4205	651	0.0	200	0	0	273.3704	1	1	
32	0	278.3275	0	730	2058	2857	4205	951	0.0	200	1	1	279.8721	1	0	
33	0	285.8347	0	460	1105	2857	4205	851	0.0	200	0	1	287.7282	0	1	
34	1	295.1138	0	460	1105	2857	4205	851	0.0	200	0	0	296.3350	1	1	
35	0	301.5985	0	460	1105	2857	4205	901	10.0	200	0	1	302.9244	0	1	
36	1	312.9004	0	460	1105	2857	4205	901	10.0	200	0	1	315.3800	0	1	
37	1	321.8220	0	460	1105	2857	4205	901	10.0	200	0	1	331.3871	0	1	
38	1	342.6604	0	460	1105	2857	4205	901	10.0	200	0	0	344.6521	1	1	
39	0	352.7011	0	460	1105	2857	4205	801	0.0	200	0	0	353.7754	1	0	
40	0	359.4421	0	730	2058	2857	4205	1001	10.0	200	1	1	360.8584	1	1	
41	0	366.9004	0	730	2058	2857	4205	701	10.0	200	1	1	368.9678	1	0	
42	0	375.6560	0	730	2058	2857	4205	901	0.0	200	1	0	377.3520	0	1	
43	1	384.1199	0	730	2058	2857	4205	901	0.0	200	1	1	386.6534	1	1	
44	0	418.6049	0	730	2058	2857	4205	501	-10.0	200	1	0	419.9080	0	1	
45	1	425.7541	0	730	2058	2857	4205	501	-10.0	200	1	0	426.8742	0	1	
46	1	446.9621	0	730	2058	2857	4205	501	-10.0	200	1	1	448.0757	1	1	
47	0	480.4463	0	460	1105	2857	4205	601	-10.0	200	0	0	481.4375	1	0	
48	0	486.2725	0	730	2058	2857	4205	551	-10.0	200	1	0	487.3064	0	0	
49	1	515.8629	0	730	2058	2857	4205	551	-10.0	200	1	1	522.2917	1	0	
50	0	527.5222	0	460	1105	2857	4205	701	-10.0	200	0	1	529.4129	0	1	
