Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
1	0	1000.6951	0	460	1105	2857	4205	651	8.5	200	0	0	1002.7716	1	1	
2	0	1010.8183	0	460	1105	2857	4205	951	-0.5	200	0	0	1012.1830	1	1	
3	0	1018.4698	0	460	1105	2857	4205	901	11.5	200	0	0	1019.7914	1	0	
4	0	1026.3048	0	460	1105	2857	4205	701	14.5	200	0	0	1027.4492	1	0	
5	0	1033.0848	0	730	2058	2857	4205	551	8.5	200	1	1	1034.7720	1	1	
6	0	1039.8797	0	730	2058	2857	4205	1001	-0.5	200	1	0	1042.1295	0	0	
7	1	1053.6725	0	730	2058	2857	4205	1001	-0.5	200	1	1	1055.1754	1	0	
8	0	1061.9159	0	730	2058	2857	4205	851	5.5	200	1	1	1063.3414	1	0	
9	0	1068.7604	0	460	1105	2857	4205	501	5.5	200	0	0	1070.1917	1	0	
10	0	1076.2836	0	460	1105	2857	4205	751	2.5	200	0	1	1077.8598	0	1	
11	1	1088.4506	0	460	1105	2857	4205	751	2.5	200	0	0	1089.5924	1	1	
12	0	1094.2093	0	460	1105	2857	4205	601	5.5	200	0	1	1095.9123	0	1	
13	1	1100.0343	0	460	1105	2857	4205	601	5.5	200	0	0	1101.3653	1	1	
14	0	1112.2982	0	730	2058	2857	4205	801	17.5	200	1	1	1115.0429	1	0	
15	0	1120.1549	0	730	2058	2857	4205	501	2.5	200	1	1	1122.2340	1	0	
16	0	1127.4762	0	460	1105	2857	4205	1001	-0.5	200	0	0	1128.6869	1	0	
17	0	1133.9939	0	730	2058	2857	4205	951	11.5	200	1	0	1135.5781	0	1	
18	1	1140.1433	0	730	2058	2857	4205	951	11.5	200	1	1	1141.5173	1	1	
19	0	1147.7202	0	730	2058	2857	4205	751	14.5	200	1	1	1148.7231	1	1	
20	0	1155.3957	0	730	2058	2857	4205	601	5.5	200	1	1	1156.7928	1	1	
21	0	1162.4683	0	730	2058	2857	4205	901	11.5	200	1	1	1164.0622	1	0	
22	0	1169.1880	0	460	1105	2857	4205	851	11.5	200	0	0	1170.7467	1	1	
23	0	1177.0062	0	730	2058	2857	4205	551	14.5	200	1	1	1178.6411	1	0	
24	0	1183.3097	0	460	1105	2857	4205	701	8.5	200	0	0	1184.7221	1	0	
25	0	1189.9363	0	730	2058	2857	4205	501	17.5	200	1	1	1191.4786	1	1	
26	0	1196.8206	0	730	2058	2857	4205	1001	-0.5	200	1	1	1198.2968	1	1	
27	0	1204.3490	0	460	1105	2857	4205	601	14.5	200	0	1	1206.1227	0	1	
