Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
64	0	1157.3311	0	730	2058	2857	4205	801	5.5	200	1	1	1159.2191	1	1	
65	0	1166.8396	0	730	2058	2857	4205	1001	3.5	200	1	1	1168.9048	1	1	
66	0	1177.0810	0	730	2058	2857	4205	901	-2.5	200	1	1	1179.2257	1	0	
67	0	1188.3766	0	730	2058	2857	4205	951	-2.5	200	1	1	1190.1895	1	1	
68	0	1200.4662	1	730	2058	2857	4205	851	-4.5	200	1	1	1205.8719	1	0	
69	0	1211.7694	0	460	1105	2857	4205	551	-2.5	200	0	0	1213.8656	1	1	
70	0	1219.4909	0	460	1105	2857	4205	501	-6.5	200	0	0	1220.9642	1	0	
71	0	1225.2040	0	730	2058	2857	4205	601	-6.5	200	1	0	1227.4033	0	0	
72	1	1233.6279	1	730	2058	2857	4205	601	-6.5	200	1	0	1239.6084	0	0	
73	1	1249.6195	0	730	2058	2857	4205	601	-6.5	200	1	1	1251.9830	1	0	
74	0	1257.8416	0	730	2058	2857	4205	501	1.5	200	1	1	1260.3218	1	0	
75	0	1267.2638	0	460	1105	2857	4205	801	-0.5	200	0	1	1269.8489	0	1	
76	1	1278.8586	0	460	1105	2857	4205	801	-0.5	200	0	0	1280.0693	1	1	
77	0	1286.3662	1	730	2058	2857	4205	751	-4.5	200	1	0	1290.9069	0	1	
78	1	1295.9925	0	730	2058	2857	4205	751	-4.5	200	1	0	1296.9229	0	1	
79	1	1305.6090	0	730	2058	2857	4205	751	-4.5	200	1	1	1307.7923	1	1	
80	0	1316.7863	0	730	2058	2857	4205	951	3.5	200	1	1	1318.6218	1	0	
81	0	1325.3899	0	460	1105	2857	4205	651	-6.5	200	0	0	1327.0007	1	1	
82	0	1333.5724	0	460	1105	2857	4205	1001	-4.5	200	0	0	1335.1045	1	0	
83	0	1340.2234	0	730	2058	2857	4205	851	3.5	200	1	1	1341.5390	1	0	
84	0	1348.6404	0	730	2058	2857	4205	551	3.5	200	1	1	1351.0158	1	1	
85	0	1359.1137	0	730	2058	2857	4205	701	-4.5	200	1	1	1361.4429	1	1	
86	0	1369.4311	0	460	1105	2857	4205	901	-6.5	200	0	0	1371.1292	1	1	
87	0	1376.7157	0	460	1105	2857	4205	701	-2.5	200	0	0	1377.9065	1	0	
88	0	1382.6312	0	730	2058	2857	4205	951	5.5	200	1	1	1383.7715	1	0	
89	0	1391.9555	0	730	2058	2857	4205	801	5.5	200	1	1	1393.8552	1	1	
90	0	1401.0519	0	460	1105	2857	4205	501	1.5	200	0	1	1403.2726	0	1	
91	1	1407.2891	0	460	1105	2857	4205	501	1.5	200	0	0	1408.2410	1	1	
92	0	1414.2226	0	730	2058	2857	4205	1001	-6.5	200	1	1	1415.8833	1	0	
93	0	1422.7245	0	460	1105	2857	4205	851	-0.5	200	0	1	1424.6435	0	0	
94	1	1432.5052	0	460	1105	2857	4205	851	-0.5	200	0	0	1433.4445	1	0	
95	0	1443.4979	0	460	1105	2857	4205	651	-0.5	200	0	0	1444.8751	1	1	
96	0	1449.5433	0	730	2058	2857	4205	551	1.5	200	1	1	1451.4140	1	0	
97	0	1457.9412	0	730	2058	2857	4205	601	-0.5	200	1	1	1460.1570	1	1	
98	0	1467.1187	0	460	1105	2857	4205	901	5.5	200	0	1	1468.9111	0	1	
99	1	1479.1850	0	460	1105	2857	4205	901	5.5	200	0	0	1483.5815	1	1	
100	0	1489.0554	1	730	2058	2857	4205	801	-4.5	200	1	0	1494.3024	0	0	
101	1	1506.5907	0	730	2058	2857	4205	801	-4.5	200	1	1	1512.8232	1	0	
102	0	1518.4965	1	460	1105	2857	4205	951	-4.5	200	0	0	1522.4596	1	0	
103	0	1527.6543	1	730	2058	2857	4205	1001	-6.5	200	1	0	1532.5381	0	1	
104	1	1540.2197	0	730	2058	2857	4205	1001	-6.5	200	1	1	1543.6992	1	1	
