Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset
1	0	7.552	0	730	2058	2857	4205	601	-13	200	1	8	8.694	0	10	1	-150	100
2	1	12.302	0	730	2058	2857	4205	601	-13	200	1	8	13.091	0	10	1	-150	100
3	1	18.921	0	730	2058	2857	4205	601	-13	200	1	8	19.556	0	10	1	-150	100
4	1	23.202	0	730	2058	2857	4205	601	-13	200	1	2	23.739	1	10	1	-150	100
5	0	37.42	0	460	1105	2857	4205	1001	-6.4	200	0	8	38.492	1	10	1	-150	100
6	0	48.244	0	730	2058	2857	4205	901	-9.7	200	1	8	48.905	0	10	1	-150	100
7	1	52.902	0	730	2058	2857	4205	901	-9.7	200	1	2	53.525	1	10	1	-150	100
8	0	62.56	0	460	1105	2857	4205	501	0.1	200	0	2	63.297	0	10	1	-150	100
9	1	69.222	0	460	1105	2857	4205	501	0.1	200	0	8	70.469	1	10	1	-150	100
10	0	81.074	0	460	1105	2857	4205	701	10	200	0	2	81.799	0	10	1	-150	100
11	1	87.568	0	460	1105	2857	4205	701	10	200	0	8	88.322	1	10	1	-150	100
12	0	99.215	0	460	1105	2857	4205	701	-3.1	200	0	8	100.283	1	10	1	-150	100
13	0	114.516	0	730	2058	2857	4205	901	3.4	200	1	2	115.087	1	10	1	-150	100
14	0	124.406	0	730	2058	2857	4205	601	-9.7	200	1	2	125.451	1	10	1	-150	100
15	0	132.46	0	730	2058	2857	4205	501	-3.1	200	1	8	133.677	0	10	1	-150	100
16	1	140.504	0	730	2058	2857	4205	501	-3.1	200	1	8	141.659	0	10	1	-150	100
17	1	147.9	0	730	2058	2857	4205	501	-3.1	200	1	8	149.289	0	10	1	-150	100
18	1	152.81	0	730	2058	2857	4205	501	-3.1	200	1	2	153.403	1	10	1	-150	100
19	0	166.736	0	460	1105	2857	4205	1001	-6.4	200	0	8	167.499	1	10	1	-150	100
20	0	181.975	0	730	2058	2857	4205	1001	-13	200	1	8	182.758	0	10	1	-150	100
21	1	189.501	0	730	2058	2857	4205	1001	-13	200	1	2	190.407	1	10	1	-150	100
22	0	197.324	0	460	1105	2857	4205	801	6.7	200	0	8	198.036	1	10	1	-150	100
23	0	207.825	0	460	1105	2857	4205	701	0.1	200	0	2	208.416	0	10	1	-150	100
24	1	214.187	0	460	1105	2857	4205	701	0.1	200	0	8	214.883	1	10	1	-150	100
25	0	229.006	0	730	2058	2857	4205	601	3.4	200	1	8	230.124	0	10	1	-150	100
26	1	236.184	0	730	2058	2857	4205	601	3.4	200	1	8	236.922	0	10	1	-150	100
27	1	243.967	0	730	2058	2857	4205	601	3.4	200	1	8	244.775	0	10	1	-150	100
28	1	250.813	0	730	2058	2857	4205	601	3.4	200	1	2	251.939	1	10	1	-150	100
29	0	271.611	0	730	2058	2857	4205	901	6.7	200	1	2	272.2	1	10	1	-150	100
30	0	285.701	0	460	1105	2857	4205	901	3.4	200	0	8	286.365	1	10	1	-150	100
31	0	310.661	0	730	2058	2857	4205	1001	-13	200	1	2	311.388	1	10	1	-150	100
32	0	320.305	0	730	2058	2857	4205	701	-3.1	200	1	2	321.49	1	10	1	-150	100
33	0	335.425	0	730	2058	2857	4205	501	0.1	200	1	2	336.355	1	10	1	-150	100
34	0	354.882	0	730	2058	2857	4205	801	-9.7	200	1	8	355.737	0	10	1	-150	100
35	1	362.817	0	730	2058	2857	4205	801	-9.7	200	1	8	363.874	0	10	1	-150	100
36	1	367.715	0	730	2058	2857	4205	801	-9.7	200	1	2	368.4	1	10	1	-150	100
37	0	380.031	0	460	1105	2857	4205	501	10	200	0	8	380.804	1	10	1	-150	100
38	0	393.275	0	460	1105	2857	4205	901	10	200	0	8	394.18	1	10	1	-150	100
39	0	406.137	0	460	1105	2857	4205	1001	-3.1	200	0	8	406.798	1	10	1	-150	100
40	0	419.548	0	460	1105	2857	4205	601	0.1	200	0	8	420.42	1	10	1	-150	100
41	0	431.224	0	460	1105	2857	4205	701	-13	200	0	8	431.986	1	10	1	-150	100
42	0	443.336	0	460	1105	2857	4205	1001	-6.4	200	0	8	444.282	1	10	1	-150	100
43	0	453.837	0	460	1105	2857	4205	601	-9.7	200	0	8	454.838	1	10	1	-150	100
44	0	465.516	0	730	2058	2857	4205	901	3.4	200	1	2	466.486	1	10	1	-150	100
45	0	475.068	0	460	1105	2857	4205	801	6.7	200	0	2	475.728	0	10	1	-150	100
46	1	482.183	0	460	1105	2857	4205	801	6.7	200	0	8	483.013	1	10	1	-150	100
47	0	493.322	0	730	2058	2857	4205	701	10	200	1	8	494.166	0	10	1	-150	100
