Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
1	0	29.040	0	460	1105	2857	4205	801	-3.3	200	0	8	29.926	1	10	1	-150	100	
2	0	47.226	0	730	2058	2857	4205	1001	0.0	200	1	8	48.089	0	10	1	-150	100	
3	1	53.220	0	730	2058	2857	4205	1001	0.0	200	1	8	54.362	0	10	0	-150	100	
4	1	58.855	0	730	2058	2857	4205	1001	0.0	200	1	2	60.040	1	10	0	-150	100	
5	0	71.489	0	730	2058	2857	4205	701	6.7	200	1	8	73.347	0	10	1	-150	100	
6	1	81.489	0	730	2058	2857	4205	701	6.7	200	1	8	83.169	0	10	0	-150	100	
7	1	86.900	0	730	2058	2857	4205	701	6.7	200	1	2	88.579	1	10	0	-150	100	
8	0	101.192	0	730	2058	2857	4205	501	3.3	200	1	2	102.311	1	10	0	-150	100	
9	0	112.894	0	460	1105	2857	4205	901	-6.7	200	0	8	113.973	1	10	0	-150	100	
10	0	124.786	0	730	2058	2857	4205	901	10.0	200	1	2	125.677	1	10	0	-150	100	
11	0	140.791	0	460	1105	2857	4205	701	10.0	200	0	2	141.915	0	10	1	-150	100	
12	1	155.840	0	460	1105	2857	4205	701	10.0	200	0	2	163.220	0	10	0	-150	100	
13	1	167.007	0	460	1105	2857	4205	701	10.0	200	0	2	168.517	0	10	0	-150	100	
14	1	173.071	0	460	1105	2857	4205	701	10.0	200	0	8	174.453	1	10	0	-150	100	
15	0	193.981	0	460	1105	2857	4205	801	-10.0	200	0	2	195.982	0	10	0	-150	100	
16	1	203.334	0	460	1105	2857	4205	801	-10.0	200	0	8	204.241	1	10	0	-150	100	
17	0	220.002	0	730	2058	2857	4205	601	-3.3	200	1	2	220.884	1	10	0	-150	100	
18	0	234.992	0	730	2058	2857	4205	1001	3.3	200	1	2	235.671	1	10	1	-150	100	
19	0	248.126	0	460	1105	2857	4205	801	-6.7	200	0	8	248.857	1	10	1	-150	100	
20	0	266.990	0	460	1105	2857	4205	1001	6.7	200	0	8	268.256	1	10	1	-150	100	
21	0	282.170	0	730	2058	2857	4205	601	-3.3	200	1	2	283.244	1	10	0	-150	100	
22	0	300.551	0	460	1105	2857	4205	901	0.0	200	0	8	301.715	1	10	0	-150	100	
23	0	333.984	0	460	1105	2857	4205	701	3.3	200	0	8	334.844	1	10	0	-150	100	
24	0	344.774	0	730	2058	2857	4205	1001	-10.0	200	1	2	346.355	1	10	1	-150	100	
25	0	354.758	0	460	1105	2857	4205	501	-6.7	200	0	8	355.787	1	10	1	-150	100	
26	0	371.382	0	460	1105	2857	4205	901	10.0	200	0	2	372.316	0	10	0	-150	100	
27	1	379.083	0	460	1105	2857	4205	901	10.0	200	0	8	380.263	1	10	0	-150	100	
28	0	393.287	0	730	2058	2857	4205	701	3.3	200	1	2	394.200	1	10	1	-150	100	
29	0	404.709	0	730	2058	2857	4205	801	0.0	200	1	2	405.489	1	10	0	-150	100	
30	0	415.727	0	730	2058	2857	4205	1001	10.0	200	1	2	416.387	1	10	0	-150	100	
31	0	426.899	0	460	1105	2857	4205	501	-10.0	200	0	8	427.697	1	10	0	-150	100	
32	0	443.644	0	460	1105	2857	4205	701	-6.7	200	0	8	444.525	1	10	1	-150	100	
33	0	456.395	0	730	2058	2857	4205	901	6.7	200	1	2	457.283	1	10	1	-150	100	
34	0	467.166	0	460	1105	2857	4205	601	-10.0	200	0	2	468.019	0	10	1	-150	100	
35	1	474.323	0	460	1105	2857	4205	601	-10.0	200	0	8	475.638	1	10	0	-150	100	
36	0	491.412	0	460	1105	2857	4205	901	6.7	200	0	8	492.722	1	10	0	-150	100	
37	0	506.636	0	730	2058	2857	4205	801	-6.7	200	1	2	507.497	1	10	1	-150	100	
38	0	518.297	0	730	2058	2857	4205	1001	10.0	200	1	2	519.117	1	10	0	-150	100	
39	0	527.841	0	730	2058	2857	4205	601	0.0	200	1	2	528.795	1	10	1	-150	100	
40	0	538.690	0	460	1105	2857	4205	501	3.3	200	0	2	539.789	0	10	1	-150	100	
41	1	547.070	0	460	1105	2857	4205	501	3.3	200	0	2	549.587	0	10	0	-150	100	
42	1	555.804	0	460	1105	2857	4205	501	3.3	200	0	8	556.906	1	10	0	-150	100	
43	0	573.563	0	730	2058	2857	4205	1001	-6.7	200	1	2	574.337	1	10	0	-150	100	
44	0	586.006	0	460	1105	2857	4205	701	10.0	200	0	2	586.743	0	10	0	-150	100	
45	1	593.192	0	460	1105	2857	4205	701	10.0	200	0	8	594.171	1	10	0	-150	100	
46	0	606.147	0	730	2058	2857	4205	501	-10.0	200	1	8	606.941	0	10	1	-150	100	
47	1	613.658	0	730	2058	2857	4205	501	-10.0	200	1	2	614.660	1	10	0	-150	100	
48	0	624.859	0	460	1105	2857	4205	601	0.0	200	0	2	625.744	0	10	0	-150	100	
49	1	629.925	0	460	1105	2857	4205	601	0.0	200	0	8	632.513	1	10	0	-150	100	
50	0	647.900	0	730	2058	2857	4205	801	-3.3	200	1	2	648.590	1	10	0	-150	100	
51	0	658.898	0	460	1105	2857	4205	601	6.7	200	0	2	659.735	0	10	0	-150	100	
52	1	672.503	0	460	1105	2857	4205	601	6.7	200	0	8	673.323	1	10	0	-150	100	
53	0	692.520	0	460	1105	2857	4205	1001	0.0	200	0	2	693.232	0	10	1	-150	100	
54	1	700.579	0	460	1105	2857	4205	1001	0.0	200	0	8	701.579	1	10	0	-150	100	
55	0	712.323	0	730	2058	2857	4205	701	3.3	200	1	2	713.465	1	10	1	-150	100	
56	0	723.577	0	460	1105	2857	4205	801	10.0	200	0	2	724.379	0	10	1	-150	100	
57	1	732.238	0	460	1105	2857	4205	801	10.0	200	0	8	732.914	1	10	0	-150	100	
58	0	745.861	0	730	2058	2857	4205	901	6.7	200	1	2	746.474	1	10	0	-150	100	
59	0	761.217	0	730	2058	2857	4205	801	-6.7	200	1	8	762.044	0	10	1	-150	100	
60	1	766.377	0	730	2058	2857	4205	801	-6.7	200	1	8	767.072	0	10	0	-150	100	
61	1	770.920	0	730	2058	2857	4205	801	-6.7	200	1	2	771.633	1	10	0	-150	100	
