Chart Properties
---------------------------------------------------------------------------------
Enabled:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Visible:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Ambient:	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	
Process Color:	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	-65536	
Ambient Color:	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	-16776961	
Process Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Ambient Left Axis:	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	
Logging Process Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
Logging Ambient Units:	°C	°C	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	Default	
---------------------------------------------------------------------------------

Interval:	1	Seconds
DataPoint	LogDate	LogTime	1-P °C	1-A °C	2-P °C	2-A °C
0	06/18/2014	14:10:02	25	22.6	34	22.1
1	06/18/2014	14:10:03	25	22.6	34	22.1
2	06/18/2014	14:10:04	24	22.6	34	22.1
3	06/18/2014	14:10:05	24	22.6	34	22.1
4	06/18/2014	14:10:06	23	22.6	34	22.1
5	06/18/2014	14:10:07	22	22.6	34	22.1
6	06/18/2014	14:10:08	22	22.6	34	22.1
7	06/18/2014	14:10:09	22	22.6	34	22.1
8	06/18/2014	14:10:10	21	22.6	34	22.1
9	06/18/2014	14:10:11	21	22.6	34	22.1
10	06/18/2014	14:10:12	20	22.6	34	22.1
11	06/18/2014	14:10:13	20	22.6	34	22.1
12	06/18/2014	14:10:14	20	22.6	34	22.1
13	06/18/2014	14:10:15	19	22.6	34	22.1
14	06/18/2014	14:10:16	19	22.6	34	22.1
15	06/18/2014	14:10:17	19	22.6	34	22.1
16	06/18/2014	14:10:18	19	22.6	34	22.1
17	06/18/2014	14:10:19	18	22.6	34	22.1
18	06/18/2014	14:10:21	18	22.6	34	22.1
19	06/18/2014	14:10:22	18	22.6	34	22.1
20	06/18/2014	14:10:23	17	22.6	34	22.1
21	06/18/2014	14:10:24	17	22.6	34	22.1
22	06/18/2014	14:10:25	17	22.6	34	22.1
23	06/18/2014	14:10:26	17	22.6	34	22.1
24	06/18/2014	14:10:27	17	22.6	34	22.1
25	06/18/2014	14:10:28	16	22.6	34	22.1
26	06/18/2014	14:10:29	16	22.6	34	22.1
27	06/18/2014	14:10:30	16	22.6	34	22.1
28	06/18/2014	14:10:31	16	22.6	34	22.1
29	06/18/2014	14:10:32	15	22.6	34	22.1
30	06/18/2014	14:10:33	15	22.6	34	22.1
31	06/18/2014	14:10:34	15	22.6	34	22.1
32	06/18/2014	14:10:35	15	22.6	34	22.1
33	06/18/2014	14:10:36	15	22.6	34	22.1
34	06/18/2014	14:10:37	15	22.6	34	22.1
35	06/18/2014	14:10:38	14	22.6	34	22.1
36	06/18/2014	14:10:39	14	22.6	34	22.1
37	06/18/2014	14:10:40	14	22.6	34	22.1
38	06/18/2014	14:10:41	14	22.6	34	22.1
39	06/18/2014	14:10:42	14	22.6	34	22.1
40	06/18/2014	14:10:43	14	22.6	34	22.1
41	06/18/2014	14:10:44	14	22.6	34	22.1
42	06/18/2014	14:10:45	14	22.6	34	22.1
43	06/18/2014	14:10:46	14	22.6	34	22.1
44	06/18/2014	14:10:47	14	22.6	34	22.1
45	06/18/2014	14:10:48	14	22.6	34	22.1
46	06/18/2014	14:10:49	14	22.6	34	22.1
47	06/18/2014	14:10:50	14	22.6	34	22.1
48	06/18/2014	14:10:51	14	22.6	34	22.1
49	06/18/2014	14:10:52	14	22.6	34	22.1
50	06/18/2014	14:10:53	13	22.6	34	22.1
51	06/18/2014	14:10:54	13	22.6	34	22.1
52	06/18/2014	14:10:55	13	22.6	34	22.1
53	06/18/2014	14:10:56	13	22.6	34	22.1
54	06/18/2014	14:10:57	13	22.6	34	22.1
55	06/18/2014	14:10:58	13	22.6	34	22.1
56	06/18/2014	14:10:59	13	22.6	34	22.1
57	06/18/2014	14:11:00	13	22.6	34	22.1
58	06/18/2014	14:11:01	13	22.6	34	22.1
59	06/18/2014	14:11:02	13	22.6	34	22.1
60	06/18/2014	14:11:03	13	22.6	34	22.1
61	06/18/2014	14:11:04	13	22.6	34	22.1
62	06/18/2014	14:11:05	13	22.6	34	22.1
63	06/18/2014	14:11:06	12	22.6	34	22.1
64	06/18/2014	14:11:07	12	22.6	34	22.1
65	06/18/2014	14:11:08	12	22.6	34	22.1
66	06/18/2014	14:11:09	12	22.6	34	22.1
67	06/18/2014	14:11:10	12	22.6	34	22.1
68	06/18/2014	14:11:11	12	22.6	34	22.1
69	06/18/2014	14:11:12	12	22.6	34	22.1
70	06/18/2014	14:11:13	12	22.6	34	22.1
71	06/18/2014	14:11:14	12	22.6	34	22.1
72	06/18/2014	14:11:15	12	22.6	34	22.1
73	06/18/2014	14:11:16	12	22.6	34	22.1
74	06/18/2014	14:11:17	12	22.6	34	22.1
75	06/18/2014	14:11:18	12	22.6	34	22.1
76	06/18/2014	14:11:19	12	22.6	34	22.1
77	06/18/2014	14:11:20	12	22.6	34	22.1
78	06/18/2014	14:11:21	11	22.6	34	22.1
79	06/18/2014	14:11:22	11	22.6	34	22.1
80	06/18/2014	14:11:23	11	22.6	34	22.1
81	06/18/2014	14:11:24	11	22.6	34	22.1
82	06/18/2014	14:11:25	11	22.6	34	22.1
83	06/18/2014	14:11:26	11	22.6	34	22.1
84	06/18/2014	14:11:27	11	22.6	34	22.1
85	06/18/2014	14:11:28	11	22.6	34	22.1
86	06/18/2014	14:11:29	11	22.6	34	22.1
87	06/18/2014	14:11:30	11	22.6	34	22.1
88	06/18/2014	14:11:31	11	22.6	34	22.1
89	06/18/2014	14:11:33	11	22.6	34	22.1
90	06/18/2014	14:11:34	11	22.6	34	22.1
91	06/18/2014	14:11:35	11	22.6	34	22.1
92	06/18/2014	14:11:36	11	22.6	34	22.1
93	06/18/2014	14:11:37	11	22.6	34	22.1
94	06/18/2014	14:11:38	11	22.6	34	22.1
95	06/18/2014	14:11:39	11	22.6	34	22.1
96	06/18/2014	14:11:40	11	22.6	34	22.1
97	06/18/2014	14:11:41	11	22.6	34	22.1
98	06/18/2014	14:11:42	11	22.6	34	22.1
99	06/18/2014	14:11:43	11	22.6	34	22.1
100	06/18/2014	14:11:44	11	22.6	34	22.1
101	06/18/2014	14:11:45	11	22.6	34	22.1
102	06/18/2014	14:11:46	11	22.6	34	22.1
103	06/18/2014	14:11:47	11	22.6	34	22.1
104	06/18/2014	14:11:48	11	22.6	34	22.1
105	06/18/2014	14:11:49	11	22.6	34	22.1
106	06/18/2014	14:11:50	11	22.6	34	22.1
107	06/18/2014	14:11:51	11	22.6	34	22.1
108	06/18/2014	14:11:52	11	22.6	34	22.1
109	06/18/2014	14:11:53	11	22.6	34	22.1
110	06/18/2014	14:11:54	11	22.6	34	22.1
111	06/18/2014	14:11:55	11	22.6	34	22.1
112	06/18/2014	14:11:56	11	22.6	34	22.1
113	06/18/2014	14:11:57	11	22.6	34	22.1
114	06/18/2014	14:11:58	11	22.6	34	22.1
115	06/18/2014	14:11:59	11	22.6	34	22.1
116	06/18/2014	14:12:00	11	22.6	34	22.1
117	06/18/2014	14:12:01	11	22.6	34	22.1
118	06/18/2014	14:12:02	11	22.6	34	22.1
119	06/18/2014	14:12:03	11	22.6	34	22.1
120	06/18/2014	14:12:04	11	22.6	34	22.1
121	06/18/2014	14:12:05	11	22.6	34	22.1
122	06/18/2014	14:12:06	11	22.6	34	22.1
123	06/18/2014	14:12:07	10	22.6	34	22.1
124	06/18/2014	14:12:08	10	22.6	34	22.1
125	06/18/2014	14:12:09	10	22.6	34	22.1
126	06/18/2014	14:12:10	10	22.6	34	22.1
127	06/18/2014	14:12:11	10	22.6	34	22.1
128	06/18/2014	14:12:12	10	22.6	34	22.1
129	06/18/2014	14:12:13	10	22.6	34	22.1
130	06/18/2014	14:12:14	10	22.6	34	22.1
131	06/18/2014	14:12:15	10	22.6	34	22.1
132	06/18/2014	14:12:16	10	22.6	34	22.1
133	06/18/2014	14:12:17	10	22.6	34	22.1
134	06/18/2014	14:12:18	10	22.6	34	22.1
135	06/18/2014	14:12:19	10	22.6	34	22.1
136	06/18/2014	14:12:20	10	22.6	34	22.1
137	06/18/2014	14:12:21	10	22.6	34	22.1
138	06/18/2014	14:12:22	10	22.6	34	22.1
139	06/18/2014	14:12:23	10	22.6	34	22.1
140	06/18/2014	14:12:24	10	22.6	34	22.1
141	06/18/2014	14:12:25	10	22.6	34	22.1
142	06/18/2014	14:12:26	10	22.6	34	22.1
143	06/18/2014	14:12:27	10	22.6	34	22.1
144	06/18/2014	14:12:28	10	22.6	34	22.1
145	06/18/2014	14:12:29	10	22.6	34	22.1
146	06/18/2014	14:12:30	10	22.6	34	22.1
147	06/18/2014	14:12:31	10	22.6	34	22.1
148	06/18/2014	14:12:32	10	22.6	34	22.1
149	06/18/2014	14:12:33	10	22.6	34	22.1
150	06/18/2014	14:12:34	10	22.6	34	22.1
151	06/18/2014	14:12:35	10	22.6	34	22.1
152	06/18/2014	14:12:36	10	22.6	34	22.1
153	06/18/2014	14:12:37	10	22.6	34	22.1
154	06/18/2014	14:12:38	10	22.6	34	22.1
155	06/18/2014	14:12:39	10	22.6	34	22.1
156	06/18/2014	14:12:40	10	22.6	34	22.1
157	06/18/2014	14:12:41	10	22.6	34	22.1
158	06/18/2014	14:12:42	10	22.6	34	22.1
159	06/18/2014	14:12:43	10	22.6	34	22.1
160	06/18/2014	14:12:45	9	22.6	34	22.1
161	06/18/2014	14:12:46	9	22.6	34	22.1
162	06/18/2014	14:12:47	9	22.6	34	22.1
163	06/18/2014	14:12:48	9	22.6	34	22.1
164	06/18/2014	14:12:49	9	22.6	34	22.1
165	06/18/2014	14:12:50	9	22.6	34	22.1
166	06/18/2014	14:12:51	9	22.6	34	22.1
167	06/18/2014	14:12:52	9	22.6	34	22.1
168	06/18/2014	14:12:53	9	22.6	34	22.1
169	06/18/2014	14:12:54	9	22.6	34	22.1
170	06/18/2014	14:12:55	9	22.6	34	22.1
171	06/18/2014	14:12:56	9	22.6	34	22.1
172	06/18/2014	14:12:57	9	22.6	34	22.1
173	06/18/2014	14:12:58	9	22.6	34	22.1
174	06/18/2014	14:12:59	9	22.6	34	22.1
175	06/18/2014	14:13:00	9	22.6	34	22.1
176	06/18/2014	14:13:01	9	22.6	34	22.1
177	06/18/2014	14:13:02	9	22.6	34	22.1
178	06/18/2014	14:13:03	9	22.6	34	22.1
179	06/18/2014	14:13:04	9	22.6	34	22.1
180	06/18/2014	14:13:05	9	22.6	34	22.1
181	06/18/2014	14:13:06	9	22.6	34	22.1
182	06/18/2014	14:13:07	9	22.6	34	22.1
183	06/18/2014	14:13:08	9	22.6	34	22.1
184	06/18/2014	14:13:09	9	22.6	34	22.1
185	06/18/2014	14:13:10	9	22.6	34	22.1
186	06/18/2014	14:13:11	9	22.6	34	22.1
187	06/18/2014	14:13:12	9	22.6	34	22.1
188	06/18/2014	14:13:13	9	22.6	34	22.1
189	06/18/2014	14:13:14	9	22.6	34	22.1
190	06/18/2014	14:13:15	9	22.6	34	22.1
191	06/18/2014	14:13:16	9	22.6	34	22.1
192	06/18/2014	14:13:17	9	22.6	34	22.1
193	06/18/2014	14:13:18	10	22.6	34	22.1
194	06/18/2014	14:13:19	10	22.6	34	22.1
195	06/18/2014	14:13:20	10	22.6	34	22.1
196	06/18/2014	14:13:21	10	22.6	34	22.1
197	06/18/2014	14:13:22	10	22.6	34	22.1
198	06/18/2014	14:13:23	10	22.6	34	22.1
199	06/18/2014	14:13:24	10	22.6	34	22.1
200	06/18/2014	14:13:25	10	22.6	34	22.1
201	06/18/2014	14:13:26	10	22.6	34	22.1
202	06/18/2014	14:13:27	10	22.6	34	22.1
203	06/18/2014	14:13:28	10	22.6	34	22.1
204	06/18/2014	14:13:29	10	22.6	34	22.1
205	06/18/2014	14:13:30	10	22.6	34	22.1
206	06/18/2014	14:13:31	10	22.6	34	22.1
207	06/18/2014	14:13:32	10	22.6	34	22.1
208	06/18/2014	14:13:33	10	22.6	34	22.1
209	06/18/2014	14:13:34	10	22.6	34	22.1
210	06/18/2014	14:13:35	10	22.6	34	22.1
211	06/18/2014	14:13:36	10	22.6	34	22.1
212	06/18/2014	14:13:37	10	22.6	34	22.1
213	06/18/2014	14:13:38	10	22.6	34	22.1
214	06/18/2014	14:13:39	10	22.6	34	22.1
215	06/18/2014	14:13:40	10	22.6	34	22.1
216	06/18/2014	14:13:41	10	22.6	34	22.1
217	06/18/2014	14:13:42	10	22.6	34	22.1
218	06/18/2014	14:13:43	10	22.6	34	22.1
219	06/18/2014	14:13:44	10	22.6	34	22.1
220	06/18/2014	14:13:45	10	22.6	34	22.1
221	06/18/2014	14:13:46	10	22.6	34	22.1
222	06/18/2014	14:13:47	10	22.6	34	22.1
223	06/18/2014	14:13:48	10	22.6	34	22.1
224	06/18/2014	14:13:49	10	22.6	34	22.1
225	06/18/2014	14:13:50	10	22.6	34	22.1
226	06/18/2014	14:13:51	10	22.6	34	22.1
227	06/18/2014	14:13:52	10	22.6	34	22.1
228	06/18/2014	14:13:53	10	22.6	34	22.1
229	06/18/2014	14:13:54	10	22.6	34	22.1
230	06/18/2014	14:13:55	10	22.6	34	22.1
231	06/18/2014	14:13:56	10	22.6	34	22.1
232	06/18/2014	14:13:58	10	22.6	34	22.1
233	06/18/2014	14:13:59	10	22.6	34	22.1
234	06/18/2014	14:14:00	10	22.6	34	22.1
235	06/18/2014	14:14:01	10	22.6	34	22.1
236	06/18/2014	14:14:02	10	22.6	34	22.1
237	06/18/2014	14:14:03	10	22.6	34	22.1
238	06/18/2014	14:14:04	10	22.6	34	22.1
239	06/18/2014	14:14:05	10	22.6	34	22.1
240	06/18/2014	14:14:06	10	22.6	34	22.1
241	06/18/2014	14:14:07	10	22.6	34	22.1
242	06/18/2014	14:14:08	10	22.6	34	22.1
243	06/18/2014	14:14:09	10	22.6	34	22.1
244	06/18/2014	14:14:10	10	22.6	34	22.1
245	06/18/2014	14:14:11	10	22.6	34	22.1
246	06/18/2014	14:14:12	10	22.6	34	22.1
247	06/18/2014	14:14:13	10	22.6	34	22.1
248	06/18/2014	14:14:14	10	22.6	34	22.1
249	06/18/2014	14:14:15	10	22.6	34	22.1
250	06/18/2014	14:14:16	10	22.6	34	22.1
251	06/18/2014	14:14:17	10	22.6	34	22.1
252	06/18/2014	14:14:18	10	22.6	34	22.1
253	06/18/2014	14:14:19	10	22.6	34	22.1
254	06/18/2014	14:14:20	10	22.6	34	22.1
255	06/18/2014	14:14:21	10	22.6	34	22.1
256	06/18/2014	14:14:22	10	22.6	34	22.1
257	06/18/2014	14:14:23	10	22.6	34	22.1
258	06/18/2014	14:14:24	10	22.6	34	22.1
259	06/18/2014	14:14:25	10	22.6	34	22.1
260	06/18/2014	14:14:26	10	22.6	34	22.1
261	06/18/2014	14:14:27	10	22.6	34	22.1
262	06/18/2014	14:14:28	10	22.6	34	22.1
263	06/18/2014	14:14:29	10	22.6	34	22.1
264	06/18/2014	14:14:30	10	22.6	34	22.1
265	06/18/2014	14:14:31	10	22.6	34	22.1
266	06/18/2014	14:14:32	10	22.6	34	22.1
267	06/18/2014	14:14:33	10	22.6	34	22.1
268	06/18/2014	14:14:34	10	22.6	34	22.1
269	06/18/2014	14:14:35	10	22.6	34	22.1
270	06/18/2014	14:14:36	10	22.6	34	22.1
271	06/18/2014	14:14:37	10	22.6	34	22.1
272	06/18/2014	14:14:38	10	22.6	34	22.1
273	06/18/2014	14:14:39	10	22.6	34	22.1
274	06/18/2014	14:14:40	10	22.6	34	22.1
275	06/18/2014	14:14:41	10	22.6	34	22.1
276	06/18/2014	14:14:42	10	22.6	34	22.1
277	06/18/2014	14:14:43	10	22.6	34	22.1
278	06/18/2014	14:14:44	10	22.6	34	22.1
279	06/18/2014	14:14:45	10	22.6	34	22.1
280	06/18/2014	14:14:46	10	22.6	34	22.1
281	06/18/2014	14:14:47	10	22.6	34	22.1
282	06/18/2014	14:14:48	10	22.6	34	22.1
283	06/18/2014	14:14:49	10	22.6	34	22.1
284	06/18/2014	14:14:50	10	22.6	34	22.1
285	06/18/2014	14:14:51	10	22.6	34	22.1
286	06/18/2014	14:14:52	10	22.6	34	22.1
287	06/18/2014	14:14:53	10	22.6	34	22.1
288	06/18/2014	14:14:54	10	22.6	34	22.1
289	06/18/2014	14:14:55	10	22.6	34	22.1
290	06/18/2014	14:14:56	10	22.6	34	22.1
291	06/18/2014	14:14:57	10	22.6	34	22.1
292	06/18/2014	14:14:58	10	22.6	34	22.1
293	06/18/2014	14:14:59	10	22.6	34	22.1
294	06/18/2014	14:15:00	10	22.6	34	22.1
295	06/18/2014	14:15:01	10	22.6	34	22.1
296	06/18/2014	14:15:02	10	22.6	34	22.1
297	06/18/2014	14:15:03	10	22.6	34	22.1
298	06/18/2014	14:15:04	10	22.6	34	22.1
299	06/18/2014	14:15:05	10	22.6	34	22.1
300	06/18/2014	14:15:06	10	22.6	34	22.1
301	06/18/2014	14:15:07	10	22.6	34	22.1
302	06/18/2014	14:15:08	10	22.6	34	22.1
303	06/18/2014	14:15:10	10	22.6	34	22.1
304	06/18/2014	14:15:11	10	22.6	34	22.1
305	06/18/2014	14:15:12	10	22.6	34	22.1
306	06/18/2014	14:15:13	10	22.6	34	22.1
307	06/18/2014	14:15:14	10	22.6	34	22.1
308	06/18/2014	14:15:15	10	22.6	34	22.1
309	06/18/2014	14:15:16	10	22.6	34	22.1
310	06/18/2014	14:15:17	10	22.6	34	22.1
311	06/18/2014	14:15:18	10	22.6	34	22.1
312	06/18/2014	14:15:19	10	22.6	34	22.1
313	06/18/2014	14:15:20	10	22.6	34	22.1
314	06/18/2014	14:15:21	10	22.6	34	22.1
315	06/18/2014	14:15:22	10	22.6	34	22.1
316	06/18/2014	14:15:23	10	22.6	34	22.1
317	06/18/2014	14:15:24	10	22.6	34	22.1
318	06/18/2014	14:15:25	10	22.6	34	22.1
319	06/18/2014	14:15:26	11	22.6	34	22.1
320	06/18/2014	14:15:27	11	22.6	34	22.1
321	06/18/2014	14:15:28	11	22.6	34	22.1
322	06/18/2014	14:15:29	11	22.6	34	22.1
323	06/18/2014	14:15:30	11	22.6	34	22.1
324	06/18/2014	14:15:31	11	22.6	34	22.1
325	06/18/2014	14:15:32	11	22.6	34	22.1
326	06/18/2014	14:15:33	11	22.6	34	22.1
327	06/18/2014	14:15:34	11	22.6	34	22.1
328	06/18/2014	14:15:35	11	22.6	34	22.1
329	06/18/2014	14:15:36	11	22.6	34	22.1
330	06/18/2014	14:15:37	11	22.6	34	22.1
331	06/18/2014	14:15:38	11	22.6	34	22.1
332	06/18/2014	14:15:39	11	22.6	34	22.1
333	06/18/2014	14:15:40	11	22.6	34	22.1
334	06/18/2014	14:15:41	11	22.6	34	22.1
335	06/18/2014	14:15:42	11	22.6	34	22.1
336	06/18/2014	14:15:43	11	22.6	34	22.1
337	06/18/2014	14:15:44	11	22.6	34	22.1
338	06/18/2014	14:15:45	11	22.6	34	22.1
339	06/18/2014	14:15:46	11	22.6	34	22.1
340	06/18/2014	14:15:47	11	22.6	34	22.1
341	06/18/2014	14:15:48	11	22.6	34	22.1
342	06/18/2014	14:15:49	11	22.6	34	22.1
343	06/18/2014	14:15:50	11	22.6	34	22.1
344	06/18/2014	14:15:51	11	22.6	34	22.1
345	06/18/2014	14:15:52	11	22.6	34	22.1
346	06/18/2014	14:15:53	11	22.6	34	22.1
347	06/18/2014	14:15:54	11	22.6	34	22.1
348	06/18/2014	14:15:55	11	22.6	34	22.1
349	06/18/2014	14:15:56	11	22.6	34	22.1
350	06/18/2014	14:15:57	11	22.6	34	22.1
351	06/18/2014	14:15:58	11	22.6	34	22.1
352	06/18/2014	14:15:59	11	22.6	34	22.1
353	06/18/2014	14:16:00	11	22.6	34	22.1
354	06/18/2014	14:16:01	11	22.6	34	22.1
355	06/18/2014	14:16:02	11	22.6	34	22.1
356	06/18/2014	14:16:03	11	22.6	34	22.1
357	06/18/2014	14:16:04	11	22.6	34	22.1
358	06/18/2014	14:16:05	11	22.6	34	22.1
359	06/18/2014	14:16:06	11	22.6	34	22.1
360	06/18/2014	14:16:07	11	22.6	34	22.1
361	06/18/2014	14:16:08	11	22.6	34	22.1
362	06/18/2014	14:16:09	11	22.6	34	22.1
363	06/18/2014	14:16:10	11	22.6	34	22.1
364	06/18/2014	14:16:11	11	22.6	34	22.1
365	06/18/2014	14:16:12	11	22.6	34	22.1
366	06/18/2014	14:16:13	11	22.6	34	22.1
367	06/18/2014	14:16:14	11	22.6	34	22.1
368	06/18/2014	14:16:15	11	22.6	34	22.1
369	06/18/2014	14:16:16	11	22.6	34	22.1
370	06/18/2014	14:16:17	11	22.6	34	22.1
371	06/18/2014	14:16:18	11	22.6	34	22.1
372	06/18/2014	14:16:19	11	22.6	34	22.1
373	06/18/2014	14:16:20	11	22.6	34	22.1
374	06/18/2014	14:16:21	10	22.6	34	22.1
375	06/18/2014	14:16:23	10	22.6	34	22.1
376	06/18/2014	14:16:24	10	22.6	34	22.1
377	06/18/2014	14:16:25	10	22.6	34	22.1
378	06/18/2014	14:16:26	10	22.6	34	22.1
379	06/18/2014	14:16:27	10	22.6	34	22.1
380	06/18/2014	14:16:28	10	22.6	34	22.1
381	06/18/2014	14:16:29	10	22.6	34	22.1
382	06/18/2014	14:16:30	10	22.6	34	22.1
383	06/18/2014	14:16:31	10	22.6	34	22.1
384	06/18/2014	14:16:32	10	22.6	34	22.1
385	06/18/2014	14:16:33	10	22.6	34	22.1
386	06/18/2014	14:16:34	10	22.6	34	22.1
387	06/18/2014	14:16:35	10	22.6	34	22.1
388	06/18/2014	14:16:36	10	22.6	34	22.1
389	06/18/2014	14:16:37	10	22.6	34	22.1
390	06/18/2014	14:16:38	10	22.6	34	22.1
391	06/18/2014	14:16:39	10	22.6	34	22.1
392	06/18/2014	14:16:40	10	22.6	34	22.1
393	06/18/2014	14:16:41	10	22.6	34	22.1
394	06/18/2014	14:16:42	10	22.6	34	22.1
395	06/18/2014	14:16:43	10	22.6	34	22.1
396	06/18/2014	14:16:44	10	22.6	34	22.1
397	06/18/2014	14:16:45	10	22.6	34	22.1
398	06/18/2014	14:16:46	10	22.6	34	22.1
399	06/18/2014	14:16:47	10	22.6	34	22.1
400	06/18/2014	14:16:48	10	22.6	34	22.1
401	06/18/2014	14:16:49	10	22.6	34	22.1
402	06/18/2014	14:16:50	10	22.6	34	22.1
403	06/18/2014	14:16:51	10	22.6	34	22.1
404	06/18/2014	14:16:52	10	22.6	34	22.1
405	06/18/2014	14:16:53	10	22.6	34	22.1
406	06/18/2014	14:16:54	10	22.6	34	22.1
407	06/18/2014	14:16:55	10	22.6	34	22.1
408	06/18/2014	14:16:56	10	22.6	34	22.1
409	06/18/2014	14:16:57	10	22.6	34	22.1
410	06/18/2014	14:16:58	10	22.6	34	22.1
411	06/18/2014	14:16:59	10	22.6	34	22.1
412	06/18/2014	14:17:00	10	22.6	34	22.1
413	06/18/2014	14:17:01	10	22.6	34	22.1
414	06/18/2014	14:17:02	10	22.6	34	22.1
415	06/18/2014	14:17:03	10	22.6	34	22.1
416	06/18/2014	14:17:04	10	22.6	34	22.1
417	06/18/2014	14:17:05	10	22.6	34	22.1
418	06/18/2014	14:17:06	10	22.6	34	22.1
419	06/18/2014	14:17:07	9	22.6	34	22.1
420	06/18/2014	14:17:08	9	22.6	34	22.1
421	06/18/2014	14:17:09	9	22.6	34	22.1
422	06/18/2014	14:17:10	9	22.6	34	22.1
423	06/18/2014	14:17:11	9	22.6	34	22.1
424	06/18/2014	14:17:12	9	22.6	34	22.1
425	06/18/2014	14:17:13	9	22.6	34	22.1
426	06/18/2014	14:17:14	9	22.6	34	22.1
427	06/18/2014	14:17:15	9	22.6	34	22.1
428	06/18/2014	14:17:16	9	22.6	34	22.1
429	06/18/2014	14:17:17	9	22.6	34	22.1
430	06/18/2014	14:17:18	9	22.6	34	22.1
431	06/18/2014	14:17:19	9	22.6	34	22.1
432	06/18/2014	14:17:20	9	22.6	34	22.1
433	06/18/2014	14:17:21	9	22.6	34	22.1
434	06/18/2014	14:17:22	9	22.6	34	22.1
435	06/18/2014	14:17:23	9	22.6	34	22.1
436	06/18/2014	14:17:24	9	22.6	34	22.1
437	06/18/2014	14:17:25	9	22.6	34	22.1
438	06/18/2014	14:17:26	9	22.6	34	22.1
439	06/18/2014	14:17:27	9	22.6	34	22.1
440	06/18/2014	14:17:28	9	22.6	34	22.1
441	06/18/2014	14:17:29	9	22.6	34	22.1
442	06/18/2014	14:17:30	9	22.6	34	22.1
443	06/18/2014	14:17:31	9	22.6	34	22.1
444	06/18/2014	14:17:32	9	22.6	34	22.1
445	06/18/2014	14:17:33	8	22.6	34	22.1
446	06/18/2014	14:17:35	8	22.6	34	22.1
447	06/18/2014	14:17:36	8	22.6	34	22.1
448	06/18/2014	14:17:37	8	22.6	34	22.1
449	06/18/2014	14:17:38	8	22.6	34	22.1
450	06/18/2014	14:17:39	8	22.6	34	22.1
451	06/18/2014	14:17:40	8	22.6	34	22.1
452	06/18/2014	14:17:41	8	22.6	34	22.1
453	06/18/2014	14:17:42	8	22.6	34	22.1
454	06/18/2014	14:17:43	8	22.6	34	22.1
455	06/18/2014	14:17:44	8	22.6	34	22.1
456	06/18/2014	14:17:45	8	22.6	34	22.1
457	06/18/2014	14:17:46	8	22.6	34	22.1
