Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,Mask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
1,0,398.1285,0,437,2761,2975,4263,551,-3.5,200,1,1,398.7543,1,2,01-May-2014 08:51:38,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
2,0,400.8124,0,936,1551,2975,4263,576,-8.5,200,0,0,402.4766,1,2,01-May-2014 08:51:40,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
3,0,412.4488,0,936,1551,2975,4263,626,-8.5,200,0,0,413.589,1,2,01-May-2014 08:51:52,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
4,0,418.0829,0,437,2761,2975,4263,501,-3.5,200,1,1,418.5825,1,2,01-May-2014 08:51:58,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
5,0,422.4232,0,936,1551,2975,4263,651,-8.5,200,0,0,423.5179,1,2,01-May-2014 08:52:02,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
6,0,427.8733,0,437,2761,2975,4263,676,-3.5,200,1,1,428.7931,1,2,01-May-2014 08:52:07,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
7,0,435.2811,0,936,1551,2975,4263,526,-8.5,200,0,0,436.5711,1,2,01-May-2014 08:52:15,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
8,0,441.2275,1,936,1551,2975,4263,751,-8.5,200,0,0,442.2015,1,2,01-May-2014 08:52:21,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
9,0,447.3741,0,437,2761,2975,4263,601,-3.5,200,1,1,448.0531,1,2,01-May-2014 08:52:27,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
10,0,453.4092,0,936,1551,2975,4263,726,-8.5,200,0,0,455.066,1,2,01-May-2014 08:52:33,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
11,0,459.9532,0,437,2761,2975,4263,551,-3.5,200,1,1,460.918,1,2,01-May-2014 08:52:39,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
12,0,464.0779,1,437,2761,2975,4263,701,-3.5,200,1,1,464.5137,1,2,01-May-2014 08:52:44,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
13,0,467.6435,1,936,1551,2975,4263,576,-8.5,200,0,1,470.2602,0,2,01-May-2014 08:52:47,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
14,1,473.9202,1,936,1551,2975,4263,576,-8.5,200,0,0,476.4729,1,2,01-May-2014 08:52:53,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
15,0,481.3718,1,437,2761,2975,4263,651,-3.5,200,1,1,483.2136,1,2,01-May-2014 08:53:01,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
16,0,486.547,0,437,2761,2975,4263,526,-3.5,200,1,1,487.0431,1,2,01-May-2014 08:53:06,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
17,0,490.2079,0,936,1551,2975,4263,626,-8.5,200,0,1,491.1361,0,2,01-May-2014 08:53:10,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
18,1,499.094,0,936,1551,2975,4263,626,-8.5,200,0,0,500.1255,1,2,01-May-2014 08:53:19,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
19,0,505.2586,0,437,2761,2975,4263,676,-3.5,200,1,1,505.7078,1,2,01-May-2014 08:53:25,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
20,0,509.3867,1,936,1551,2975,4263,751,-8.5,200,0,0,510.0978,1,2,01-May-2014 08:53:29,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
21,0,515.048,0,936,1551,2975,4263,726,-8.5,200,0,0,516.475,1,2,01-May-2014 08:53:35,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
22,0,522.7618,1,437,2761,2975,4263,601,-3.5,200,1,1,524.4377,1,2,01-May-2014 08:53:42,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
23,0,528.3293,1,437,2761,2975,4263,651,-3.5,200,1,0,529.1135,0,2,01-May-2014 08:53:48,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
24,1,532.8513,0,437,2761,2975,4263,651,-3.5,200,1,1,535.4965,1,2,01-May-2014 08:53:52,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
25,0,538.738,0,437,2761,2975,4263,526,-3.5,200,1,1,539.3607,1,2,01-May-2014 08:53:58,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
26,0,543.2263,0,936,1551,2975,4263,751,-8.5,200,0,0,543.9408,1,2,01-May-2014 08:54:03,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
27,0,549.5362,1,936,1551,2975,4263,551,-8.5,200,0,0,551.8266,1,2,01-May-2014 08:54:09,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
28,0,557.4698,0,936,1551,2975,4263,501,-8.5,200,0,1,558.5975,0,2,01-May-2014 08:54:17,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
29,1,564.6919,0,936,1551,2975,4263,501,-8.5,200,0,0,566.0654,1,2,01-May-2014 08:54:24,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
30,0,570.7527,1,437,2761,2975,4263,626,-3.5,200,1,1,571.2703,1,2,01-May-2014 08:54:30,01_05_2014 level21_continuous_Magnum 08_45 log.txt,37,37
